team,city,state.abb,country,name,team_id,colors,wiki_url,logo_image_url,dbpedia_url,dbpedia_data_json,sports_reference_URL,league
Atlanta Hawks,Atlanta,GA,US,Hawks,ATL,"Navy, Red, Silver",wikipedia.org/wiki/Atlanta_Hawks,http://upload.wikimedia.org/wikipedia/en/thumb/c/c6/Atlanta_Hawks.svg/200px-Atlanta_Hawks.svg.png,live.dbpedia.org/resource/Atlanta_Hawks,live.dbpedia.org/data/Atlanta_Hawks.json,http://www.basketball-reference.com/teams/ATL,NBA
Boston Celtics,Boston,MA,US,Celtics,BOS,"Green, White, Black",wikipedia.org/wiki/Boston_Celtics,http://upload.wikimedia.org/wikipedia/en/thumb/8/8f/Boston_Celtics.svg/400px-Boston_Celtics.svg.png,live.dbpedia.org/resource/Boston_Celtics,live.dbpedia.org/data/Boston_Celtics.json,http://www.basketball-reference.com/teams/BOS,NBA
Brooklyn Nets,Brooklyn,NY,US,Nets,BKN,"Black, White",wikipedia.org/wiki/Brooklyn_Nets,http://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Brooklyn_Nets_newlogo.svg/250px-Brooklyn_Nets_newlogo.svg.png,live.dbpedia.org/resource/Brooklyn_Nets,live.dbpedia.org/data/Brooklyn_Nets.json,http://www.basketball-reference.com/teams/BKN,NBA
Charlotte Bobcats,Charlotte,NC,US,Bobcats,CHA,"Navy, Blue, Orange, Silver, White",wikipedia.org/wiki/Charlotte_Bobcats,http://upload.wikimedia.org/wikipedia/en/thumb/1/15/Charlotte_Bobcats_2012.png/400px-Charlotte_Bobcats_2012.png,live.dbpedia.org/resource/Charlotte_Bobcats,live.dbpedia.org/data/Charlotte_Bobcats.json,http://www.basketball-reference.com/teams/CHA,NBA
Charlotte Hornets,Charlotte,NC,US,Pelicans,NOH,teal,wikipedia.org/wiki/New_Orleans_Pelicans,http://upload.wikimedia.org/wikipedia/en/thumb/7/73/Charlotte_Hornets_1989-2002.png/270px-Charlotte_Hornets_1989-2002.png,live.dbpedia.org/resource/New_Orleans_Pelicans,live.dbpedia.org/data/New_Orleans_Pelicans.json,http://www.basketball-reference.com/teams/NOH,NBA
Chicago Bulls,Chicago,IL,US,Bulls,CHI,"Red, Black, White",wikipedia.org/wiki/Chicago_Bulls,http://upload.wikimedia.org/wikipedia/en/thumb/6/67/Chicago_Bulls_logo.svg/204px-Chicago_Bulls_logo.svg.png,live.dbpedia.org/resource/Chicago_Bulls,live.dbpedia.org/data/Chicago_Bulls.json,http://www.basketball-reference.com/teams/CHI,NBA
Cleveland Cavaliers,Cleveland,CLE,US,Cavaliers,CLE,"Red, Gold, Navy",wikipedia.org/wiki/Cleveland_Cavaliers,http://upload.wikimedia.org/wikipedia/en/thumb/f/f7/Cleveland_Cavaliers_2010.svg/400px-Cleveland_Cavaliers_2010.svg.png,live.dbpedia.org/resource/Cleveland_Cavaliers,live.dbpedia.org/data/Cleveland_Cavaliers.json,http://www.basketball-reference.com/teams/CLE,NBA
Dallas Mavericks,Dallas,TX,US,Mavericks,DAL,"Blue, Silver, White",wikipedia.org/wiki/Dallas_Mavericks,http://upload.wikimedia.org/wikipedia/en/thumb/9/97/Dallas_Mavericks_logo.svg/400px-Dallas_Mavericks_logo.svg.png,live.dbpedia.org/resource/Dallas_Mavericks,live.dbpedia.org/data/Dallas_Mavericks.json,http://www.basketball-reference.com/teams/DAL,NBA
Denver Nuggets,Denver,CO,US,Nuggets,DEN,"Light Blue, Gold, Navy",wikipedia.org/wiki/Denver_Nuggets,http://upload.wikimedia.org/wikipedia/en/thumb/7/76/Denver_Nuggets.svg/400px-Denver_Nuggets.svg.png,live.dbpedia.org/resource/Denver_Nuggets,live.dbpedia.org/data/Denver_Nuggets.json,http://www.basketball-reference.com/teams/DEN,NBA
Detroit Pistons,Detroit,MI,US,Pistons,DET,"White, Blue, Red",wikipedia.org/wiki/Detroit_Pistons,http://upload.wikimedia.org/wikipedia/en/thumb/1/1e/Detroit_Pistons_logo.svg/400px-Detroit_Pistons_logo.svg.png,live.dbpedia.org/resource/Detroit_Pistons,live.dbpedia.org/data/Detroit_Pistons.json,http://www.basketball-reference.com/teams/DET,NBA
