,player,season,salary,agency,agent,salary_amnesty,league,team,player_off_roster_13_14,id_contract_type
10,Al Jefferson,2013-2014,13500000,Excel Sports Management,Jeff Schwartz,FALSE,nba,Bobcats,FALSE,G
11,Al Jefferson,2014-2015,13500000,Excel Sports Management,Jeff Schwartz,FALSE,nba,Bobcats,FALSE,G
12,Al Jefferson,2015-2016,13500000,Excel Sports Management,Jeff Schwartz,FALSE,nba,Bobcats,FALSE,PO
84,Anthony Tolliver,2013-2014,884293,Lee Basketball Services LTD,Larry Fox,FALSE,nba,Bobcats,FALSE,G
114,Ben Gordon,2013-2014,13200000,IAM Sports,Raymond Brothers,FALSE,nba,Bobcats,FALSE,G
123,Bismack Biyombo,2013-2014,3049920,Wasserman Media Group,Arn Tellem,FALSE,nba,Bobcats,FALSE,G
124,Bismack Biyombo,2014-2015,3873398,Wasserman Media Group,Arn Tellem,FALSE,nba,Bobcats,FALSE,TO
125,Bismack Biyombo,2015-2016,5194227,Wasserman Media Group,Arn Tellem,FALSE,nba,Bobcats,FALSE,QO
150,Brendan Haywood,2013-2014,2050000,ASM Sports,Andy Miller,FALSE,nba,Bobcats,FALSE,G
152,Brendan Haywood,2014-2015,2213688,ASM Sports,Andy Miller,FALSE,nba,Bobcats,FALSE,G
154,Brendan Haywood,2015-2016,10522500,ASM Sports,Andy Miller,FALSE,nba,Bobcats,FALSE,U
224,Cody Zeller,2013-2014,3857040,Excel Sports Management,Jeff Schwartz,FALSE,nba,Bobcats,FALSE,G
225,Cody Zeller,2014-2015,4030560,Excel Sports Management,Jeff Schwartz,FALSE,nba,Bobcats,FALSE,G
226,Cody Zeller,2015-2016,4204200,Excel Sports Management,Jeff Schwartz,FALSE,nba,Bobcats,FALSE,TO
227,Cody Zeller,2016-2017,5318313,Excel Sports Management,Jeff Schwartz,FALSE,nba,Bobcats,FALSE,TO
228,Cody Zeller,2017-2018,7014855,Excel Sports Management,Jeff Schwartz,FALSE,nba,Bobcats,FALSE,QO
393,Gerald Henderson,2013-2014,6000000,Wasserman Media Group,Arn Tellem,FALSE,nba,Bobcats,FALSE,G
394,Gerald Henderson,2014-2015,6000000,Wasserman Media Group,Arn Tellem,FALSE,nba,Bobcats,FALSE,G
395,Gerald Henderson,2015-2016,6000000,Wasserman Media Group,Arn Tellem,FALSE,nba,Bobcats,FALSE,PO
487,Jannero Pargo,2013-2014,884293,Priority Sports & Entertainment,Mark Bartelstein,FALSE,nba,Bobcats,FALSE,U
519,Jeff Adrien,2013-2014,916099,Priority Sports & Entertainment,Mark Bartelstein,FALSE,nba,Bobcats,FALSE,U
532,Jeffery Taylor,2013-2014,788872,BDA Sports Management,Todd Ramasar,FALSE,nba,Bobcats,FALSE,G
533,Jeffery Taylor,2014-2015,915243,BDA Sports Management,Todd Ramasar,FALSE,nba,Bobcats,FALSE,U
534,Jeffery Taylor,2015-2016,1181348,BDA Sports Management,Todd Ramasar,FALSE,nba,Bobcats,FALSE,QO
616,Josh McRoberts,2013-2014,2652000,BDA Sports Management,Mike Conley,FALSE,nba,Bobcats,FALSE,G
617,Josh McRoberts,2014-2015,2771340,BDA Sports Management,Mike Conley,FALSE,nba,Bobcats,FALSE,PO
641,Kemba Walker,2013-2014,2568360,Excel Sports Management,Jeff Schwartz,FALSE,nba,Bobcats,FALSE,G
642,Kemba Walker,2014-2015,3272091,Excel Sports Management,Jeff Schwartz,FALSE,nba,Bobcats,FALSE,TO
643,Kemba Walker,2015-2016,4433683,Excel Sports Management,Jeff Schwartz,FALSE,nba,Bobcats,FALSE,QO
791,Michael Kidd-Gilchrist,2013-2014,4809840,Creative Artists Agency,Leon Rose,FALSE,nba,Bobcats,FALSE,G
792,Michael Kidd-Gilchrist,2014-2015,5016960,Creative Artists Agency,Leon Rose,FALSE,nba,Bobcats,FALSE,TO
793,Michael Kidd-Gilchrist,2015-2016,6331404,Creative Artists Agency,Leon Rose,FALSE,nba,Bobcats,FALSE,TO
794,Michael Kidd-Gilchrist,2016-2017,8262482,Creative Artists Agency,Leon Rose,FALSE,nba,Bobcats,FALSE,QO
919,Ramon Sessions,2013-2014,5000000,Allegiant Athletic Agency,Jared Karnes,FALSE,nba,Bobcats,FALSE,G
146,Brandon Knight,2013-2014,2793960,Wasserman Media Group,Arn Tellem,FALSE,nba,Bucks,FALSE,G
147,Brandon Knight,2014-2015,3553917,Wasserman Media Group,Arn Tellem,FALSE,nba,Bucks,FALSE,TO
148,Brandon Knight,2015-2016,4790680,Wasserman Media Group,Arn Tellem,FALSE,nba,Bucks,FALSE,QO
179,Carlos Delfino,2013-2014,3250000,ASM Sports,Andy Miller,FALSE,nba,Bucks,FALSE,G
180,Carlos Delfino,2014-2015,3250000,ASM Sports,Andy Miller,FALSE,nba,Bucks,FALSE,G
181,Carlos Delfino,2015-2016,3250000,ASM Sports,Andy Miller,FALSE,nba,Bucks,FALSE,U
184,Caron Butler,2013-2014,8000000,IAM Sports,Raymond Brothers,FALSE,nba,Bucks,FALSE,G
338,Ekpe Udoh,2013-2014,4469548,CGL Sports,Chris Grier Luchey,FALSE,nba,Bucks,FALSE,G
339,Ekpe Udoh,2014-2015,5962377,CGL Sports,Chris Grier Luchey,FALSE,nba,Bucks,FALSE,QO
358,Ersan Ilyasova,2013-2014,7900000,ASM Sports,Andy Miller,FALSE,nba,Bucks,FALSE,G
359,Ersan Ilyasova,2014-2015,7900000,ASM Sports,Andy Miller,FALSE,nba,Bucks,FALSE,G
360,Ersan Ilyasova,2015-2016,7900000,ASM Sports,Andy Miller,FALSE,nba,Bucks,FALSE,G
361,Ersan Ilyasova,2016-2017,8400000,ASM Sports,Andy Miller,FALSE,nba,Bucks,FALSE,U
385,Gary Neal,2013-2014,3250000,Lagardere Unlimited,David Bauman,FALSE,nba,Bucks,FALSE,G
386,Gary Neal,2014-2015,3250000,Lagardere Unlimited,David Bauman,FALSE,nba,Bucks,FALSE,G
399,Giannis Antetokounmpo,2013-2014,1792560,Octagon Athlete Representation,Alex Saratsis,FALSE,nba,Bucks,FALSE,G
400,Giannis Antetokounmpo,2014-2015,1873200,Octagon Athlete Representation,Alex Saratsis,FALSE,nba,Bucks,FALSE,G
401,Giannis Antetokounmpo,2015-2016,1953960,Octagon Athlete Representation,Alex Saratsis,FALSE,nba,Bucks,FALSE,TO
402,Giannis Antetokounmpo,2016-2017,2995421,Octagon Athlete Representation,Alex Saratsis,FALSE,nba,Bucks,FALSE,TO
403,Giannis Antetokounmpo,2017-2018,4187598,Octagon Athlete Representation,Alex Saratsis,FALSE,nba,Bucks,FALSE,QO
568,John Henson,2013-2014,1905360,Williams & Connolly,Jim Tanner,FALSE,nba,Bucks,FALSE,G
569,John Henson,2014-2015,1987320,Williams & Connolly,Jim Tanner,FALSE,nba,Bucks,FALSE,TO
570,John Henson,2015-2016,2943221,Williams & Connolly,Jim Tanner,FALSE,nba,Bucks,FALSE,TO
571,John Henson,2016-2017,4094020,Williams & Connolly,Jim Tanner,FALSE,nba,Bucks,FALSE,QO
675,Khris Middleton,2013-2014,788872,Excel Sports Management,Michael Lindeman,FALSE,nba,Bucks,FALSE,G
676,Khris Middleton,2014-2015,915243,Excel Sports Management,Michael Lindeman,FALSE,nba,Bucks,FALSE,U
677,Khris Middleton,2015-2016,1181348,Excel Sports Management,Michael Lindeman,FALSE,nba,Bucks,FALSE,QO
708,Larry Sanders,2013-2014,3053368,Relativity Sports,Dan Fegan,FALSE,nba,Bucks,FALSE,G
709,Larry Sanders,2014-2015,11000000,Relativity Sports,Dan Fegan,FALSE,nba,Bucks,FALSE,G
710,Larry Sanders,2015-2016,11000000,Relativity Sports,Dan Fegan,FALSE,nba,Bucks,FALSE,G
711,Larry Sanders,2016-2017,11000000,Relativity Sports,Dan Fegan,FALSE,nba,Bucks,FALSE,G
712,Larry Sanders,2017-2018,11000000,Relativity Sports,Dan Fegan,FALSE,nba,Bucks,FALSE,G
729,Luke Ridnour,2013-2014,4420000,Williams & Connolly,Jim Tanner,FALSE,nba,Bucks,FALSE,G
809,Miroslav Raduljica,2013-2014,1500000,Norton Sports Management,Matt Babcock,FALSE,nba,Bucks,FALSE,G
810,Miroslav Raduljica,2014-2015,1500000,Norton Sports Management,Matt Babcock,FALSE,nba,Bucks,FALSE,G
811,Miroslav Raduljica,2015-2016,1567500,Norton Sports Management,Matt Babcock,FALSE,nba,Bucks,FALSE,U
812,Miroslav Raduljica,2016-2017,1959375,Norton Sports Management,Matt Babcock,FALSE,nba,Bucks,FALSE,QO
825,Nate Wolters,2013-2014,500000,Allegiant Athletic Agency,Jared Karnes,FALSE,nba,Bucks,FALSE,G
826,Nate Wolters,2014-2015,816482,Allegiant Athletic Agency,Jared Karnes,FALSE,nba,Bucks,FALSE,G
827,Nate Wolters,2015-2016,947276,Allegiant Athletic Agency,Jared Karnes,FALSE,nba,Bucks,FALSE,U
828,Nate Wolters,2016-2017,1215696,Allegiant Athletic Agency,Jared Karnes,FALSE,nba,Bucks,FALSE,QO
859,O.J. Mayo,2013-2014,8000000,Landmark Sports Agency,Rob Pelinka,FALSE,nba,Bucks,FALSE,G
860,O.J. Mayo,2014-2015,8000000,Landmark Sports Agency,Rob Pelinka,FALSE,nba,Bucks,FALSE,G
861,O.J. Mayo,2015-2016,8000000,Landmark Sports Agency,Rob Pelinka,FALSE,nba,Bucks,FALSE,G
1188,Zaza Pachulia,2013-2014,5200000,Williams & Connolly,Jim Tanner,FALSE,nba,Bucks,FALSE,G
1189,Zaza Pachulia,2014-2015,5200000,Williams & Connolly,Jim Tanner,FALSE,nba,Bucks,FALSE,G
1190,Zaza Pachulia,2015-2016,5200000,Williams & Connolly,Jim Tanner,FALSE,nba,Bucks,FALSE,G
177,Carlos Boozer,2013-2014,15300000,Landmark Sports Agency,Rob Pelinka,FALSE,nba,Bulls,FALSE,G
178,Carlos Boozer,2014-2015,16800000,Landmark Sports Agency,Rob Pelinka,FALSE,nba,Bulls,FALSE,G
290,Derrick Rose,2013-2014,17632688,Wasserman Media Group,Arn Tellem,FALSE,nba,Bulls,FALSE,G
291,Derrick Rose,2014-2015,18862876,Wasserman Media Group,Arn Tellem,FALSE,nba,Bulls,FALSE,G
292,Derrick Rose,2015-2016,20093064,Wasserman Media Group,Arn Tellem,FALSE,nba,Bulls,FALSE,G
293,Derrick Rose,2016-2017,21323252,Wasserman Media Group,Arn Tellem,FALSE,nba,Bulls,FALSE,G
355,Erik Murphy,2013-2014,490180,ASM Sports,Andy Miller,FALSE,nba,Bulls,FALSE,U
356,Erik Murphy,2014-2015,816482,ASM Sports,Andy Miller,FALSE,nba,Bulls,FALSE,U
357,Erik Murphy,2015-2016,1147276,ASM Sports,Andy Miller,FALSE,nba,Bulls,FALSE,QO
553,Jimmy Butler,2013-2014,1112880,Relativity Sports,Dan Fegan,FALSE,nba,Bulls,FALSE,G
554,Jimmy Butler,2014-2015,2008748,Relativity Sports,Dan Fegan,FALSE,nba,Bulls,FALSE,TO
555,Jimmy Butler,2015-2016,3013123,Relativity Sports,Dan Fegan,FALSE,nba,Bulls,FALSE,QO
556,Joakim Noah,2013-2014,11100000,BDA Sports Management,Bill Duffy,FALSE,nba,Bulls,FALSE,G
557,Joakim Noah,2014-2015,12200000,BDA Sports Management,Bill Duffy,FALSE,nba,Bulls,FALSE,G
558,Joakim Noah,2015-2016,13400000,BDA Sports Management,Bill Duffy,FALSE,nba,Bulls,FALSE,G
628,Kalin Lucas,2013-2014,490180,Reid Entertainment,Michael Whitaker,FALSE,nba,Bulls,FALSE,U
629,Kalin Lucas,2014-2015,1016482,Reid Entertainment,Michael Whitaker,FALSE,nba,Bulls,FALSE,QO
678,Kirk Hinrich,2013-2014,4059000,Octagon Athlete Representation,Jeff Austin,FALSE,nba,Bulls,FALSE,G
730,Luol Deng,2013-2014,14275000,Interperformances,Herb Rudoy,FALSE,nba,Bulls,FALSE,G
754,Marquis Teague,2013-2014,1074720,ASM Sports,Andy Miller,FALSE,nba,Bulls,FALSE,G
755,Marquis Teague,2014-2015,1120920,ASM Sports,Andy Miller,FALSE,nba,Bulls,FALSE,TO
756,Marquis Teague,2015-2016,2023261,ASM Sports,Andy Miller,FALSE,nba,Bulls,FALSE,TO
757,Marquis Teague,2016-2017,3034891,ASM Sports,Andy Miller,FALSE,nba,Bulls,FALSE,QO
798,Mike Dunleavy Jr,2013-2014,3183000,Wasserman Media Group,Arn Tellem,FALSE,nba,Bulls,FALSE,G
799,Mike Dunleavy Jr,2014-2015,3326235,Wasserman Media Group,Arn Tellem,FALSE,nba,Bulls,FALSE,G
829,Nazr Mohammed,2013-2014,884293,Excel Sports Management,Mike Higgins,FALSE,nba,Bulls,FALSE,G
882,Patrick Christopher,2013-2014,490180,Relativity Sports,Chris Patrick,FALSE,nba,Bulls,FALSE,U
883,Patrick Christopher,2014-2015,1016482,Relativity Sports,Chris Patrick,FALSE,nba,Bulls,FALSE,QO
944,Richard Hamilton,2013-2014,333334,Creative Artists Agency,Leon Rose,FALSE,nba,Bulls,TRUE,G
945,Richard Hamilton,2014-2015,333334,Creative Artists Agency,Leon Rose,FALSE,nba,Bulls,TRUE,G
946,Richard Hamilton,2015-2016,333334,Creative Artists Agency,Leon Rose,FALSE,nba,Bulls,TRUE,G
1047,Taj Gibson,2013-2014,7550000,Priority Sports & Entertainment,Mark Bartelstein,FALSE,nba,Bulls,FALSE,G
1048,Taj Gibson,2014-2015,8000000,Priority Sports & Entertainment,Mark Bartelstein,FALSE,nba,Bulls,FALSE,G
1049,Taj Gibson,2015-2016,8500000,Priority Sports & Entertainment,Mark Bartelstein,FALSE,nba,Bulls,FALSE,G
