,Current_FranchiseURL,Pic_URL,Name,Team_ID,Colors,Year,Franchise,Current_Franchise,Buyer,Details,Price,Inflation_Adusted_Price,Franchise_URL
1,wikipedia.org/wiki/Atlanta_Hawks,http://upload.wikimedia.org/wikipedia/en/thumb/c/c6/Atlanta_Hawks.svg/200px-Atlanta_Hawks.svg.png,Hawks,ATL,"Navy, Red, Silver",1968,Atlanta Hawks,Atlanta Hawks,Tom Cousins & Carl Sanders,Bought the St. Louis Hawks and Moved to Atlanta,"2,000,000","12,500,000",wikipedia.org/wiki/Atlanta_Hawks
2,wikipedia.org/wiki/Atlanta_Hawks,http://upload.wikimedia.org/wikipedia/en/thumb/c/c6/Atlanta_Hawks.svg/200px-Atlanta_Hawks.svg.png,Hawks,ATL,"Navy, Red, Silver",1996,Atlanta Hawks,Atlanta Hawks,AOL Time Warner,Became Owner Via Merger,0,0,wikipedia.org/wiki/Atlanta_Hawks
3,wikipedia.org/wiki/Atlanta_Hawks,http://upload.wikimedia.org/wikipedia/en/thumb/c/c6/Atlanta_Hawks.svg/200px-Atlanta_Hawks.svg.png,Hawks,ATL,"Navy, Red, Silver",1946,Tri-Cities Blackhawks,Atlanta Hawks,Ben Kerner,Formed in NBL As Buffalo Bisons and then Moved,0,0,wikipedia.org/wiki/Tri-Cities_Blackhawks
4,wikipedia.org/wiki/Atlanta_Hawks,http://upload.wikimedia.org/wikipedia/en/thumb/c/c6/Atlanta_Hawks.svg/200px-Atlanta_Hawks.svg.png,Hawks,ATL,"Navy, Red, Silver",2004,Atlanta Hawks,Atlanta Hawks,"Atlanta Spirit, LLC  (9 partners)",Purchased Team,"208,000,000","240,100,000",wikipedia.org/wiki/Atlanta_Hawks
5,wikipedia.org/wiki/Atlanta_Hawks,http://upload.wikimedia.org/wikipedia/en/thumb/c/c6/Atlanta_Hawks.svg/200px-Atlanta_Hawks.svg.png,Hawks,ATL,"Navy, Red, Silver",1977,Atlanta Hawks,Atlanta Hawks,Ted Turner,Bought 95% of Team,0,0,wikipedia.org/wiki/Atlanta_Hawks
6,wikipedia.org/wiki/Boston_Celtics,http://upload.wikimedia.org/wikipedia/en/thumb/8/8f/Boston_Celtics.svg/400px-Boston_Celtics.svg.png,Celtics,BOS,"Green, White, Black",1979,Boston Celtics,Boston Celtics,"Harry T. Mangurian, Jr.",Bought Out Co-owners,0,0,wikipedia.org/wiki/Boston_Celtics
7,wikipedia.org/wiki/Boston_Celtics,http://upload.wikimedia.org/wikipedia/en/thumb/8/8f/Boston_Celtics.svg/400px-Boston_Celtics.svg.png,Celtics,BOS,"Green, White, Black",2002,Boston Celtics,Boston Celtics,"Wycliffe Grousbeck, Stephen Pagliuca, & H. Irving Grousbeck",Purchased Team,"360,000,000","436,400,000",wikipedia.org/wiki/Boston_Celtics
8,wikipedia.org/wiki/Boston_Celtics,http://upload.wikimedia.org/wikipedia/en/thumb/8/8f/Boston_Celtics.svg/400px-Boston_Celtics.svg.png,Celtics,BOS,"Green, White, Black",1972,Boston Celtics,Boston Celtics,Robert Schmertz,"Forced Transaction, Sale to Irv Levin, Harold Lipton Not Approved By Nba Due to Conlfict of Interest","4,000,000","20,900,000",wikipedia.org/wiki/Boston_Celtics
9,wikipedia.org/wiki/Boston_Celtics,http://upload.wikimedia.org/wikipedia/en/thumb/8/8f/Boston_Celtics.svg/400px-Boston_Celtics.svg.png,Celtics,BOS,"Green, White, Black",1986,Boston Celtics,Boston Celtics,Don Gaston,Bought Out Co-owners,"120,000,000","238,700,000",wikipedia.org/wiki/Boston_Celtics
10,wikipedia.org/wiki/Boston_Celtics,http://upload.wikimedia.org/wikipedia/en/thumb/8/8f/Boston_Celtics.svg/400px-Boston_Celtics.svg.png,Celtics,BOS,"Green, White, Black",1946,Boston Celtics,Boston Celtics,Walter A. Brown,Formed in Baa,"3,000","30,000",wikipedia.org/wiki/Boston_Celtics
11,wikipedia.org/wiki/Boston_Celtics,http://upload.wikimedia.org/wikipedia/en/thumb/8/8f/Boston_Celtics.svg/400px-Boston_Celtics.svg.png,Celtics,BOS,"Green, White, Black",1978,Boston Celtics,Boston Celtics,"John Y. Brown, Jr. & Harry T. Mangurian, Jr.",Swapped their Clippers Shares With Previous Owners,0,0,wikipedia.org/wiki/Boston_Celtics
12,wikipedia.org/wiki/Boston_Celtics,http://upload.wikimedia.org/wikipedia/en/thumb/8/8f/Boston_Celtics.svg/400px-Boston_Celtics.svg.png,Celtics,BOS,"Green, White, Black",1964,Boston Celtics,Boston Celtics,Lou Pieri &  Marjorie Brown,"Founder Died, Wife took Over",0,0,wikipedia.org/wiki/Boston_Celtics
13,wikipedia.org/wiki/Boston_Celtics,http://upload.wikimedia.org/wikipedia/en/thumb/8/8f/Boston_Celtics.svg/400px-Boston_Celtics.svg.png,Celtics,BOS,"Green, White, Black",1965,Boston Celtics,Boston Celtics,Marvin Kratter,Purchased Team,"3,000,000","20,800,000",wikipedia.org/wiki/Boston_Celtics
14,wikipedia.org/wiki/Boston_Celtics,http://upload.wikimedia.org/wikipedia/en/thumb/8/8f/Boston_Celtics.svg/400px-Boston_Celtics.svg.png,Celtics,BOS,"Green, White, Black",1975,Boston Celtics,Boston Celtics,Irv Levin & Harold Lipton,Exercised their Option to Repurchase Half of the Celtics_‹_ Stock and Month Later Bought the Rest,0,0,wikipedia.org/wiki/Boston_Celtics
15,wikipedia.org/wiki/Boston_Celtics,http://upload.wikimedia.org/wikipedia/en/thumb/8/8f/Boston_Celtics.svg/400px-Boston_Celtics.svg.png,Celtics,BOS,"Green, White, Black",1968,Boston Celtics,Boston Celtics,Ballantine Brewery,"Bought Team, Trans-national Communications Became Temporary Owners in 1970","6,000,000","37,600,000",wikipedia.org/wiki/Boston_Celtics
16,wikipedia.org/wiki/Boston_Celtics,http://upload.wikimedia.org/wikipedia/en/thumb/8/8f/Boston_Celtics.svg/400px-Boston_Celtics.svg.png,Celtics,BOS,"Green, White, Black",1993,Boston Celtics,Boston Celtics,Paul Gaston,Succeeded His Father,0,0,wikipedia.org/wiki/Boston_Celtics
17,wikipedia.org/wiki/Boston_Celtics,http://upload.wikimedia.org/wikipedia/en/thumb/8/8f/Boston_Celtics.svg/400px-Boston_Celtics.svg.png,Celtics,BOS,"Green, White, Black",1983,Boston Celtics,Boston Celtics,"Don Gaston, Alan N. Cohen, Paul Dupee",Purchased Team,"17,000,000","37,200,000",wikipedia.org/wiki/Boston_Celtics
18,wikipedia.org/wiki/Brooklyn_Nets,http://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Brooklyn_Nets_newlogo.svg/250px-Brooklyn_Nets_newlogo.svg.png,Nets,BKM,"Black, White",1968,New Jersey Americans,Brooklyn Nets,Arthur Brown,Bought a Franchise in ABA,0,0,wikipedia.org/wiki/New_Jersey_Americans
19,wikipedia.org/wiki/Brooklyn_Nets,http://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Brooklyn_Nets_newlogo.svg/250px-Brooklyn_Nets_newlogo.svg.png,Nets,BKM,"Black, White",1970,New York Nets,Brooklyn Nets,Roy Boe,Transfer of Ownership,"1,100,000","6,200,000",wikipedia.org/wiki/New_York_Nets
20,wikipedia.org/wiki/Brooklyn_Nets,http://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Brooklyn_Nets_newlogo.svg/250px-Brooklyn_Nets_newlogo.svg.png,Nets,BKM,"Black, White",2004,New Jersey Nets,Brooklyn Nets,Group headed by Bruce Ratner,Transfer of Ownership,"300,000,000","346,300,000",wikipedia.org/wiki/New_Jersey_Nets
21,wikipedia.org/wiki/Brooklyn_Nets,http://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Brooklyn_Nets_newlogo.svg/250px-Brooklyn_Nets_newlogo.svg.png,Nets,BKM,"Black, White",2010,New Jersey Nets,Brooklyn Nets,Mikhail Prokhorov,"Transfer of 80% Ownership of Team, 45% of Barclays Center","261,000,000","261,000,000",wikipedia.org/wiki/New_Jersey_Nets
22,wikipedia.org/wiki/Brooklyn_Nets,http://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Brooklyn_Nets_newlogo.svg/250px-Brooklyn_Nets_newlogo.svg.png,Nets,BKM,"Black, White",1998,New Jersey Nets,Brooklyn Nets,"Finn Wentworth, Stanley Gale, Raymond Chambers, Ray Katz",Purchase of Team,"150,000,000","200,700,000",wikipedia.org/wiki/New_Jersey_Nets
23,wikipedia.org/wiki/Brooklyn_Nets,http://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Brooklyn_Nets_newlogo.svg/250px-Brooklyn_Nets_newlogo.svg.png,Nets,BKM,"Black, White",1978,New Jersey Nets,Brooklyn Nets,7 local businessmen (led by Joe Taub & Alan N. Cohen),Purchased Team,0,0,wikipedia.org/wiki/New_Jersey_Nets
24,wikipedia.org/wiki/Charlotte_Bobcats,http://upload.wikimedia.org/wikipedia/en/thumb/1/15/Charlotte_Bobcats_2012.png/400px-Charlotte_Bobcats_2012.png,Bobcats,CHA,"Navy, Blue, Orange, Silver, White",2009,Charlotte Bobcats,Charlotte Bobcats,Michael Jordan,"Increased His Small Stake to a Majority One,deal Included Debt","275,000,000","279,500,000",wikipedia.org/wiki/Charlotte_Bobcats
25,wikipedia.org/wiki/Charlotte_Bobcats,http://upload.wikimedia.org/wikipedia/en/thumb/1/15/Charlotte_Bobcats_2012.png/400px-Charlotte_Bobcats_2012.png,Bobcats,CHA,"Navy, Blue, Orange, Silver, White",2003,Charlotte Bobcats,Charlotte Bobcats,Robert Johnson,Expansion Fee,"300,000,000","355,600,000",wikipedia.org/wiki/Charlotte_Bobcats
26,wikipedia.org/wiki/Chicago_Bulls,http://upload.wikimedia.org/wikipedia/en/thumb/6/67/Chicago_Bulls_logo.svg/204px-Chicago_Bulls_logo.svg.png,Bulls,CHI,"Red, Black, White",1972,Chicago Bulls,Chicago Bulls,Ownership Group that Included Arthur Wirtz,Purchased Team,"5,100,000","26,600,000",wikipedia.org/wiki/Chicago_Bulls
27,wikipedia.org/wiki/Chicago_Bulls,http://upload.wikimedia.org/wikipedia/en/thumb/6/67/Chicago_Bulls_logo.svg/204px-Chicago_Bulls_logo.svg.png,Bulls,CHI,"Red, Black, White",1985,Chicago Bulls,Chicago Bulls,Jerry Reinsdorf,Purchased 57% of the Team and Later Bought Out Co-owners,"9,200,000","18,600,000",wikipedia.org/wiki/Chicago_Bulls
28,wikipedia.org/wiki/Chicago_Bulls,http://upload.wikimedia.org/wikipedia/en/thumb/6/67/Chicago_Bulls_logo.svg/204px-Chicago_Bulls_logo.svg.png,Bulls,CHI,"Red, Black, White",1966,Chicago Bulls,Chicago Bulls,Dick Klein,Awarded An Nba Expansion Franchise,"1,600,000","10,800,000",wikipedia.org/wiki/Chicago_Bulls
29,wikipedia.org/wiki/Cleveland_Cavaliers,http://upload.wikimedia.org/wikipedia/en/thumb/f/f7/Cleveland_Cavaliers_2010.svg/400px-Cleveland_Cavaliers_2010.svg.png,Cavaliers,CLE,"Red, Gold, Navy",1980,Cleveland Cavaliers,Cleveland Cavaliers,Ted Stepien,Bought 37% and Soon Became the Majority Shareholder [82%],"2,000,000","5,300,000",wikipedia.org/wiki/Cleveland_Cavaliers
30,wikipedia.org/wiki/Cleveland_Cavaliers,http://upload.wikimedia.org/wikipedia/en/thumb/f/f7/Cleveland_Cavaliers_2010.svg/400px-Cleveland_Cavaliers_2010.svg.png,Cavaliers,CLE,"Red, Gold, Navy",1983,Cleveland Cavaliers,Cleveland Cavaliers,George & Gordon Gund,Purchased the Franchise,"20,000,000","43,800,000",wikipedia.org/wiki/Cleveland_Cavaliers
31,wikipedia.org/wiki/Cleveland_Cavaliers,http://upload.wikimedia.org/wikipedia/en/thumb/f/f7/Cleveland_Cavaliers_2010.svg/400px-Cleveland_Cavaliers_2010.svg.png,Cavaliers,CLE,"Red, Gold, Navy",2005,Cleveland Cavaliers,Cleveland Cavaliers,Dan Gilbert,Became Majority Owner,"375,000,000","418,700,000",wikipedia.org/wiki/Cleveland_Cavaliers
