ID_Position,CIPFamily,CIPFamilyTitle,Variable,Value,Percentage_Position
CB,3,NATURAL RESOURCES AND CONSERVATION.,College Major,1,0.009174312
CB,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",College Major,1,0.009174312
CB,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,14,0.128440367
CB,13,EDUCATION.,College Major,2,0.018348624
CB,14,ENGINEERING.,College Major,6,0.055045872
CB,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,College Major,6,0.055045872
CB,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,28,0.256880734
CB,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,1,0.009174312
CB,30,MULTI/INTERDISCIPLINARY STUDIES.,College Major,1,0.009174312
CB,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,10,0.091743119
CB,42,PSYCHOLOGY.,College Major,3,0.027522936
CB,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",College Major,4,0.036697248
CB,44,PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS.,College Major,1,0.009174312
CB,45,SOCIAL SCIENCES.,College Major,23,0.211009174
CB,50,VISUAL AND PERFORMING ARTS.,College Major,1,0.009174312
CB,51,HEALTH PROFESSIONS AND RELATED PROGRAMS.,College Major,1,0.009174312
CB,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,5,0.04587156
CB,54,HISTORY.,College Major,1,0.009174312
DB,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",College Major,6,0.046511628
DB,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",College Major,1,0.007751938
DB,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,9,0.069767442
DB,10,COMMUNICATIONS TECHNOLOGIES/TECHNICIANS AND SUPPORT SERVICES.,College Major,1,0.007751938
DB,11,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,College Major,1,0.007751938
DB,13,EDUCATION.,College Major,4,0.031007752
DB,14,ENGINEERING.,College Major,4,0.031007752
DB,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,College Major,4,0.031007752
DB,23,ENGLISH LANGUAGE AND LITERATURE/LETTERS.,College Major,2,0.015503876
DB,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,29,0.224806202
DB,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,2,0.015503876
