School_Label,CIPFamilyTitle,ID_Race,CIPCode,CIPTitle,ID_Position,Variable,Value,Percentage_Race
Alabama,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",AA,52.0101,"Business/Commerce, General.",DB,College Major,2,0.5
Alabama,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",AA,52.0101,"Business/Commerce, General.",OL,College Major,2,0.5
Alabama,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",C,52.0101,"Business/Commerce, General.",DB,College Major,1,0.090909091
Alabama,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",C,52.0101,"Business/Commerce, General.",DL,College Major,1,0.090909091
Alabama,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",C,52.0101,"Business/Commerce, General.",LS,College Major,1,0.090909091
Alabama,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",C,52.0101,"Business/Commerce, General.",OL,College Major,1,0.090909091
Alabama,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",C,52.0101,"Business/Commerce, General.",QB,College Major,1,0.090909091
Alabama,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",C,52.0101,"Business/Commerce, General.",RB,College Major,1,0.090909091
Alabama,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",C,52.0101,"Business/Commerce, General.",TE,College Major,2,0.181818182
Alabama,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",C,52.0101,"Business/Commerce, General.",WR,College Major,1,0.090909091
Alabama,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",C,52.0301,Accounting.,OL,College Major,1,0.090909091
Alabama,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",C,52.0801,"Finance, General.",DL,College Major,1,0.090909091
Alabama,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",C,9.0102,Mass Communication/Media Studies.,OL,College Major,1,1
Alabama,HISTORY.,C,54.0101,"History, General.",OL,College Major,1,1
Alabama,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",AA,43.01,Criminal Justice and Corrections.,DB,College Major,1,0.5
Alabama,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",AA,43.01,Criminal Justice and Corrections.,LB,College Major,1,0.5
Alabama,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",AA,24.0102,General Studies.,LB,College Major,1,1
Alabama,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",C,24.0102,General Studies.,DL,College Major,1,0.333333333
Alabama,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",C,24.0102,General Studies.,QB,College Major,1,0.333333333
Alabama,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",C,24.0102,General Studies.,WR,College Major,1,0.333333333
Alabama,NATURAL RESOURCES AND CONSERVATION.,H,3.0104,Environmental Science.,DL,College Major,1,1
Alabama,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",AA,31.0501,"Health and Physical Education/Fitness, General.",OL,College Major,1,0.333333333
Alabama,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",AA,31.0501,"Health and Physical Education/Fitness, General.",WR,College Major,1,0.333333333
Alabama,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",AA,31.0505,Kinesiology and Exercise Science.,DL,College Major,1,0.333333333
Boise State,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",AA,52.0101,"Business/Commerce, General.",DB,College Major,1,0.333333333
Boise State,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",AA,52.0101,"Business/Commerce, General.",WR,College Major,2,0.666666667
Boise State,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",C,52.0101,"Business/Commerce, General.",DT,College Major,1,0.125
Boise State,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",C,52.0101,"Business/Commerce, General.",OG,College Major,1,0.125
Boise State,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",C,52.0101,"Business/Commerce, General.",QB,College Major,1,0.125
Boise State,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",C,52.0101,"Business/Commerce, General.",WR,College Major,1,0.125
Boise State,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",C,52.0601,Business/Managerial Economics.,LB,College Major,1,0.125
