School_Label,ID_Gender,CBB,CAB,A,BD,MA,DR,DPP,DO,Year
Boise State,M,49,47,66,1008,267,6,0,0,2010-2011
Boise State,F,11,74,130,1400,334,5,0,0,2010-2011
Clemson,F,0,1,0,1605,465,73,0,0,2010-2011
Clemson,M,0,0,0,1713,542,119,0,0,2010-2011
Florida State,M,0,15,34,3460,913,225,211,0,2010-2011
Florida State,F,0,44,77,4426,1305,204,178,0,2010-2011
Kansas State,M,0,0,50,1637,462,94,32,0,2010-2011
Kansas State,F,0,0,15,1707,527,68,75,0,2010-2011
Louisiana State,M,0,1,0,2103,514,137,117,0,2010-2011
Louisiana State,F,0,20,0,2337,586,118,132,0,2010-2011
Northern Illinois,M,0,20,0,1890,727,42,52,0,2010-2011
Northern Illinois,F,0,29,0,2031,855,59,42,0,2010-2011
Northwestern,M,100,77,0,1008,1878,204,260,0,2010-2011
Northwestern,F,98,46,0,1127,1321,178,285,0,2010-2011
Notre Dame,F,0,0,0,992,367,65,80,0,2010-2011
Notre Dame,M,0,0,0,1086,584,94,109,0,2010-2011
Ohio State,F,0,2,0,5043,1632,391,442,0,2010-2011
Ohio State,M,0,3,1,5248,1146,391,434,0,2010-2011
Oregon State,M,0,65,0,1746,329,107,48,0,2010-2011
Oregon State,F,0,156,0,1732,416,67,93,0,2010-2011
Rutgers,F,0,0,0,3076,1211,222,140,0,2010-2011
Rutgers,M,0,0,0,3103,582,185,90,0,2010-2011
San Jose State,M,0,0,0,2196,1063,0,0,0,2010-2011
San Jose State,F,0,0,0,2720,1506,0,0,0,2010-2011
Stanford,F,0,1,0,825,794,281,147,0,2010-2011
Stanford,M,0,2,0,845,1349,481,144,0,2010-2011
Texas A&M,M,0,0,0,4267,1273,362,29,0,2010-2011
Texas A&M,F,0,0,0,4481,963,257,91,0,2010-2011
Alabama,M,0,11,0,2032,642,97,91,0,2010-2011
Alabama,F,0,33,0,2431,871,93,120,0,2010-2011
Florida,F,0,61,114,4867,1861,333,810,0,2010-2011
Florida,M,0,9,84,3818,2017,441,543,0,2010-2011
Georgia,F,0,89,0,3947,1065,227,260,0,2010-2011
Georgia,M,0,15,0,2898,699,216,186,0,2010-2011
Louisville,F,4,49,17,1400,700,83,158,0,2010-2011
Louisville,M,20,109,2,1218,551,73,213,0,2010-2011
Michigan,F,0,51,0,3308,1770,372,358,0,2010-2011
Michigan,M,0,34,0,3245,2041,425,395,0,2010-2011
Nebraska,F,0,8,0,1787,452,133,49,0,2010-2011
Nebraska,M,0,0,6,1834,422,154,90,0,2010-2011
Oklahoma,F,0,8,0,1933,937,77,75,0,2010-2011
Oklahoma,M,0,1,0,1796,815,109,88,0,2010-2011
Oregon,F,0,277,0,1994,530,76,81,0,2010-2011
Oregon,M,0,124,0,1837,446,73,93,0,2010-2011
South Carolina,F,9,102,1,2461,1093,157,202,0,2010-2011
South Carolina,M,6,34,5,2001,626,132,212,0,2010-2011
Texas,F,0,0,0,4957,1436,383,264,0,2010-2011
Texas,M,0,0,0,4097,1584,418,244,0,2010-2011
Utah State,F,7,6,332,1654,377,45,3,0,2010-2011
Utah State,M,4,3,173,1578,485,66,3,0,2010-2011
Vanderbilt,F,0,0,0,956,790,156,177,0,2010-2011
Vanderbilt,M,0,0,0,779,462,166,154,0,2010-2011
