"","School_Label","BD_C","BD_C_Percentage","CIPFamily","CIPTitle","Year"
"1","Alabama",164,0.036746583015909,26,"BIOLOGICAL AND BIOMEDICAL SCIENCES.","2010-2011"
"2","Alabama",1334,0.298902083800134,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.","2010-2011"
"3","Alabama",304,0.068115617297782,13,"EDUCATION.","2010-2011"
"4","Alabama",314,0.07035626260363,14,"ENGINEERING.","2010-2011"
"5","Alabama",444,0.099484651579655,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.","2010-2011"
"6","Alabama",19,0.004257226081111,11,"COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.","2010-2011"
"7","Alabama",12,0.002688774367018,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.","2010-2011"
"8","Alabama",26,0.005825677795205,27,"MATHEMATICS AND STATISTICS.","2010-2011"
"9","Alabama",9,0.002016580775263,3,"NATURAL RESOURCES AND CONSERVATION.","2010-2011"
"10","Alabama",18,0.004033161550527,38,"PHILOSOPHY AND RELIGIOUS STUDIES.","2010-2011"
"11","Alabama",54,0.01209948465158,40,"PHYSICAL SCIENCES.","2010-2011"
"12","Alabama",143,0.032041227873628,42,"PSYCHOLOGY.","2010-2011"
"13","Alabama",48,0.010755097468071,44,"PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS.","2010-2011"
"14","Alabama",85,0.019045485099709,23,"ENGLISH LANGUAGE AND LITERATURE/LETTERS.","2010-2011"
"15","Alabama",324,0.072596907909478,19,"FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.","2010-2011"
"16","Alabama",34,0.007618194039883,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.","2010-2011"
"17","Alabama",457,0.102397490477257,51,"HEALTH PROFESSIONS AND RELATED PROGRAMS.","2010-2011"
"18","Alabama",96,0.021510194936142,54,"HISTORY.","2010-2011"
"19","Alabama",70,0.015684517140937,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.","2010-2011"
