Number,Player,PlayerBio_URL,Position,Height,Weight,Year,Hometown,City,State,High_School,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
1,Martavis Bryant,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529420&Q_SEASON=2012,WR,6/5/13,200,SO,"Calhoun Falls, SC ",Calhoun Falls,SC,T.L. Hanna,,,,Clemson University,2012-2013
2,Sammy Watkins,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529402&Q_SEASON=2012,WR,6/1/13,205,SO,"Fort Myers, FL ",Fort Myers,FL,South Fort Myers,,,,Clemson University,2012-2013
3,Vic Beasley,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529390&Q_SEASON=2012,DE,6/3/13,225,RSO,"Adairsville, GA ",Adairsville,GA,Adairsville,,,,Clemson University,2012-2013
5,Germone Hopper,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205530356&Q_SEASON=2012,WR,6/1/00,170,FR,"Charlotte, NC ",Charlotte,NC,Phillip O. Berry Academy,,,,Clemson University,2012-2013
5,Jonathan Meeks,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529361&Q_SEASON=2012,S,6/1/13,210,SR,"Rock Hill, SC ",Rock Hill,SC,Rock Hill,,,,Clemson University,2012-2013
6,Tavaris Barnes,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529416&Q_SEASON=2012,DT,6/3/13,270,RSO,"Jacksonville, FL ",Jacksonville,FL,First Coast,,,,Clemson University,2012-2013
6,DeAndre Hopkins,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529373&Q_SEASON=2012,WR,6/1/13,205,JR,"Central, SC ",Central,SC,D.W. Daniel,,,,Clemson University,2012-2013
7,Tony Steward,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529352&Q_SEASON=2012,LB,6/1/00,235,SO,"Hastings, FL ",Hastings,FL,Pedro Menendez,,,,Clemson University,2012-2013
8,Justin Parker,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529437&Q_SEASON=2012,LB,6/1/13,225,JR,"Port Royal, SC ",Port Royal,SC,Beaufort,,,,Clemson University,2012-2013
8,Cole Stoudt,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529368&Q_SEASON=2012,QB,6/4/13,205,SO,"Dublin, OH ",Dublin,OH,Dublin Coffman,,,,Clemson University,2012-2013
9,Xavier Brewer,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529351&Q_SEASON=2012,DB,5/11/13,190,GR,"Jacksonville, FL ",Jacksonville,FL,Bartram Trail,,,,Clemson University,2012-2013
10,Tajh Boyd,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529382&Q_SEASON=2012,QB,6/1/13,225,RJR,"Hampton, VA ",Hampton,VA,Phoebus,,,,Clemson University,2012-2013
