ID_School,ID_Sport,Season,Number,Name,First_Name,Last_Name,Position,Height,Weight,Year,Hometown/Prior_School,Player_URL,Major,Concentration
CLEM,MBBALL,2012-2013,2,Carson Fields,Carson,Fields,G,41429,200,So.,"Pewee Valley, KY (South Oldham HS)",http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657840&SPID=103715&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205528961&Q_SEASON=2012,,
CLEM,MBBALL,2012-2013,3,Adonis Filer,Adonis,Filer,G,41427,190,Fr.,"Chicago, IL (Notre Dame Preparatory)",http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657840&SPID=103715&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205562329&Q_SEASON=2012,,
CLEM,MBBALL,2012-2013,5,Jaron Blossomgame,Jaron,Blossomgame,F,41432,205,Fr.,"Alpharetta, GA (Chattahoochee HS)",http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657840&SPID=103715&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205562325&Q_SEASON=2012,,
CLEM,MBBALL,2012-2013,12,Rod Hall,Rod,Hall,G,41426,210,So.,"Augusta, GA (Lucy C. Laney High School)",http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657840&SPID=103715&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205528956&Q_SEASON=2012,,
CLEM,MBBALL,2012-2013,15,Devin Coleman,Devin,Coleman,G,41427,200,So.,"Philadelphia, PA (Friends' Central High School)",http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657840&SPID=103715&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205528954&Q_SEASON=2012,,
CLEM,MBBALL,2012-2013,20,Jordan Roper,Jordan,Roper,G,41405,165,Fr.,"Columbia, SC (Irmo HS)",http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657840&SPID=103715&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205562425&Q_SEASON=2012,,
CLEM,MBBALL,2012-2013,21,Damarcus Harrison,Damarcus,Harrison,G,41429,200,So.,"Greenwood, SC",http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657840&SPID=103715&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205587416&Q_SEASON=2012,,
CLEM,MBBALL,2012-2013,24,Milton Jennings,Milton,Jennings,F,41434,225,Sr.,"Summerville, SC (Pinewood Prep)",http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657840&SPID=103715&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205528951&Q_SEASON=2012,,
CLEM,MBBALL,2012-2013,31,Devin Booker,Devin,Booker,F/C,41433,250,Sr.,"Whitmire, SC (Union)",http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657840&SPID=103715&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205528964&Q_SEASON=2012,,
CLEM,MBBALL,2012-2013,32,K.J. McDaniels,K.J.,McDaniels,F,41431,200,So.,"Birmingham, AL (Central Park Christian School)",http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657840&SPID=103715&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205528955&Q_SEASON=2012,,
