ID_School,ID_Sport,Season,Number,Player,First_Name,Last_Name,Position,Height,Weight,Year,Hometown/Last_School,Last_School,Player_Bio
OSU,MBBALL,2012-2013,4,Aaron Craft,Aaron,Craft,Guard,6/2/13,195,JR,"Findlay, Ohio (Liberty Benton)",,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/craft_aaron00.html
OSU,MBBALL,2012-2013,33,Amedeo Della Valle,Amedeo,Della Valle,Guard,6/5/13,190,FR,"Alba, Italy (Findlay Prep)",,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/della valle_amedeo00.html
OSU,MBBALL,2012-2013,2,Andrew Goldstein,Andrew,Goldstein,Guard,6/3/13,200,JR,"Marlboro, N.J. (Marlboro)",,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/goldstein_andrew00.html
OSU,MBBALL,2012-2013,34,Jake Lorbach,Jake,Lorbach,Forward,6/7/13,210,SO,"Elyria, Ohio (St. Edward)",,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/lorbach_jake00.html
OSU,MBBALL,2012-2013,55,Trey McDonald,Trey,McDonald,Center,6/8/13,240,SO,"Battle Creek, Mich. (Battle Creek Central)",,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/mcdonald_trey00.html
OSU,MBBALL,2012-2013,30,Evan Ravenel,Evan,Ravenel,Forward,6/8/13,250,SR,"Tampa, Fla. (Brandon)",,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/ravenel_evan00.html
OSU,MBBALL,2012-2013,14,Alex Rogers,Alex,Rogers,Guard,6/2/13,200,JR,"Cincinnati, Ohio (Christian Brothers Univ.)",,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/rogers_alex00.html
OSU,MBBALL,2012-2013,10,LaQuinton Ross,LaQuinton,Ross,Forward,6/8/13,220,SO,"Jackson, Miss. (Life Center Academy (N.J.))",,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/ross_laquinton00.html
OSU,MBBALL,2012-2013,3,Shannon Scott,Shannon,Scott,Guard,6/1/13,185,SO,"Alpharetta, Ga. (Milton)",,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/scott_shannon00.html
OSU,MBBALL,2012-2013,32,Lenzelle Smith Jr.,Lenzelle,Smith Jr.,Guard,6/4/13,210,JR,"Zion, Ill (Zion-Benton)",,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/smithjr_lenzelle00.html
