ID_School,ID_Sport,Season,Number,Player,Last_Name,First_Name,Position,Height,Weight,Year,Hometown/Last_School,Player_URL,
USC,MBBALL,2012-2013,3,Zach Banner,Banner,Zach,Forward,6/9/13,335,FR,"Tacoma, Wash. (Lakes HS)",http://www.usctrojans.com/sports/m-baskbl/mtt/banner_zach00.html,
USC,MBBALL,2012-2013,31,James Blasczyk,Blasczyk,James,Center,7/1/13,260,SR,"Friendswood, Texas (Friendswood)",http://www.usctrojans.com/sports/m-baskbl/mtt/blasczyk_james00.html,
USC,MBBALL,2012-2013,13,Chass Bryan,Bryan,Chass,Guard,5/9/13,165,FR,"Oak Park, Calif. (Oaks Christian)",http://www.usctrojans.com/sports/m-baskbl/mtt/bryan_chass00.html,
USC,MBBALL,2012-2013,14,Dewayne Dedmon,Dedmon,Dewayne,Forward,7/1/00,255,RS JR,"Lancaster, Calif. (Lancaster)",http://www.usctrojans.com/sports/m-baskbl/mtt/dedmon_dewayne00.html,
USC,MBBALL,2012-2013,1,Jio Fontan,Fontan,Jio,Guard,6/1/00,175,RS SR,"Paterson, N.J. (St. Anthony's)",http://www.usctrojans.com/sports/m-baskbl/mtt/fontan_jio00.html,
USC,MBBALL,2012-2013,21,Aaron Fuller,Fuller,Aaron,Forward,6/6/13,235,RS SR,"Mesa, Ariz. (Mesa)",http://www.usctrojans.com/sports/m-baskbl/mtt/fuller_aaron00.html,
USC,MBBALL,2012-2013,41,Strahinja Gavrilovic,Gavrilovic,Strahinja,Forward,6/9/13,225,FR,"Kragujevac, Serbia (Rock Academy)",http://www.usctrojans.com/sports/m-baskbl/mtt/gavrilovic_strahinja00.html,
USC,MBBALL,2012-2013,24,Daniel Munoz,Munoz,Daniel,Guard,5/10/13,175,RS JR,"Coto de Caza, Calif. (Santa Margarita)",http://www.usctrojans.com/sports/m-baskbl/mtt/munoz_daniel00.html,
USC,MBBALL,2012-2013,55,Omar Oraby,Oraby,Omar,Center,7/2/13,270,JR,"Cairo, Egypt",http://www.usctrojans.com/sports/m-baskbl/mtt/oraby_omar00.html,
USC,MBBALL,2012-2013,5,Ari Stewart,Stewart,Ari,Forward,6/7/13,205,RS JR,"Marietta, Ga. (Wheeler)",http://www.usctrojans.com/sports/m-baskbl/mtt/stewart_ari00.html,
USC,MBBALL,2012-2013,10,Tyler Sugiyama,Sugiyama,Tyler,Guard,5/10/13,150,RS JR,"Winnetka, Ill. (New Trier HS)",http://www.usctrojans.com/sports/m-baskbl/mtt/sugiyama_tyler00.html,
USC,MBBALL,2012-2013,15,Brendyn Taylor,Taylor,Brendyn,Guard,6/2/13,185,FR,"Los Angeles, Calif. (Fairfax)",http://www.usctrojans.com/sports/m-baskbl/mtt/taylor_brendyn00.html,
USC,MBBALL,2012-2013,20,J.T. Terrell,Terrell,J.T.,Guard,6/3/13,185,JR,"Burlington, NC (West Charlotte)",http://www.usctrojans.com/sports/m-baskbl/mtt/terrell_j.t.00.html,
USC,MBBALL,2012-2013,22,Byron Wesley,Wesley,Byron,Guard,6/5/13,210,SO,"Rancho Cucamonga, Calif. (Etiwanda)",http://www.usctrojans.com/sports/m-baskbl/mtt/wesley_byron00.html,
USC,MBBALL,2012-2013,34,Eric Wise,Wise,Eric,Forward,6/6/13,240,RS SR,"Riverside, Calif. (King)",http://www.usctrojans.com/sports/m-baskbl/mtt/wise_eric00.html,
USC,MBBALL,2012-2013,0,Renaldo Woolridge,Woolridge,Renaldo,Forward,6/9/13,220,SR,"Sheman Oaks, Calif. (Harvard-Westlake)",http://www.usctrojans.com/sports/m-baskbl/mtt/woolridge_renaldo00.html,
USC,MBBALL,2011-2012,2,Greg Allen,Allen,Greg,Guard,6/3/13,180,JR,"Eureka, Calif. (Eureka)",http://www.usctrojans.com/sports/m-baskbl/mtt/allen_greg00.html,
USC,MBBALL,2011-2012,31,James Blasczyk,Blasczyk,James,Center,7/1/13,260,JR,"Friendswood, Texas (Friendswood)",http://www.usctrojans.com/sports/m-baskbl/mtt/blasczyk_james00.html,
USC,MBBALL,2011-2012,14,Dewayne Dedmon,Dedmon,Dewayne,Forward,,255,RS SO,"Lancaster, Calif. (Lancaster)",http://www.usctrojans.com/sports/m-baskbl/mtt/dedmon_dewayne00.html,
USC,MBBALL,2011-2012,41,Danilo Dragovic,Dragovic,Danilo,Guard,6/5/13,195,FR,"Belgrade, Serbia (Harvard-Westlake)",http://www.usctrojans.com/sports/m-baskbl/mtt/dragovic_danilo00.html,
USC,MBBALL,2011-2012,1,Jio Fontan,Fontan,Jio,Guard,6/1/00,175,SR,"Paterson, N.J. (St. Anthony's)",http://www.usctrojans.com/sports/m-baskbl/mtt/fontan_jio00.html,
