ID_Sport,ID_School,Season,Number,Player,First_Name,Last_Name,Position,Height,Weight,Year,Experience,Hometown/Prior_School,Player_URL,Photo_URL
FBALL,UF,2005-2006,1,Michael McIntosh,Michael,McIntosh,WR,6/1/00,191,RFR,SQ,Jacksonville/First Coast,http://www.gatorzone.com/football/bios.php?sub=team&bio=mcintosh.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=mcintosh.html
FBALL,UF,2005-2006,2,Markus Manson,Markus,Manson,RB,6/1/00,210,RFR,SQ,"Tuscaloosa, Ala./Hillcrest",http://www.gatorzone.com/football/bios.php?sub=team&bio=manson.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=manson.html
FBALL,UF,2005-2006,3,Kyle Jackson,Kyle,Jackson,S,6/1/13,200,SO,1L,Neptune Beach/Fletcher,http://www.gatorzone.com/football/bios.php?sub=team&bio=jackson_k.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=jackson_k.html
FBALL,UF,2005-2006,4,Avery Atkins,Avery,Atkins,CB,5/11/13,189,FR,HS,Daytona Beach/Mainland,http://www.gatorzone.com/football/bios.php?sub=team&bio=atkins.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=atkins.html
FBALL,UF,2005-2006,5,Andre Caldwell,Andre,Caldwell,WR,6/1/13,200,JR,2L,Tampa/Jefferson,http://www.gatorzone.com/football/bios.php?sub=team&bio=caldwell_a.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=caldwell_a.html
FBALL,UF,2005-2006,6,Jemalle Cornelius,Jemalle,Cornelius,WR,5/11/13,190,JR,2L,Fort Meade/Fort Meade,http://www.gatorzone.com/football/bios.php?sub=team&bio=cornelius.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=cornelius.html
FBALL,UF,2005-2006,7,Cornelius Ingram,Cornelius,Ingram,QB,6/4/13,225,RFR,SQ,Hawthorne/Hawthorne,http://www.gatorzone.com/football/bios.php?sub=team&bio=ingram.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=ingram.html
FBALL,UF,2005-2006,8,Chad Jackson,Chad,Jackson,WR,6/1/13,205,JR,2L,"Hoover, Ala./Hoover",http://www.gatorzone.com/football/bios.php?sub=team&bio=jackson_c.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=jackson_c.html
FBALL,UF,2005-2006,9,Matt Kynes,Matt,Kynes,QB,6/2/13,215,SR,SQ,"Annandale, Va./Thomas Jefferson",http://www.gatorzone.com/football/bios.php?sub=team&bio=kynes.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=kynes.html
FBALL,UF,2005-2006,9,Kenneth Tookes,Kenneth,Tookes,WR,6/2/13,209,JR,1L,Jacksonville/First Coast,http://www.gatorzone.com/football/bios.php?sub=team&bio=tookes.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=tookes.html
FBALL,UF,2005-2006,10,John Curtis,John,Curtis,WR,6/2/13,210,RFR,SQ,Cocoa Beach/Rockledge,http://www.gatorzone.com/football/bios.php?sub=team&bio=curtis.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=curtis.html
FBALL,UF,2005-2006,10,Eric Wilbur,Eric,Wilbur,P,6/1/13,195,JR,2L,Winter Park/Trinity Prep,http://www.gatorzone.com/football/bios.php?sub=team&bio=wilbur.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=wilbur.html
FBALL,UF,2005-2006,12,Chris Leak,Chris,Leak,QB,6/1/00,210,JR,2L,"Charlotte, N.C./Independence",http://www.gatorzone.com/football/bios.php?sub=team&bio=leak.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=leak.html
FBALL,UF,2005-2006,13,Brian Crum,Brian,Crum,LB,6/3/13,237,JR,1L,"Woodbine, Ga./Camden County",http://www.gatorzone.com/football/bios.php?sub=team&bio=crum.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=crum.html
FBALL,UF,2005-2006,14,Richard Fetherolf,Richard,Fetherolf,S,5/11/13,174,FR,HS,Tallahassee/Lincoln,http://www.gatorzone.com/football/bios.php?sub=team&bio=fetherolf.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=fetherolf.html
FBALL,UF,2005-2006,14,Eric Nappy,Eric,Nappy,K,5/10/13,180,JR,SQ,Gainesville/Buchholz,http://www.gatorzone.com/football/bios.php?sub=team&bio=nappy.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=nappy.html
FBALL,UF,2005-2006,15,Demetrice Webb,Demetrice,Webb,CB,5/11/13,190,JR,2L,Jacksonville/Ed White,http://www.gatorzone.com/football/bios.php?sub=team&bio=webb.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=webb.html
FBALL,UF,2005-2006,16,Vernell Brown,Vernell,Brown,CB,5/8/13,165,SR,3L,Gainesville/Gainesville,http://www.gatorzone.com/football/bios.php?sub=team&bio=brown_v.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=brown_v.html
FBALL,UF,2005-2006,17,Curtis Carr,Curtis,Carr,S,5/10/13,176,RFR,HS,Gainesville/Naval Academy Prep,http://www.gatorzone.com/football/bios.php?sub=team&bio=carr.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=carr.html
FBALL,UF,2005-2006,17,Gavin Dickey,Gavin,Dickey,QB/WR,5/11/13,205,JR,1L,Tallahassee/Lincoln,http://www.gatorzone.com/football/bios.php?sub=team&bio=dickey.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=dickey.html
FBALL,UF,2005-2006,18,Tremaine McCollum,Tremaine,McCollum,CB,5/8/13,178,JR,1L,Miami/Southridge,http://www.gatorzone.com/football/bios.php?sub=team&bio=mccollum_t.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=mccollum_t.html
FBALL,UF,2005-2006,19,Tony Joiner,Tony,Joiner,S,5/11/13,200,SO,1L,Haines City/Haines City,http://www.gatorzone.com/football/bios.php?sub=team&bio=joiner.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=joiner.html
FBALL,UF,2005-2006,20,Joe Cohen,Joe,Cohen,DT,6/2/13,275,JR,2L,Melbourne/Palm Bay,http://www.gatorzone.com/football/bios.php?sub=team&bio=cohen.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=cohen.html
FBALL,UF,2005-2006,20,Anthony Gay,Anthony,Gay,RB,5/9/13,171,SO,HS,Orlando/Jones,http://www.gatorzone.com/football/bios.php?sub=team&bio=gay.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=gay.html
FBALL,UF,2005-2006,21,DeShawn Wynn,DeShawn,Wynn,RB,5/11/13,230,JR,2L,"Cincinnati, Ohio/Reading",http://www.gatorzone.com/football/bios.php?sub=team&bio=wynn.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=wynn.html
FBALL,UF,2005-2006,22,Reggie Lewis,Reggie,Lewis,CB,5/10/13,195,JR,2L,Jacksonville/First Coast,http://www.gatorzone.com/football/bios.php?sub=team&bio=lewis.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=lewis.html
FBALL,UF,2005-2006,23,Dawayne Grace,Dawayne,Grace,CB,6/1/13,190,RFR,SQ,Jacksonville/Ed White,http://www.gatorzone.com/football/bios.php?sub=team&bio=grace.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=grace.html
FBALL,UF,2005-2006,23,Cade Holliday,Cade,Holliday,WR,5/11/13,184,FR,HS,Gainesville/Green Hope (N.C.),http://www.gatorzone.com/football/bios.php?sub=team&bio=holliday.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=holliday.html
FBALL,UF,2005-2006,25,Skyler Thornton,Skyler,Thornton,RB,5/11/13,209,JR,2L,"LaGrange, Ga./LaGrange",http://www.gatorzone.com/football/bios.php?sub=team&bio=thornton.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=thornton.html
FBALL,UF,2005-2006,26,Jermaine McCollum,Jermaine,McCollum,CB,5/9/13,185,JR,2L,Miami/Southridge,http://www.gatorzone.com/football/bios.php?sub=team&bio=mccollum_j.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=mccollum_j.html
FBALL,UF,2005-2006,27,DaJuan Lawrence,DaJuan,Lawrence,RB,5/5/13,180,JR,SQ,Miami/Carol City,http://www.gatorzone.com/football/bios.php?sub=team&bio=lawrence.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=lawrence.html
FBALL,UF,2005-2006,28,Kyle Morgan,Kyle,Morgan,WR,6/2/13,225,SR,1L,Melbourne/Melbourne Central Catholic,http://www.gatorzone.com/football/bios.php?sub=team&bio=morgan.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=morgan.html
FBALL,UF,2005-2006,29,Eric Rutledge,Eric,Rutledge,HB,6/1/00,240,SO,IL,Gainesville/P.K. Yonge,http://www.gatorzone.com/football/bios.php?sub=team&bio=rutledge.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=rutledge.html
FBALL,UF,2005-2006,30,Earl Everett,Earl,Everett,LB,6/2/13,231,JR,2L,Webster/South Sumter,http://www.gatorzone.com/football/bios.php?sub=team&bio=everett.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=everett.html
FBALL,UF,2005-2006,31,Charles Brown,Charles,Brown,WR,5/7/13,180,RFR,SQ,"Williamsburg, Va./York",http://www.gatorzone.com/football/bios.php?sub=team&bio=brown_c.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=brown_c.html
FBALL,UF,2005-2006,31,Moise Paul,Moise,Paul,FS/SS,6/2/13,204,JR,TR,"Brooklyn, N.Y./New Utrecht HS/Northland C.C.",http://www.gatorzone.com/football/bios.php?sub=team&bio=paul.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=paul.html
FBALL,UF,2005-2006,32,Reggie Nelson,Reggie,Nelson,S,6/1/13,175,SO,TR,Melbourne/Palm Bay/Coffeyville (Kan.) JC,http://www.gatorzone.com/football/bios.php?sub=team&bio=nelson_r.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=nelson_r.html
