ID_School,ID_Sport,Season,Number,Player,First_Name,Last_Name,Position,Height,Weight,Year,Hometown,Prior_School,Player_URL,Birthday
FSU,FBALL,2011-2012,41,Chad Abram,Chad,Abram,FB,6/1/00,227,SO,"Lakeland, Fla.",Kathleen,http://www.seminoles.com/sports/m-footbl/mtt/abram_chad00.html,
FSU,FBALL,2011-2012,38,Jonathan Akanbi,Jonathan,Akanbi,DB,6/1/13,190,SO,"Orlando, Fla.",Edgewater,http://www.seminoles.com/sports/m-footbl/mtt/akanbi_jonathan00.html,
FSU,FBALL,2011-2012,62,Austin Barron,Austin,Barron,OL,6/2/13,295,FR,"Fort Lauderdale, Fla.",St. Thomas Aquinas,http://www.seminoles.com/sports/m-footbl/mtt/barron_austin00.html,
FSU,FBALL,2011-2012,1,Kelvin Benjamin,Kelvin,Benjamin,WR,6/6/13,242,FR,"Belle Glade, Fla.",Glades Central,http://www.seminoles.com/sports/m-footbl/mtt/benjamin_kelvin00.html,
FSU,FBALL,2011-2012,29,Eric Beverly,Eric,Beverly,RB,5/9/13,220,FR,"Jacksonville, Fla.",First Coast,http://www.seminoles.com/sports/m-footbl/mtt/beverly_eric00.html,
FSU,FBALL,2011-2012,13,Nigel Bradham,Nigel,Bradham,LB,6/3/13,240,SR,"Crawfordville, Fla.",Wakulla,http://www.seminoles.com/sports/m-footbl/mtt/bradham_nigel00.html,
FSU,FBALL,2011-2012,37,Nathan Brazeau,Nathan,Brazeau,FB,5/9/13,210,SR,"Brooksville, Fla.",Central,http://www.seminoles.com/sports/m-footbl/mtt/brazeau_nathan00.html,
FSU,FBALL,2011-2012,3,Justin Bright,Justin,Bright,S,6/1/13,190,RS SO,"Duncan, S.C.",Byrnes,http://www.seminoles.com/sports/m-footbl/mtt/bright_justin00.html,
FSU,FBALL,2011-2012,31,Terrence Brooks,Terrence,Brooks,DB,5/11/13,193,SO,"Dunnellon, Fla.",Dunnellon,http://www.seminoles.com/sports/m-footbl/mtt/brooks_terrence00.html,
FSU,FBALL,2011-2012,27,Chris Brown,Chris,Brown,RB,6/1/00,210,FR,"Tampa, Fla.",Cambridge Christian,http://www.seminoles.com/sports/m-footbl/mtt/brown_chris00.html,
FSU,FBALL,2011-2012,78,Shayne Broxsie,Shayne,Broxsie,DE,6/2/13,260,JR,"Monticello, Fla.",Jefferson County,http://www.seminoles.com/sports/m-footbl/mtt/broxsie_shayne00.html,
FSU,FBALL,2011-2012,42,Lamarcus Brutus,Lamarcus,Brutus,DB,6/1/00,188,FR,"Port St. Lucie, Fla.",Treasure Coast,http://www.seminoles.com/sports/m-footbl/mtt/brutus_lamarcus00.html,
FSU,FBALL,2011-2012,36,Kory Burnett,Kory,Burnett,S,5/11/13,197,JR,"Jacksonville, Fla.",Bartram Trail,http://www.seminoles.com/sports/m-footbl/mtt/burnett_kory00.html,
FSU,FBALL,2011-2012,57,Terrance Carey,Terrance,Carey,OL,6/1/13,297,FR,"Miami, Fla.",Northwestern,http://www.seminoles.com/sports/m-footbl/mtt/carey_terrance00.html,
FSU,FBALL,2011-2012,91,Cornellius Carradine,Cornellius,Carradine,DE,6/5/13,267,JR,"Cincinnati, Ohio",Taft HS,http://www.seminoles.com/sports/m-footbl/mtt/carradine_cornellius00.html,
FSU,FBALL,2011-2012,65,Ruben Carter,Ruben,Carter,OL,6/5/13,308,FR,"Miami, Fla.",Jackson,http://www.seminoles.com/sports/m-footbl/mtt/carter_ruben00.html,
FSU,FBALL,2011-2012,14,Jacob Coker,Jacob,Coker,QB,6/5/13,235,FR,"Mobile, Ala.",St. Paul's Episcopal,http://www.seminoles.com/sports/m-footbl/mtt/coker_jacob00.html,
FSU,FBALL,2011-2012,39,Chad Colley,Chad,Colley,S,5/11/13,190,SR,"Gulf Breeze, Fla.",Gulf Breeze,http://www.seminoles.com/sports/m-footbl/mtt/colley_chad00.html,
