ID_Sport,ID_School,Season,Number,Player,First_Name,Last_Name,Position,ID_Position,Height,Height_Inches,Weight,Year,Hometown,City,State,Prior_School,Player_URL
ND,FBALL,2005-2006,95,Victor Abiamiri,Abiamiri,Victor,Defensive Line,DL,6'4,76,260,JR,"Randallstown, MD",Randallstown,MD,The Gilman School,http://www.und.com/sports/m-footbl/mtt/abiamiri_victor00.html
ND,FBALL,2005-2006,23,Chase Anastasio,Anastasio,Chase,Wide Receiver,WR,6'2,74,203,JR,"Burke, VA",Burke,VA,Robinson,http://www.und.com/sports/m-footbl/mtt/anastasio_chase00.html
ND,FBALL,2005-2006,49,Matt Augustyn,Augustyn,Matt,Running back,RB,6'3,75,220,JR,"Chevy Chase, MD",Chevy Chase,MD,Our Lady of Good Counsel,http://www.und.com/sports/m-footbl/mtt/augustyn_matt00.html
ND,FBALL,2005-2006,58,Abdel Banda,Banda,Abdel,Linebacker,LB,6'1,73,220,SO,"Morristown, NJ",Morristown,NJ,Delbarton,http://www.und.com/sports/m-footbl/mtt/banda_abdel00.html
ND,FBALL,2005-2006,90,Brian Beidatsch,Beidatsch,Brian,Defensive Line,DL,6'3,75,294,SR,"Milwaukee, WI",Milwaukee,WI,Marquette,http://www.und.com/sports/m-footbl/mtt/beidatsch_brian00.html
ND,FBALL,2005-2006,59,James Bent,Bent,James,Offensive Line,OL,6'2,74,265,SR,"Mishawaka, IN",Mishawaka,IN,Mishawaka,http://www.und.com/sports/m-footbl/mtt/bent_james00.html
ND,FBALL,2005-2006,53,Joseph Boland,Boland,Joseph,Linebacker,LB,6'2,74,242,SR,"Drexel Hill, PA",Drexel Hill,PA,Monsignor Bonner,http://www.und.com/sports/m-footbl/mtt/boland_joseph00.html
ND,FBALL,2005-2006,71,James Bonelli,Bonelli,James,Offensive Line,OL,6'5,77,280,SR,"Camarillo, CA",Camarillo,CA,St. Bonaventure,http://www.und.com/sports/m-footbl/mtt/bonelli_james00.html
ND,FBALL,2005-2006,56,Nick Borseti,Borseti,Nick,Linebacker,LB,6'4,76,238,JR,"Saugus, MA",Saugus,MA,St. John's Prep,http://www.und.com/sports/m-footbl/mtt/borseti_nick00.html
ND,FBALL,2005-2006,7,Darrin Bragg,Bragg,Darrin,Wide Receiver,WR,6'1,73,192,SO,"San Jose, CA",San Jose,CA,Bellarmine Prep,http://www.und.com/sports/m-footbl/mtt/bragg_darrin00.html
ND,FBALL,2005-2006,52,Joe Brockington,Brockington,Joe,Linebacker,LB,6'1,73,212,JR,"Palmyra, PA",Palmyra,PA,Palmyra,http://www.und.com/sports/m-footbl/mtt/brockington_joe00.html
ND,FBALL,2005-2006,94,Justin Brown,Brown,Justin,Defensive Line,DL,6'3,75,247,SO,"Clinton, MD",Clinton,MD,Bishop McNamara,http://www.und.com/sports/m-footbl/mtt/brown_justin00.html
ND,FBALL,2005-2006,27,David Bruton,Bruton,David,Defensive Back,DB,6'2,74,187,FR,"Miamisburg, OH",Miamisburg,OH,Miamisburg,http://www.und.com/sports/m-footbl/mtt/bruton_david00.html
ND,FBALL,2005-2006,91,Craig Cardillo,Cardillo,Craig,Kicker,K,6'0,72,175,JR,"Hauppauge, NY",Hauppauge,NY,Hauppauge,http://www.und.com/sports/m-footbl/mtt/cardillo_craig00.html
ND,FBALL,2005-2006,89,John Carlson,Carlson,John,Tight End,TE,6'6,78,254,JR,"Litchfield, MN",Litchfield,MN,Litchfield,http://www.und.com/sports/m-footbl/mtt/carlson_john00.html
ND,FBALL,2005-2006,31,Jake Carney,Carney,Jake,Defensive Back,DB,6'0,72,187,SR,"Lexington, KY",Lexington,KY,Lexington Catholic,http://www.und.com/sports/m-footbl/mtt/carney_jake00.html
ND,FBALL,2005-2006,93,Dan Chervanick,Chervanick,Dan,Defensive Line,DL,6'1,73,259,SR,"Leesport, PA",Leesport,PA,Holy Name,http://www.und.com/sports/m-footbl/mtt/chervanick_dan00.html
ND,FBALL,2005-2006,40,Maurice Crum Jr.,Crum Jr.,Maurice,Linebacker,LB,6'0,72,220,SO,"Riverview, FL",Riverview,FL,Tamba Bay Tech,http://www.und.com/sports/m-footbl/mtt/crumjr_maurice00.html
ND,FBALL,2005-2006,60,Casey Cullen,Cullen,Casey,Defensive Line,DL,6'1,73,238,JR,"Victoria, TX",Victoria,TX,St. Joseph,http://www.und.com/sports/m-footbl/mtt/cullen_casey00.html
