ID_School,ID_Sport,Season,Number,Player,First_Name,Last_Name,Position,Year,Height,Weight,Hometown/Last_School,Last_School,Player_URL
UGA,FBALL,2011-2012,24,Jamel Allen,Jamel,Allen,OLB,JR,6/2/13,226,"Sylvester, Ga./Albany State",,http://www.georgiadogs.com/sports/m-footbl/mtt/allen_jamel00.html
UGA,FBALL,2011-2012,79,Justin Anderson,Justin,Anderson,OT,SR,6/5/13,342,"Ocilla, Ga./Irwin County/Hargrave Military",,http://www.georgiadogs.com/sports/m-footbl/mtt/anderson_justin00.html
UGA,FBALL,2011-2012,61,David Andrews,David,Andrews,OL,FR,6/2/13,280,"Norcross, Ga./Wesleyan",,http://www.georgiadogs.com/sports/m-footbl/mtt/andrews_david00.html
UGA,FBALL,2011-2012,58,Sterling Bailey,Sterling,Bailey,OLB,FR,6/3/13,259,"Gainesville, Ga./East Hall H.S.",,http://www.georgiadogs.com/sports/m-footbl/mtt/bailey_sterling00.html
UGA,FBALL,2011-2012,82,Michael Bennett,Michael,Bennett,SE,RS FR,6/3/13,208,"Alpharetta, Ga./Alpharetta",,http://www.georgiadogs.com/sports/m-footbl/mtt/bennett_michael00.html
UGA,FBALL,2011-2012,10,Greg Bingham,Greg,Bingham,QB,RS FR,6/4/13,223,"Columbus, Ga./Columbus HS",,http://www.georgiadogs.com/sports/m-footbl/mtt/bingham_greg00.html
UGA,FBALL,2011-2012,65,John Bodin,John,Bodin,OG,SR,6/6/13,321,"Covington, Ga./Paragon Academy",,http://www.georgiadogs.com/sports/m-footbl/mtt/bodin_john00.html
UGA,FBALL,2011-2012,32,Brandon Bogotay,Brandon,Bogotay,PK,SR,6/3/13,207,"San Diego, Calif./Patrick Henry/Grossmont",,http://www.georgiadogs.com/sports/m-footbl/mtt/bogotay_brandon00.html
UGA,FBALL,2011-2012,37,Devin Bowman,Devin,Bowman,DB,FR,6/1/00,175,"Rossville, Ga./Ridgeland",,http://www.georgiadogs.com/sports/m-footbl/mtt/bowman_devin00.html
UGA,FBALL,2011-2012,2,Brandon Boykin,Brandon,Boykin,CB/KOR,SR,5/10/13,183,"Fayetteville, Ga./Fayette County",,http://www.georgiadogs.com/sports/m-footbl/mtt/boykin_brandon02.html
UGA,FBALL,2011-2012,80,Taylor Bradberry,Taylor,Bradberry,FLK,JR,6/3/13,192,"Winder, Ga./Winder-Barrow",,http://www.georgiadogs.com/sports/m-footbl/mtt/bradberry_taylor00.html
UGA,FBALL,2011-2012,15,Marlon Brown,Marlon,Brown,SE,JR,6/5/13,222,"Memphis, Tenn./Harding Academy",,http://www.georgiadogs.com/sports/m-footbl/mtt/brown_marlon00.html
UGA,FBALL,2011-2012,68,Chris Burnette,Chris,Burnette,OG,RS SO,6/2/13,313,"LaGrange, Ga./Troup County",,http://www.georgiadogs.com/sports/m-footbl/mtt/burnette_chris00.html
UGA,FBALL,2011-2012,41,Brandon Burrows,Brandon,Burrows,ILB,RS FR,6/3/13,240,"Marietta, Ga./Walton",,http://www.georgiadogs.com/sports/m-footbl/mtt/burrows_brandon00.html
UGA,FBALL,2011-2012,13,Drew Butler,Drew,Butler,P,SR,6/2/13,214,"Duluth, Ga./Peachtree Ridge",,http://www.georgiadogs.com/sports/m-footbl/mtt/butler_drew00.html
UGA,FBALL,2011-2012,42,Corey Campbell,Corey,Campbell,ILB,RS FR,5/10/13,210,"Hephzibah, Ga./Hephzibah HS",,http://www.georgiadogs.com/sports/m-footbl/mtt/campbell_corey00.html
UGA,FBALL,2011-2012,4,Luis Capella,Luis,Capella,CB,RS SO,5/10/13,176,"Augusta, Ga./Richmond Academy",,http://www.georgiadogs.com/sports/m-footbl/mtt/capella_luis00.html
UGA,FBALL,2011-2012,7,Orson Charles,Orson,Charles,TE,JR,6/3/13,241,"Tampa, Fla/Plant",,http://www.georgiadogs.com/sports/m-footbl/mtt/charles_orson00.html
UGA,FBALL,2011-2012,19,Sanders Commings,Sanders,Commings,CB,JR,6/2/13,217,"Augusta, Ga./Westside",,http://www.georgiadogs.com/sports/m-footbl/mtt/commings_sanders00.html
UGA,FBALL,2011-2012,31,Chris Conley,Chris,Conley,WR,FR,6/3/13,202,"Dallas, Ga./North Paulding H.S.",,http://www.georgiadogs.com/sports/m-footbl/mtt/conley_chris00.html
UGA,FBALL,2011-2012,98,Candler Cook,Candler,Cook,N,SR,6/3/13,251,"Atlanta, Ga./Westminister",,http://www.georgiadogs.com/sports/m-footbl/mtt/cook_candler00.html
UGA,FBALL,2011-2012,1,Isaiah Crowell,Isaiah,Crowell,RB,FR,5/11/13,215,"Columbus, Ga./Carver H.S.",,http://www.georgiadogs.com/sports/m-footbl/mtt/crowell_isaiah00.html
UGA,FBALL,2011-2012,78,Watts Dantzler,Watts,Dantzler,OL,FR,6/7/13,310,"Dalton, Ga./Dalton H.S.",,http://www.georgiadogs.com/sports/m-footbl/mtt/dantzler_watts00.html
UGA,FBALL,2011-2012,50,Robert Davis,Robert,Davis,ILB,SO,6/2/13,214,"Canton, Ga.//Kennesaw State",,http://www.georgiadogs.com/sports/m-footbl/mtt/davis_robert00.html
UGA,FBALL,2011-2012,25,Marc Deas,Marc,Deas,SS,RS FR,6/1/13,197,"Kissimmee, Fla./Osceola",,http://www.georgiadogs.com/sports/m-footbl/mtt/deas_marc00.html
UGA,FBALL,2011-2012,76,Zach DeBell,Zach,DeBell,OL,FR,6/6/13,273,"Tarpon Springs, Fla./Tarpon Springs",,http://www.georgiadogs.com/sports/m-footbl/mtt/debell_zach00.html
UGA,FBALL,2011-2012,90,Matthew DeGenova,Matthew,DeGenova,OLB,SR,6/1/13,236,"Kenner, La./Jesuit",,http://www.georgiadogs.com/sports/m-footbl/mtt/degenova_matthew00.html
UGA,FBALL,2011-2012,73,Caleb Drake,Caleb,Drake,C,FR,6/1/13,275,"Hogansville, Ga./Callaway",,http://www.georgiadogs.com/sports/m-footbl/mtt/drake_caleb00.html
UGA,FBALL,2011-2012,47,Ray Drew,Ray,Drew,OLB,FR,6/5/13,263,"Thomasville, Ga./Thomasville County",,http://www.georgiadogs.com/sports/m-footbl/mtt/drew_ray00.html
UGA,FBALL,2011-2012,28,Corey Dunson,Corey,Dunson,CB,RS SO,6/1/00,196,"Albany, Ga./Radnor",,http://www.georgiadogs.com/sports/m-footbl/mtt/dunson_corey00.html
UGA,FBALL,2011-2012,91,Scott Eichler,Scott,Eichler,PK,JR,5/11/13,184,"Oakwood, Ga./West Hall",,http://www.georgiadogs.com/sports/m-footbl/mtt/eichler_scott01.html
UGA,FBALL,2011-2012,15,Eric Elliot,Eric,Elliot,CB,SR,5/9/13,188,"Kennesaw, Ga./Kennesaw Mountain",,http://www.georgiadogs.com/sports/m-footbl/mtt/elliot_eric00.html
UGA,FBALL,2011-2012,6,Michael Erdman,Michael,Erdman,WR,RS FR,5/10/13,191,"Merritt Island, Fla./Central Catholic",,http://www.georgiadogs.com/sports/m-footbl/mtt/erdman_michael00.html
UGA,FBALL,2011-2012,97,Adam Erickson,Adam,Erickson,P,RS FR,5/10/13,168,"Athens, Ga./Clarke Central HS",,http://www.georgiadogs.com/sports/m-footbl/mtt/erickson_adam00.html
UGA,FBALL,2011-2012,95,Reuben Faloughi,Reuben,Faloughi,OLB,RS SO,6/5/13,255,"Martinez, Ga./Evans",,http://www.georgiadogs.com/sports/m-footbl/mtt/faloughi_reuben00.html
UGA,FBALL,2011-2012,89,Bruce Figgins,Bruce,Figgins,FB,SR,6/4/13,272,"Columbus, Ga./Shaw",,http://www.georgiadogs.com/sports/m-footbl/mtt/figgins_bruce00.html
UGA,FBALL,2011-2012,69,Ty Frix,Ty,Frix,SN,JR,6/1/00,213,"Calhoun, Ga./Calhoun",,http://www.georgiadogs.com/sports/m-footbl/mtt/frix_ty00.html
UGA,FBALL,2011-2012,72,Kenarious Gates,Kenarious,Gates,OG,SO,6/5/13,328,"Grantville, Ga./Greenville",,http://www.georgiadogs.com/sports/m-footbl/mtt/gates_kenarious00.html
UGA,FBALL,2011-2012,99,Kwame Geathers,Kwame,Geathers,N,RS SO,6/6/13,350,"Georgetown, S.C./Carvers Bay",,http://www.georgiadogs.com/sports/m-footbl/mtt/geathers_kwame00.html
UGA,FBALL,2011-2012,35,Michael Gilliard,Michael,Gilliard,ILB,JR,6/2/13,220,"Valdosta, Ga./Valdosta",,http://www.georgiadogs.com/sports/m-footbl/mtt/gilliard_michael00.html
UGA,FBALL,2011-2012,71,Cordy Glenn,Cordy,Glenn,OT,SR,6/5/13,348,"Riverdale, Ga./Riverdale",,http://www.georgiadogs.com/sports/m-footbl/mtt/glenn_cordy00.html
UGA,FBALL,2011-2012,43,Merritt Hall,Merritt,Hall,FB,FR,5/11/13,216,"Alpharetta, Ga./Wesleyan School",,http://www.georgiadogs.com/sports/m-footbl/mtt/hall_merritt00.html
UGA,FBALL,2011-2012,43,Quintavius Harrow,Quintavius,Harrow,DB,FR,5/11/13,183,"Columbus, Ga./Carver H.S.",,http://www.georgiadogs.com/sports/m-footbl/mtt/harrow_quintavius00.html
UGA,FBALL,2011-2012,20,Brandon Harton,Brandon,Harton,TB,RS SO,5/6/13,174,"Reidsville, Ga./Tattnall County",,http://www.georgiadogs.com/sports/m-footbl/mtt/harton_brandon00.html
