ID_Sport,ID_School,Season,Name,Last_Name,First_Name,Year,Hometown/Prior_School,Height,Player_URL
UNC,MGOLF,2012-2013,Patrick Barrett,Barrett,Patrick,Sr.,"Pinehurst, N.C. (Pinecrest)",6/3/13,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675568&Q
UNC,MGOLF,2012-2013,Keagan Cummings,Cummings,Keagan,Fr.,"Dublin, Ireland (IMG Pendleton School)",6/1/00,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=207247664&Q
UNC,MGOLF,2012-2013,Brandon Dalinka,Dalinka,Brandon,So.,"Newtown, Pa. (Council Rock)",5/11/13,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675508&Q
UNC,MGOLF,2012-2013,James Ellis,Ellis,James,Jr.,"Greenville, N.C. (Arendell Parrott Academy)",6/1/00,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675518&Q
UNC,MGOLF,2012-2013,Andy Knox,Knox,Andy,Jr.,"Cary, N.C. (Apex)",6/1/13,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=207251864&Q
UNC,MGOLF,2012-2013,Michael McGowan,McGowan,Michael,Sr.,"Southern Pines, N.C. (O'Neal)",5/10/13,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675571&Q
UNC,MGOLF,2012-2013,Clark Palmer,Palmer,Clark,Sr.,"Augusta, Ga. (Academy of Richmond Co.)",6/1/00,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675567&Q
UNC,MGOLF,2012-2013,Bailey Patrick,Patrick,Bailey,So.,"Charlotte, N.C. (Episcopal, Alexandria, Va.)",6/1/00,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675585&Q
UNC,MGOLF,2012-2013,Robert Register,Register,Robert,So.,"Burlington, N.C. (Walter Williams)",6/1/00,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205497571&Q
UNC,MGOLF,2012-2013,Andy Sajevic,Sajevic,Andy,Jr.,"Fremont, Neb. (Fremont)",5/10/13,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=207253560&Q
