A3,SportName
1,Baseball
2,Basketball
3,All Track Combined
4,Diving
5,Fencing
6,Field hocky
7,Football
8,Golf
9,Gymnastics
10,Ice Hockey
11,Lacrosse
12,Rifle
13,Rowing
14,Skiing
15,Soccer
16,Softball
17,Squash
18,Swimming and Diving
19,Swimming
20,Synchronized swimming
21,Team Handball
22,Tennis
23,"Track and Field, Indoor"
24,"Track and Field, Outdoor"
25,"Track and Field, X-Country"
26,Volleyball
27,Water Polo
28,Wrestling
29,Other Sports
30,Archery
31,Badminton
32,Beach Volleyball
33,Bowling
34,Equestrian
35,Rodeo
36,Sailing
37,Table Tennis
38,Weight Lifting
39,Total Participants
50,RVandEXP
