Year,unitid,Institution_Name,Award_Level,CIP_Classificaiton,cipcode,Total,T.M,T.F
1983-1984,100858,Auburn University,Bachelor's degrees,Engineering,14',698,597,101
1983-1984,100858,Auburn University,Bachelor's degrees,Health Sciences,18',87,16,71
1983-1984,100858,Auburn University,Bachelor's degrees,Life Sciences,26',54,33,21
1983-1984,100858,Auburn University,Bachelor's degrees,Mathematics,27',15,12,3
1983-1984,100858,Auburn University,Bachelor's degrees,Multi/Interdisciplinary Studies,30',15,0,15
1983-1984,100858,Auburn University,Bachelor's degrees,Physical Sciences,40',79,64,15
1983-1984,100858,Auburn University,Bachelor's degrees,Social Sciences,45',110,82,28
1983-1984,100858,Auburn University,Bachelor's degrees,Marketing and Distribution,8',27,1,26
1983-1984,100858,Auburn University,Bachelor's degrees,Computer and Information Sciences,11',27,14,13
1983-1984,100858,Auburn University,Bachelor's degrees,Foreign Languages,16',29,7,22
1983-1984,100858,Auburn University,Bachelor's degrees,Allied Health,17',41,7,34
1983-1984,100858,Auburn University,Bachelor's degrees,Theology,39',1,1,0
1983-1984,100858,Auburn University,Bachelor's degrees,Public Affairs,44',35,13,22
1983-1984,100858,Auburn University,Bachelor's degrees,Visual and Performing Arts,50',89,46,43
1983-1984,100858,Auburn University,Bachelor's degrees,Communications,9',142,42,100
1983-1984,100858,Auburn University,Bachelor's degrees,Agricultural Business and Production,1',35,30,5
1983-1984,100858,Auburn University,Bachelor's degrees,Renewable Natural Resources,3',45,40,5
1983-1984,100858,Auburn University,Bachelor's degrees,Philosophy and Religion,38',4,1,3
1983-1984,100858,Auburn University,Bachelor's degrees,Architecture and Environmental Design,4',222,192,30
1983-1984,100858,Auburn University,Bachelor's degrees,Business (Administrative Support),7',18,0,18
1983-1984,100858,Auburn University,Bachelor's degrees,Education,13',311,70,241
1983-1984,100858,Auburn University,Bachelor's degrees,Home Economics,19',99,0,99
1983-1984,100858,Auburn University,Bachelor's degrees,Agricultural Sciences,2',106,78,28
1983-1984,100858,Auburn University,Bachelor's degrees,Letters,23',60,26,34
1983-1984,100858,Auburn University,Bachelor's degrees,Parks and Recreation,31',23,8,15
1983-1984,100858,Auburn University,Bachelor's degrees,Psychology,42',39,7,32
1983-1984,100858,Auburn University,Bachelor's degrees,Protective Services,43',42,27,15
1983-1984,100858,Auburn University,Bachelor's degrees,Business and Management,6',617,362,255
1983-1984,142115,Boise State University,Bachelor's degrees,Education,13',134,27,107
1983-1984,142115,Boise State University,Bachelor's degrees,Vocational Home Economics,20',2,0,2
1983-1984,142115,Boise State University,Bachelor's degrees,Letters,23',10,2,8
1983-1984,142115,Boise State University,Bachelor's degrees,Multi/Interdisciplinary Studies,30',12,12,0
1983-1984,142115,Boise State University,Bachelor's degrees,Public Affairs,44',14,5,9
1983-1984,142115,Boise State University,Bachelor's degrees,Precision Production,48',2,0,2
1983-1984,142115,Boise State University,Bachelor's degrees,Foreign Languages,16',1,0,1
1983-1984,142115,Boise State University,Bachelor's degrees,Allied Health,17',12,7,5
1983-1984,142115,Boise State University,Bachelor's degrees,Social Sciences,45',96,58,38
1983-1984,142115,Boise State University,Bachelor's degrees,Computer and Information Sciences,11',52,27,25
1983-1984,142115,Boise State University,Bachelor's degrees,Engineering,14',6,5,1
1983-1984,142115,Boise State University,Bachelor's degrees,Health Sciences,18',19,6,13
1983-1984,142115,Boise State University,Bachelor's degrees,Life Sciences,26',16,5,11
1983-1984,142115,Boise State University,Bachelor's degrees,Physical Sciences,40',31,22,9
1983-1984,142115,Boise State University,Bachelor's degrees,Psychology,42',14,4,10
1983-1984,142115,Boise State University,Bachelor's degrees,Protective Services,43',13,11,2
1983-1984,142115,Boise State University,Bachelor's degrees,Mathematics,27',11,5,6
1983-1984,142115,Boise State University,Bachelor's degrees,Philosophy and Religion,38',1,0,1
1983-1984,142115,Boise State University,Bachelor's degrees,Area and Ethnic Studies,5',1,0,1
1983-1984,142115,Boise State University,Bachelor's degrees,Visual and Performing Arts,50',60,23,37
1983-1984,142115,Boise State University,Bachelor's degrees,Business (Administrative Support),7',11,0,11
1983-1984,142115,Boise State University,Bachelor's degrees,Transportation and Material Moving,49',13,12,1
1983-1984,142115,Boise State University,Bachelor's degrees,Business and Management,6',267,183,84
1983-1984,142115,Boise State University,Bachelor's degrees,Marketing and Distribution,8',3,2,1
1983-1984,142115,Boise State University,Bachelor's degrees,Communications,9',39,22,17
1983-1984,217882,Clemson University,Bachelor's degrees,Computer and Information Sciences,11',58,31,27
