Year,unitid,Institution_Name,Award_Level,cipcode,CIP_Classificaiton,Total,T.M,T.F
1987-1988,155399,Kansas State University,Bachelor's degree,'01.0000',Agricultural Business and Production,119,100,19
1987-1988,207388,Oklahoma State University-Main Campus,Bachelor's degree,'01.0000',Agricultural Business and Production,85,62,23
1987-1988,228723,Texas A & M University-College Station,Bachelor's degree,'01.0000',Agricultural Business and Production,194,135,59
1987-1988,134130,University of Florida,Bachelor's degree,'01.0000',Agricultural Business and Production,50,33,17
1987-1988,181464,University of Nebraska-Lincoln,Bachelor's degree,'01.0000',Agricultural Business and Production,119,99,20
1987-1988,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,'01.0000',Agricultural Business and Production,31,26,5
1987-1988,139959,University of Georgia,Bachelor's degree,'01.0000',Agricultural Business and Production,78,68,10
1987-1988,230728,Utah State University,Bachelor's degree,'01.0000',Agricultural Business and Production,20,20,0
1987-1988,217882,Clemson University,Bachelor's degree,'01.0000',Agricultural Business and Production,17,16,1
1987-1988,204796,Ohio State University-Main Campus,Bachelor's degree,'01.0000',Agricultural Business and Production,70,56,14
1987-1988,209542,Oregon State University,Bachelor's degree,'01.0000',Agricultural Business and Production,68,50,18
1987-1988,100858,Auburn University,Bachelor's degree,'01.0000',Agricultural Business and Production,36,27,9
1987-1988,181464,University of Nebraska-Lincoln,Bachelor's degree,'02.0000',Agricultural Sciences,92,71,21
1987-1988,217882,Clemson University,Bachelor's degree,'02.0000',Agricultural Sciences,41,24,17
1987-1988,207388,Oklahoma State University-Main Campus,Bachelor's degree,'02.0000',Agricultural Sciences,115,96,19
1987-1988,186380,Rutgers University-New Brunswick,Bachelor's degree,'02.0000',Agricultural Sciences,102,30,72
1987-1988,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,'02.0000',Agricultural Sciences,28,19,9
1987-1988,228723,Texas A & M University-College Station,Bachelor's degree,'02.0000',Agricultural Sciences,317,190,127
1987-1988,139959,University of Georgia,Bachelor's degree,'02.0000',Agricultural Sciences,104,70,34
1987-1988,134130,University of Florida,Bachelor's degree,'02.0000',Agricultural Sciences,100,44,56
1987-1988,230728,Utah State University,Bachelor's degree,'02.0000',Agricultural Sciences,31,21,10
1987-1988,155399,Kansas State University,Bachelor's degree,'02.0000',Agricultural Sciences,165,117,48
1987-1988,209542,Oregon State University,Bachelor's degree,'02.0000',Agricultural Sciences,67,35,32
1987-1988,204796,Ohio State University-Main Campus,Bachelor's degree,'02.0000',Agricultural Sciences,195,128,67
1987-1988,100858,Auburn University,Bachelor's degree,'02.0000',Agricultural Sciences,71,51,20
1987-1988,228778,The University of Texas at Austin,Bachelor's degree,'17.0000',Allied Health,8,4,4
1987-1988,228246,Southern Methodist University,Bachelor's degree,'17.0000',Allied Health,2,1,1
1987-1988,181464,University of Nebraska-Lincoln,Bachelor's degree,'17.0000',Allied Health,7,3,4
1987-1988,186380,Rutgers University-New Brunswick,Bachelor's degree,'17.0000',Allied Health,20,3,17
1987-1988,139959,University of Georgia,Bachelor's degree,'17.0000',Allied Health,2,0,2
1987-1988,198419,Duke University,Bachelor's degree,'17.0000',Allied Health,32,9,23
1987-1988,230728,Utah State University,Bachelor's degree,'17.0000',Allied Health,9,2,7
1987-1988,100751,The University of Alabama,Bachelor's degree,'17.0000',Allied Health,2,0,2
1987-1988,155399,Kansas State University,Bachelor's degree,'17.0000',Allied Health,10,2,8
1987-1988,142115,Boise State University,Bachelor's degree,'17.0000',Allied Health,6,1,5
1987-1988,134130,University of Florida,Bachelor's degree,'17.0000',Allied Health,109,25,84
1987-1988,100858,Auburn University,Bachelor's degree,'17.0000',Allied Health,24,6,18
1987-1988,122755,San Jose State University,Bachelor's degree,'17.0000',Allied Health,72,4,68
1987-1988,209542,Oregon State University,Bachelor's degree,'17.0000',Allied Health,3,0,3
1987-1988,147767,Northwestern University,Bachelor's degree,'17.0000',Allied Health,85,16,69
1987-1988,123961,University of Southern California,Bachelor's degree,'17.0000',Allied Health,22,1,21
1987-1988,170976,University of Michigan-Ann Arbor,Bachelor's degree,'17.0000',Allied Health,21,0,21
1987-1988,157289,University of Louisville,Bachelor's degree,'17.0000',Allied Health,22,4,18
1987-1988,199120,University of North Carolina at Chapel Hill,Bachelor's degree,'17.0000',Allied Health,70,6,64
1987-1988,135726,University of Miami,Bachelor's degree,'17.0000',Allied Health,12,3,9
1987-1988,204796,Ohio State University-Main Campus,Bachelor's degree,'17.0000',Allied Health,247,43,204
1987-1988,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,'17.0000',Allied Health,5,0,5
1987-1988,135726,University of Miami,Bachelor's degree,'04.0000',Architecture and Related Programs,71,51,20
1987-1988,123961,University of Southern California,Bachelor's degree,'04.0000',Architecture and Related Programs,46,34,12
1987-1988,155399,Kansas State University,Bachelor's degree,'04.0000',Architecture and Related Programs,108,58,50
1987-1988,207500,University of Oklahoma Norman Campus,Bachelor's degree,'04.0000',Architecture and Related Programs,138,109,29
1987-1988,228778,The University of Texas at Austin,Bachelor's degree,'04.0000',Architecture and Related Programs,87,56,31
1987-1988,170976,University of Michigan-Ann Arbor,Bachelor's degree,'04.0000',Architecture and Related Programs,90,71,19
1987-1988,100858,Auburn University,Bachelor's degree,'04.0000',Architecture and Related Programs,76,51,25
1987-1988,152080,University of Notre Dame,Bachelor's degree,'04.0000',Architecture and Related Programs,37,27,10
1987-1988,122755,San Jose State University,Bachelor's degree,'04.0000',Architecture and Related Programs,41,7,34
1987-1988,209551,University of Oregon,Bachelor's degree,'04.0000',Architecture and Related Programs,108,74,34
1987-1988,228723,Texas A & M University-College Station,Bachelor's degree,'04.0000',Architecture and Related Programs,186,141,45
1987-1988,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,'04.0000',Architecture and Related Programs,119,56,63
1987-1988,186380,Rutgers University-New Brunswick,Bachelor's degree,'04.0000',Architecture and Related Programs,52,34,18
1987-1988,139959,University of Georgia,Bachelor's degree,'04.0000',Architecture and Related Programs,63,41,22
1987-1988,217882,Clemson University,Bachelor's degree,'04.0000',Architecture and Related Programs,82,65,17
1987-1988,134130,University of Florida,Bachelor's degree,'04.0000',Architecture and Related Programs,128,80,48
1987-1988,100751,The University of Alabama,Bachelor's degree,'04.0000',Architecture and Related Programs,26,2,24
1987-1988,230728,Utah State University,Bachelor's degree,'04.0000',Architecture and Related Programs,28,17,11
1987-1988,207388,Oklahoma State University-Main Campus,Bachelor's degree,'04.0000',Architecture and Related Programs,13,8,5
1987-1988,181464,University of Nebraska-Lincoln,Bachelor's degree,'04.0000',Architecture and Related Programs,56,46,10
1987-1988,204796,Ohio State University-Main Campus,Bachelor's degree,'04.0000',Architecture and Related Programs,124,92,32
1987-1988,181464,University of Nebraska-Lincoln,Bachelor's degree,'05.0000',Area- Ethnic and Cultural Studies,1,1,0
1987-1988,131496,Georgetown University,Bachelor's degree,'05.0000',Area- Ethnic and Cultural Studies,62,34,28
1987-1988,100751,The University of Alabama,Bachelor's degree,'05.0000',Area- Ethnic and Cultural Studies,5,2,3
1987-1988,228246,Southern Methodist University,Bachelor's degree,'05.0000',Area- Ethnic and Cultural Studies,11,5,6
1987-1988,135726,University of Miami,Bachelor's degree,'05.0000',Area- Ethnic and Cultural Studies,5,1,4
1987-1988,157289,University of Louisville,Bachelor's degree,'05.0000',Area- Ethnic and Cultural Studies,1,1,0
1987-1988,123961,University of Southern California,Bachelor's degree,'05.0000',Area- Ethnic and Cultural Studies,16,7,9
1987-1988,199120,University of North Carolina at Chapel Hill,Bachelor's degree,'05.0000',Area- Ethnic and Cultural Studies,103,28,75
1987-1988,207500,University of Oklahoma Norman Campus,Bachelor's degree,'05.0000',Area- Ethnic and Cultural Studies,4,3,1
1987-1988,139959,University of Georgia,Bachelor's degree,'05.0000',Area- Ethnic and Cultural Studies,2,1,1
1987-1988,243744,Stanford University,Bachelor's degree,'05.0000',Area- Ethnic and Cultural Studies,31,10,21
1987-1988,209551,University of Oregon,Bachelor's degree,'05.0000',Area- Ethnic and Cultural Studies,22,7,15
1987-1988,221999,Vanderbilt University,Bachelor's degree,'05.0000',Area- Ethnic and Cultural Studies,14,5,9
1987-1988,228778,The University of Texas at Austin,Bachelor's degree,'05.0000',Area- Ethnic and Cultural Studies,42,22,20
1987-1988,152080,University of Notre Dame,Bachelor's degree,'05.0000',Area- Ethnic and Cultural Studies,96,51,45
1987-1988,198419,Duke University,Bachelor's degree,'05.0000',Area- Ethnic and Cultural Studies,52,18,34
1987-1988,100858,Auburn University,Bachelor's degree,'05.0000',Area- Ethnic and Cultural Studies,1,1,0
1987-1988,122755,San Jose State University,Bachelor's degree,'05.0000',Area- Ethnic and Cultural Studies,1,0,1
1987-1988,209542,Oregon State University,Bachelor's degree,'05.0000',Area- Ethnic and Cultural Studies,4,1,3
1987-1988,170976,University of Michigan-Ann Arbor,Bachelor's degree,'05.0000',Area- Ethnic and Cultural Studies,55,22,33
1987-1988,186380,Rutgers University-New Brunswick,Bachelor's degree,'05.0000',Area- Ethnic and Cultural Studies,26,9,17
1987-1988,230728,Utah State University,Bachelor's degree,'05.0000',Area- Ethnic and Cultural Studies,5,4,1
1987-1988,134130,University of Florida,Bachelor's degree,'05.0000',Area- Ethnic and Cultural Studies,6,3,3
