CIP_Classificaiton,Award_Level,Year,unitid,Institution_Name,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS.PI,T.AS.PI.M,T.AS.PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F,cipcode
Agricultural Business and Production,Bachelor's degree,1995-1996,230728,Utah State University,28,19,9,27,18,9,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,'01.0000'
Agricultural Business and Production,Bachelor's degree,1995-1996,134130,University of Florida,74,48,26,52,38,14,11,4,7,5,3,2,3,1,2,0,0,0,0,0,0,3,2,1,'01.0000'
Agricultural Business and Production,Bachelor's degree,1995-1996,217882,Clemson University,50,35,15,47,33,14,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,'01.0000'
Agricultural Business and Production,Bachelor's degree,1995-1996,209542,Oregon State University,64,48,16,59,44,15,1,0,1,1,1,0,0,0,0,0,0,0,3,3,0,0,0,0,'01.0000'
Agricultural Business and Production,Bachelor's degree,1995-1996,228723,Texas A & M University-College Station,294,200,94,260,174,86,5,5,0,16,12,4,1,1,0,4,1,3,0,0,0,8,7,1,'01.0000'
Agricultural Business and Production,Bachelor's degree,1995-1996,207388,Oklahoma State University-Main Campus,58,39,19,52,36,16,0,0,0,0,0,0,0,0,0,6,3,3,0,0,0,0,0,0,'01.0000'
Agricultural Business and Production,Bachelor's degree,1995-1996,155399,Kansas State University,121,106,15,115,101,14,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,4,3,1,'01.0000'
Agricultural Business and Production,Bachelor's degree,1995-1996,100858,Auburn University,35,30,5,35,30,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'01.0000'
Agricultural Business and Production,Bachelor's degree,1995-1996,204796,Ohio State University-Main Campus,80,58,22,64,50,14,9,3,6,2,2,0,2,2,0,0,0,0,3,1,2,0,0,0,'01.0000'
Agricultural Business and Production,Bachelor's degree,1995-1996,159391,Louisiana State University and Agricultural & Mechanical College,25,22,3,21,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,'01.0000'
Agricultural Business and Production,Bachelor's degree,1995-1996,139959,University of Georgia,94,73,21,92,72,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,'01.0000'
Agricultural Business and Production,Bachelor's degree,1995-1996,181464,University of Nebraska-Lincoln,115,96,19,113,95,18,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,'01.0000'
