Year,unitid,Institution_Name,CIP_Classificaiton,cipcode,Award_Level,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
1996-1997,100858,Auburn University,Agricultural Business and Production,'01',Bachelor's degree,34,28,6,32,26,6,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
1996-1997,100858,Auburn University,Agricultural Sciences,'02',Bachelor's degree,152,95,57,145,91,54,2,2,0,1,1,0,3,0,3,1,1,0,0,0,0,0,0,0
1996-1997,100858,Auburn University,Architecture and Related Programs,'04',Bachelor's degree,71,53,18,62,47,15,3,2,1,4,3,1,1,0,1,0,0,0,0,0,0,1,1,0
1996-1997,100858,Auburn University,Area- Ethnic and Cultural Studies,'05',Bachelor's degree,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,100858,Auburn University,Biological Science/Life Sciences,'26',Bachelor's degree,162,75,87,137,66,71,14,3,11,1,1,0,6,3,3,2,2,0,0,0,0,2,0,2
1996-1997,100858,Auburn University,Business Management and Administrative Services,'52',Bachelor's degree,746,457,289,667,418,249,45,19,26,14,8,6,7,6,1,1,0,1,1,1,0,11,5,6
1996-1997,100858,Auburn University,Communications,'09',Bachelor's degree,141,54,87,134,50,84,4,3,1,2,0,2,0,0,0,1,1,0,0,0,0,0,0,0
1996-1997,100858,Auburn University,Computer and Information Sciences,'11',Bachelor's degree,15,11,4,11,9,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
1996-1997,100858,Auburn University,Conservation and Renewable Natural Resources,'03',Bachelor's degree,113,77,36,109,74,35,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,100858,Auburn University,Education,'13',Bachelor's degree,427,117,310,404,104,300,19,10,9,2,1,1,1,1,0,0,0,0,0,0,0,1,1,0
1996-1997,100858,Auburn University,Engineering,'14',Bachelor's degree,600,487,113,549,457,92,29,16,13,3,1,2,9,6,3,4,3,1,0,0,0,6,4,2
1996-1997,100858,Auburn University,English Language and Literature/Letters,'23',Bachelor's degree,138,49,89,132,48,84,4,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0
1996-1997,100858,Auburn University,Foreign Languages and Literatures,'16',Bachelor's degree,30,10,20,27,10,17,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,100858,Auburn University,Health Professions and Related Sciences,'51',Bachelor's degree,299,59,240,274,53,221,16,4,12,1,0,1,5,2,3,3,0,3,0,0,0,0,0,0
1996-1997,100858,Auburn University,Home Economics- General,'19',Bachelor's degree,158,15,143,149,11,138,6,2,4,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0
1996-1997,100858,Auburn University,Marketing Operations/Marketing and Distribution,'08',Bachelor's degree,16,1,15,15,1,14,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,100858,Auburn University,Mathematics,'27',Bachelor's degree,19,10,9,18,9,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,100858,Auburn University,Philosophy and Religion,'38',Bachelor's degree,18,9,9,17,9,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1996-1997,100858,Auburn University,Physical Sciences,'40',Bachelor's degree,30,23,7,28,23,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1996-1997,100858,Auburn University,Protective Services,'43',Bachelor's degree,47,34,13,38,29,9,9,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,100858,Auburn University,Psychology,'42',Bachelor's degree,153,36,117,139,35,104,10,0,10,3,1,2,1,0,1,0,0,0,0,0,0,0,0,0
1996-1997,100858,Auburn University,Public Administration and Services,'44',Bachelor's degree,36,7,29,30,7,23,5,0,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1996-1997,100858,Auburn University,Science Technologies,'41',Bachelor's degree,3,1,2,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,100858,Auburn University,Social Sciences and History,'45',Bachelor's degree,177,110,67,147,93,54,22,13,9,4,2,2,3,1,2,0,0,0,0,0,0,1,1,0
1996-1997,100858,Auburn University,Visual and Performing Arts,'50',Bachelor's degree,86,46,40,80,41,39,3,2,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0
1996-1997,142115,Boise State University,Area- Ethnic and Cultural Studies,'05',Bachelor's degree,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,142115,Boise State University,Biological Science/Life Sciences,'26',Bachelor's degree,53,29,24,44,26,18,0,0,0,1,1,0,1,0,1,0,0,0,6,2,4,1,0,1
1996-1997,142115,Boise State University,Business Management and Administrative Services,'52',Bachelor's degree,231,124,107,187,106,81,4,2,2,11,2,9,7,1,6,1,1,0,14,7,7,7,5,2
1996-1997,142115,Boise State University,Communications,'09',Bachelor's degree,58,27,31,52,23,29,1,0,1,0,0,0,1,0,1,0,0,0,4,4,0,0,0,0
1996-1997,142115,Boise State University,Computer and Information Sciences,'11',Bachelor's degree,38,26,12,28,19,9,1,1,0,1,1,0,0,0,0,0,0,0,6,3,3,2,2,0
1996-1997,142115,Boise State University,Construction Trades,'46',Bachelor's degree,16,13,3,15,13,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,142115,Boise State University,Education,'13',Bachelor's degree,195,54,141,163,46,117,2,0,2,11,3,8,0,0,0,4,3,1,14,2,12,1,0,1
1996-1997,142115,Boise State University,Engineering,'14',Bachelor's degree,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,142115,Boise State University,English Language and Literature/Letters,'23',Bachelor's degree,24,13,11,23,13,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1996-1997,142115,Boise State University,Foreign Languages and Literatures,'16',Bachelor's degree,19,7,12,15,7,8,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,1,0,1
1996-1997,142115,Boise State University,Health Professions and Related Sciences,'51',Bachelor's degree,131,34,97,120,33,87,1,0,1,5,0,5,0,0,0,3,1,2,2,0,2,0,0,0
1996-1997,142115,Boise State University,Marketing Operations/Marketing and Distribution,'08',Bachelor's degree,17,14,3,15,12,3,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
1996-1997,142115,Boise State University,Mathematics,'27',Bachelor's degree,6,1,5,4,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
1996-1997,142115,Boise State University,Multi/Interdisciplinary Studies,'30',Bachelor's degree,50,36,14,41,31,10,1,0,1,1,1,0,1,1,0,1,1,0,5,2,3,0,0,0
1996-1997,142115,Boise State University,Parks- Recreation- Leisure and Fitness Studies,'31',Bachelor's degree,31,15,16,28,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2
1996-1997,142115,Boise State University,Philosophy and Religion,'38',Bachelor's degree,4,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1996-1997,142115,Boise State University,Physical Sciences,'40',Bachelor's degree,17,14,3,12,9,3,0,0,0,0,0,0,1,1,0,0,0,0,3,3,0,1,1,0
1996-1997,142115,Boise State University,Protective Services,'43',Bachelor's degree,33,15,18,26,13,13,0,0,0,4,1,3,0,0,0,0,0,0,3,1,2,0,0,0
1996-1997,142115,Boise State University,Psychology,'42',Bachelor's degree,55,13,42,47,11,36,1,1,0,1,0,1,2,0,2,0,0,0,4,1,3,0,0,0
1996-1997,142115,Boise State University,Public Administration and Services,'44',Bachelor's degree,39,5,34,34,4,30,0,0,0,0,0,0,1,0,1,1,0,1,3,1,2,0,0,0
1996-1997,142115,Boise State University,Social Sciences and History,'45',Bachelor's degree,157,87,70,133,73,60,3,2,1,5,2,3,4,4,0,1,0,1,9,4,5,2,2,0
1996-1997,142115,Boise State University,Visual and Performing Arts,'50',Bachelor's degree,68,30,38,58,27,31,0,0,0,2,2,0,1,0,1,0,0,0,4,1,3,3,0,3
1996-1997,217882,Clemson University,Agricultural Business and Production,'01',Bachelor's degree,63,50,13,61,49,12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1996-1997,217882,Clemson University,Agricultural Sciences,'02',Bachelor's degree,108,70,38,94,60,34,7,5,2,0,0,0,2,1,1,0,0,0,3,2,1,2,2,0
1996-1997,217882,Clemson University,Architecture and Related Programs,'04',Bachelor's degree,106,74,32,95,67,28,4,2,2,1,1,0,1,1,0,0,0,0,2,2,0,3,1,2
1996-1997,217882,Clemson University,Biological Science/Life Sciences,'26',Bachelor's degree,138,74,64,126,73,53,11,0,11,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1996-1997,217882,Clemson University,Business Management and Administrative Services,'52',Bachelor's degree,437,252,185,394,228,166,28,12,16,3,3,0,5,2,3,1,1,0,2,2,0,4,4,0
1996-1997,217882,Clemson University,Computer and Information Sciences,'11',Bachelor's degree,50,39,11,44,36,8,5,2,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1996-1997,217882,Clemson University,Conservation and Renewable Natural Resources,'03',Bachelor's degree,52,51,1,52,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,217882,Clemson University,Education,'13',Bachelor's degree,294,68,226,274,60,214,15,8,7,1,0,1,1,0,1,0,0,0,2,0,2,1,0,1
1996-1997,217882,Clemson University,Engineering,'14',Bachelor's degree,527,437,90,453,380,73,41,26,15,3,3,0,12,11,1,0,0,0,9,8,1,9,9,0
1996-1997,217882,Clemson University,English Language and Literature/Letters,'23',Bachelor's degree,94,27,67,81,23,58,7,3,4,1,0,1,2,0,2,0,0,0,0,0,0,3,1,2
1996-1997,217882,Clemson University,Foreign Languages and Literatures,'16',Bachelor's degree,28,12,16,25,9,16,0,0,0,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0
1996-1997,217882,Clemson University,Health Professions and Related Sciences,'51',Bachelor's degree,197,25,172,170,22,148,20,1,19,0,0,0,2,0,2,0,0,0,5,2,3,0,0,0
1996-1997,217882,Clemson University,Mathematics,'27',Bachelor's degree,18,8,10,12,6,6,5,2,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1996-1997,217882,Clemson University,Parks- Recreation- Leisure and Fitness Studies,'31',Bachelor's degree,55,21,34,54,21,33,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,217882,Clemson University,Physical Sciences,'40',Bachelor's degree,43,36,7,39,34,5,3,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
