Year,unitid,Institution_Name,Award_Level,CIP_Classificaiton,cipcode,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
1999-2000,100858,Auburn University,Bachelor's degree,Agricultural Business and Production,'01',46,40,6,45,39,6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1999-2000,100858,Auburn University,Bachelor's degree,Agricultural Sciences,'02',173,104,69,168,102,66,2,1,1,1,1,0,0,0,0,0,0,0,2,0,2,0,0,0
1999-2000,100858,Auburn University,Bachelor's degree,Architecture and Related Programs,'04',76,47,29,72,44,28,1,0,1,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0
1999-2000,100858,Auburn University,Bachelor's degree,Biological Science/Life Sciences,'26',163,51,112,155,50,105,4,0,4,1,1,0,2,0,2,1,0,1,0,0,0,0,0,0
1999-2000,100858,Auburn University,Bachelor's degree,Business Management and Administrative Services,'52',1014,626,388,926,577,349,52,26,26,7,6,1,13,7,6,5,3,2,3,1,2,8,6,2
1999-2000,100858,Auburn University,Bachelor's degree,Communications,'09',149,52,97,137,49,88,11,3,8,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1999-2000,100858,Auburn University,Bachelor's degree,Computer and Information Sciences,'11',27,23,4,25,22,3,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1999-2000,100858,Auburn University,Bachelor's degree,Conservation and Renewable Natural Resources,'03',99,58,41,97,57,40,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0
1999-2000,100858,Auburn University,Bachelor's degree,Education,'13',481,109,372,451,97,354,20,9,11,5,1,4,2,1,1,2,0,2,0,0,0,1,1,0
1999-2000,100858,Auburn University,Bachelor's degree,Engineering,'14',642,503,139,574,453,121,36,25,11,14,10,4,11,8,3,5,5,0,0,0,0,2,2,0
1999-2000,100858,Auburn University,Bachelor's degree,English Language and Literature/Letters,'23',142,48,94,136,47,89,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,100858,Auburn University,Bachelor's degree,Foreign Languages and Literatures,'16',49,11,38,44,10,34,2,0,2,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0
1999-2000,100858,Auburn University,Bachelor's degree,Health Professions and Related Sciences,'51',260,42,218,229,39,190,19,1,18,2,0,2,8,2,6,1,0,1,1,0,1,0,0,0
1999-2000,100858,Auburn University,Bachelor's degree,Home Economics- General,'19',215,8,207,198,6,192,16,2,14,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,100858,Auburn University,Bachelor's degree,Mathematics,'27',19,10,9,16,10,6,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,100858,Auburn University,Bachelor's degree,Philosophy and Religion,'38',21,15,6,20,14,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,100858,Auburn University,Bachelor's degree,Physical Sciences,'40',32,23,9,31,23,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,100858,Auburn University,Bachelor's degree,Psychology,'42',131,38,93,119,34,85,7,2,5,2,0,2,1,0,1,1,1,0,0,0,0,1,1,0
1999-2000,100858,Auburn University,Bachelor's degree,Public Administration and Services,'44',50,19,31,41,15,26,8,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,100858,Auburn University,Bachelor's degree,Social Sciences and History,'45',256,148,108,223,131,92,23,10,13,2,2,0,3,1,2,3,3,0,0,0,0,2,1,1
1999-2000,100858,Auburn University,Bachelor's degree,Visual and Performing Arts,'50',137,55,82,127,51,76,2,1,1,1,1,0,5,1,4,1,0,1,0,0,0,1,1,0
1999-2000,142115,Boise State University,Bachelor's degree,Area- Ethnic and Cultural Studies,'05',3,0,3,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
1999-2000,142115,Boise State University,Bachelor's degree,Biological Science/Life Sciences,'26',35,19,16,30,19,11,0,0,0,0,0,0,1,0,1,1,0,1,3,0,3,0,0,0
1999-2000,142115,Boise State University,Bachelor's degree,Business Management and Administrative Services,'52',280,127,153,241,114,127,0,0,0,16,3,13,5,2,3,1,1,0,8,3,5,9,4,5
