Year,unitid,Institution_Name,Award_Level,Major,CIP_Classificaiton,cipcode,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
2002-2003,100751,The University of Alabama,Bachelor's degree,First major,Business- management- marketing- and related support services.,'52',880,538,342,724,460,264,108,45,63,7,6,1,10,7,3,5,3,2,0,0,0,26,17,9
2002-2003,100751,The University of Alabama,Bachelor's degree,First major,English language and literature/letters.,'23',68,24,44,57,23,34,9,1,8,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
2002-2003,100751,The University of Alabama,Bachelor's degree,First major,Family and consumer sciences/human sciences.,'19',240,42,198,187,35,152,46,6,40,1,0,1,2,1,1,2,0,2,0,0,0,2,0,2
2002-2003,100751,The University of Alabama,Bachelor's degree,First major,Health professions and related clinical sciences.,'51',176,42,134,143,33,110,27,6,21,2,0,2,1,1,0,0,0,0,0,0,0,3,2,1
2002-2003,100751,The University of Alabama,Bachelor's degree,First major,Mathematics and statistics.,'27',13,6,7,10,6,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-2003,100751,The University of Alabama,Bachelor's degree,First major,Social sciences.,'45',96,51,45,77,45,32,15,4,11,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0
2002-2003,100751,The University of Alabama,Bachelor's degree,First major,Visual and performing arts.,'50',128,23,105,112,18,94,7,0,7,0,0,0,2,0,2,1,0,1,0,0,0,6,5,1
2002-2003,100858,Auburn University,Bachelor's degree,First major,Health professions and related clinical sciences.,'51',172,16,156,148,13,135,19,1,18,3,1,2,2,1,1,0,0,0,0,0,0,0,0,0
2002-2003,100858,Auburn University,Bachelor's degree,First major,Mathematics and statistics.,'27',17,7,10,13,4,9,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-2003,122755,San Jose State University,Bachelor's degree,First major,Area- ethnic- cultural- and gender studies.,'05',1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
