Year,unitid,Institution_Name,Sport,Cohort_Data,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W,idxtable_flags2006.idx_gr:vl-unitid of parent institution reporting graduation rates
2005-2006,100751,The University of Alabama,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),34,11,23,25,6,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,4,-2
2005-2006,100751,The University of Alabama,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,25,8,17,19,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2,-2
2005-2006,100751,The University of Alabama,Baseball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,100751,The University of Alabama,Baseball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,100751,The University of Alabama,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),7,3,4,2,0,2,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,100751,The University of Alabama,Basketball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,5,2,3,1,0,1,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,100751,The University of Alabama,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),7,3,4,0,0,0,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
2005-2006,100751,The University of Alabama,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,100751,The University of Alabama,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),22,22,0,6,6,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,100751,The University of Alabama,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,10,10,0,4,4,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,100858,Auburn University,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),44,11,33,39,10,29,0,0,0,2,0,2,1,0,1,0,0,0,0,0,0,2,1,1,-2
2005-2006,100858,Auburn University,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,28,8,20,24,7,17,0,0,0,2,0,2,1,0,1,0,0,0,0,0,0,1,1,0,-2
2005-2006,100858,Auburn University,All other sports,Degree/certificate-seeking students (4-yr institution) Transfer-out students,14,2,12,14,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,100858,Auburn University,Baseball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),8,8,0,7,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,100858,Auburn University,Baseball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,100858,Auburn University,Baseball,Degree/certificate-seeking students (4-yr institution) Transfer-out students,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,100858,Auburn University,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),6,3,3,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,-2
2005-2006,100858,Auburn University,Basketball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,3,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-2
2005-2006,100858,Auburn University,Basketball,Degree/certificate-seeking students (4-yr institution) Transfer-out students,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,-2
2005-2006,100858,Auburn University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),5,1,4,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
2005-2006,100858,Auburn University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,4,0,4,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,100858,Auburn University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Transfer-out students,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
2005-2006,100858,Auburn University,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),17,17,0,4,4,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,100858,Auburn University,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,9,9,0,3,3,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,100858,Auburn University,Football,Degree/certificate-seeking students (4-yr institution) Transfer-out students,5,5,0,1,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,122755,San Jose State University,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),18,8,10,11,4,7,1,0,1,4,3,1,1,0,1,0,0,0,0,0,0,1,1,0,-2
2005-2006,122755,San Jose State University,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,9,3,6,6,2,4,0,0,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,-2
2005-2006,122755,San Jose State University,All other sports,Degree/certificate-seeking students (4-yr institution) Transfer-out students,9,5,4,5,2,3,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
2005-2006,122755,San Jose State University,Baseball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),5,5,0,3,3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,-2
2005-2006,122755,San Jose State University,Baseball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,122755,San Jose State University,Baseball,Degree/certificate-seeking students (4-yr institution) Transfer-out students,4,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-2
2005-2006,122755,San Jose State University,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),6,0,6,1,0,1,4,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,-2
2005-2006,122755,San Jose State University,Basketball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,4,0,4,1,0,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,122755,San Jose State University,Basketball,Degree/certificate-seeking students (4-yr institution) Transfer-out students,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,-2
2005-2006,122755,San Jose State University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-2
2005-2006,122755,San Jose State University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Transfer-out students,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-2
2005-2006,122755,San Jose State University,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
