"","Year","ID_School","Males","Females","White.Males","White.Females","Black.Males","Black.Females","Hispanic.Males","Hispanic.Females"
"1","1979-1980","AUB",1832,1345,NA,NA,NA,NA,NA,NA
"2","1979-1980","BAMA",1166,1151,NA,NA,NA,NA,NA,NA
"3","1979-1980","BOS.ST",385,322,NA,NA,NA,NA,NA,NA
"4","1979-1980","CLEM",1125,668,NA,NA,NA,NA,NA,NA
"5","1979-1980","DUKE",822,761,NA,NA,NA,NA,NA,NA
"6","1979-1980","FLA",2853,2187,NA,NA,NA,NA,NA,NA
"7","1979-1980","FSU",1658,1973,NA,NA,NA,NA,NA,NA
"8","1979-1980","GTOWN",590,732,NA,NA,NA,NA,NA,NA
"9","1979-1980","KAN.ST",1520,1135,NA,NA,NA,NA,NA,NA
"10","1979-1980","LOUIS",720,606,NA,NA,NA,NA,NA,NA
"11","1979-1980","LSU",1527,1216,NA,NA,NA,NA,NA,NA
"12","1979-1980","ND",1291,406,NA,NA,NA,NA,NA,NA
"13","1979-1980","NEB",1507,1122,NA,NA,NA,NA,NA,NA
"14","1979-1980","NWST",937,770,NA,NA,NA,NA,NA,NA
"15","1979-1980","OK",1318,881,NA,NA,NA,NA,NA,NA
"16","1979-1980","OKSTATE",1735,1258,NA,NA,NA,NA,NA,NA
"17","1979-1980","ORE",1195,1068,NA,NA,NA,NA,NA,NA
"18","1979-1980","ORE.ST",1641,1027,NA,NA,NA,NA,NA,NA
"19","1979-1980","OSU",3348,3148,NA,NA,NA,NA,NA,NA
"20","1979-1980","PENNSTATE",4494,3161,NA,NA,NA,NA,NA,NA
"21","1979-1980","RUT",2271,2257,NA,NA,NA,NA,NA,NA
"22","1979-1980","SCAR",1482,1343,NA,NA,NA,NA,NA,NA
"23","1979-1980","SJ.ST",1968,2136,NA,NA,NA,NA,NA,NA
"24","1979-1980","SMU",602,599,NA,NA,NA,NA,NA,NA
"25","1979-1980","STAN",967,673,NA,NA,NA,NA,NA,NA
"26","1979-1980","TAM",3353,1749,NA,NA,NA,NA,NA,NA
"27","1979-1980","UGA",1858,1855,NA,NA,NA,NA,NA,NA
"28","1979-1980","UM",2689,2156,NA,NA,NA,NA,NA,NA
"29","1979-1980","UNC",1403,1661,NA,NA,NA,NA,NA,NA
"30","1979-1980","UOFM",938,844,NA,NA,NA,NA,NA,NA
"31","1979-1980","USC",1431,997,NA,NA,NA,NA,NA,NA
"32","1979-1980","UT",3421,3173,NA,NA,NA,NA,NA,NA
"33","1979-1980","UTA.ST",838,536,NA,NA,NA,NA,NA,NA
"34","1979-1980","VANDY",660,678,NA,NA,NA,NA,NA,NA
"35","1983-1984","AUB",1776,1294,NA,NA,NA,NA,NA,NA
"36","1983-1984","BAMA",1225,1285,NA,NA,NA,NA,NA,NA
"37","1983-1984","BOS.ST",438,402,NA,NA,NA,NA,NA,NA
"38","1983-1984","CLEM",1075,792,NA,NA,NA,NA,NA,NA
"39","1983-1984","DUKE",842,718,NA,NA,NA,NA,NA,NA
"40","1983-1984","FLA",2599,2071,NA,NA,NA,NA,NA,NA
"41","1983-1984","GTOWN",607,673,NA,NA,NA,NA,NA,NA
"42","1983-1984","KAN.ST",1588,1229,NA,NA,NA,NA,NA,NA
"43","1983-1984","LOUIS",753,688,NA,NA,NA,NA,NA,NA
"44","1983-1984","LSU",1716,1518,NA,NA,NA,NA,NA,NA
"45","1983-1984","ND",1339,519,NA,NA,NA,NA,NA,NA
"46","1983-1984","NEB",1594,1288,NA,NA,NA,NA,NA,NA
"47","1983-1984","NWST",897,936,NA,NA,NA,NA,NA,NA
"48","1983-1984","OK",1311,1046,NA,NA,NA,NA,NA,NA
"49","1983-1984","OKSTATE",1701,1219,NA,NA,NA,NA,NA,NA
"50","1983-1984","ORE",1236,1211,NA,NA,NA,NA,NA,NA
"51","1983-1984","ORE.ST",1594,1276,NA,NA,NA,NA,NA,NA
"52","1983-1984","OSU",3568,3306,NA,NA,NA,NA,NA,NA
"53","1983-1984","RUT",2068,2290,NA,NA,NA,NA,NA,NA
"54","1983-1984","SCAR",1589,1461,NA,NA,NA,NA,NA,NA
"55","1983-1984","SJ.ST",1737,1877,NA,NA,NA,NA,NA,NA
"56","1983-1984","SMU",669,665,NA,NA,NA,NA,NA,NA
"57","1983-1984","STAN",927,710,NA,NA,NA,NA,NA,NA
"58","1983-1984","TAM",3623,2251,NA,NA,NA,NA,NA,NA
"59","1983-1984","UGA",1661,1756,NA,NA,NA,NA,NA,NA
"60","1983-1984","UM",2844,2493,NA,NA,NA,NA,NA,NA
"61","1983-1984","UNC",1399,1779,NA,NA,NA,NA,NA,NA
"62","1983-1984","UOFM",875,847,NA,NA,NA,NA,NA,NA
"63","1983-1984","USC",1588,1209,NA,NA,NA,NA,NA,NA
"64","1983-1984","UT",3568,3425,NA,NA,NA,NA,NA,NA
"65","1983-1984","UTA.ST",879,594,NA,NA,NA,NA,NA,NA
"66","1983-1984","VANDY",538,629,NA,NA,NA,NA,NA,NA
"67","1984-1985","AUB",1788,1360,1728,1317,31,29,9,3
"68","1984-1985","BAMA",1232,1216,1148,1089,84,127,0,0
"69","1984-1985","BOS.ST",421,400,398,375,4,0,9,13
"70","1984-1985","CLEM",1186,913,1127,873,29,26,1,0
"71","1984-1985","DUKE",754,717,691,642,22,35,15,12
"72","1984-1985","FLA",2856,2476,2456,2154,69,87,160,142
"73","1984-1985","FSU",1627,2018,1479,1788,70,143,38,43
"74","1984-1985","GTOWN",708,719,587,587,30,66,39,27
"75","1984-1985","KAN.ST",1621,1260,1522,1206,24,22,31,11
"76","1984-1985","LOUIS",694,716,632,651,32,49,4,3
"77","1984-1985","LSU",1758,1586,1492,1417,35,74,36,19
"78","1984-1985","ND",1299,558,1226,501,20,16,30,23
"79","1984-1985","NEB",1684,1340,1600,1301,17,11,12,8
"80","1984-1985","NWST",962,982,817,830,67,77,11,17
"81","1984-1985","OK",1392,1011,1193,910,38,32,8,8
"82","1984-1985","OKSTATE",1962,1309,1627,1187,42,30,11,10
"83","1984-1985","ORE",1167,1120,990,989,11,8,16,10
"84","1984-1985","ORE.ST",1719,1191,1538,1067,19,9,7,15
"85","1984-1985","OSU",3663,3222,3367,3014,65,105,26,22
"86","1984-1985","RUT",2176,2493,1909,2135,102,190,67,80
