"","school","season","sport","revenue","profit","School"
"1","Auburn University","2008-2009","Football",58618819,29816951,"Auburn"
"2","Auburn University","2009-2010","Football",66162720,38251007,"Auburn"
"3","Auburn University","2000-2001","Football",28802492,18453610,"Auburn"
"4","Auburn University","2004-2005","Football",40559427,24184850,"Auburn"
"5","Auburn University","2011-2012","Football",77170242,43835647,"Auburn"
"6","Auburn University","2002-2003","Football",34331182,21982738,"Auburn"
"7","Auburn University","2003-2004","Football",37173943,24534725,"Auburn"
"8","Auburn University","2007-2008","Football",59671354,36499952,"Auburn"
"9","Auburn University","2001-2002","Football",31205035,20949787,"Auburn"
"10","Auburn University","2005-2006","Football",51598921,31535847,"Auburn"
"11","Auburn University","2006-2007","Football",56830516,33879757,"Auburn"
"12","Auburn University","2010-2011","Football",76227804,37158128,"Auburn"
"13","Louisiana State University and Agricultural and Mechanical College","2005-2006","Football",39528895,25197028,"LSU"
"14","Louisiana State University and Agricultural and Mechanical College","2000-2001","Football",25270009,17447658,"LSU"
"15","Louisiana State University and Agricultural and Mechanical College","2004-2005","Football",39657764,27482154,"LSU"
"16","Louisiana State University and Agricultural and Mechanical College","2008-2009","Football",61868953,39125745,"LSU"
"17","Louisiana State University and Agricultural and Mechanical College","2009-2010","Football",68819806,43253286,"LSU"
"18","Louisiana State University and Agricultural and Mechanical College","2006-2007","Football",48141751,31733589,"LSU"
"19","Louisiana State University and Agricultural and Mechanical College","2010-2011","Football",68510141,47017400,"LSU"
"20","Louisiana State University and Agricultural and Mechanical College","2001-2002","Football",29488232,20425860,"LSU"
"21","Louisiana State University and Agricultural and Mechanical College","2011-2012","Football",68804309,44755027,"LSU"
"22","Louisiana State University and Agricultural and Mechanical College","2002-2003","Football",39854796,28432478,"LSU"
"23","Louisiana State University and Agricultural and Mechanical College","2003-2004","Football",38381625,23032075,"LSU"
"24","Louisiana State University and Agricultural and Mechanical College","2007-2008","Football",52687713,34779535,"LSU"
"25","Ohio State University","2005-2006","Football",60773537,28484672,"Ohio State"
"26","Ohio State University","2010-2011","Football",60837342,26463498,"Ohio State"
"27","Ohio State University","2001-2002","Football",47205648,35241836,"Ohio State"
"28","Ohio State University","2008-2009","Football",68196195,35889289,"Ohio State"
"29","Ohio State University","2009-2010","Football",63750000,31986964,"Ohio State"
"30","Ohio State University","2000-2001","Football",27473207,16177992,"Ohio State"
"31","Ohio State University","2004-2005","Football",51810607,26099129,"Ohio State"
"32","Ohio State University","2011-2012","Football",58112270,24085399,"Ohio State"
"33","Ohio State University","2002-2003","Football",52742278,38013312,"Ohio State"
"34","Ohio State University","2006-2007","Football",59142071,26603752,"Ohio State"
"35","Ohio State University","2003-2004","Football",46242355,30113825,"Ohio State"
"36","Ohio State University","2007-2008","Football",65162179,32098931,"Ohio State"
"37","Pennsylvania State University","2001-2002","Football",27968407,18048408,"Penn State"
"38","Pennsylvania State University","2005-2006","Football",40555791,26415125,"Penn State"
"39","Pennsylvania State University","2006-2007","Football",44014052,29404224,"Penn State"
"40","Pennsylvania State University","2010-2011","Football",72747734,53228446,"Penn State"
"41","Pennsylvania State University","2004-2005","Football",33236463,22490284,"Penn State"
"42","Pennsylvania State University","2008-2009","Football",61767717,42635760,"Penn State"
"43","Pennsylvania State University","2009-2010","Football",70208584,50427645,"Penn State"
"44","Pennsylvania State University","2000-2001","Football",26974964,18808228,"Penn State"
"45","Pennsylvania State University","2007-2008","Football",53766038,37228333,"Penn State"
"46","Pennsylvania State University","2011-2012","Football",66210503,36003811,"Penn State"
"47","Pennsylvania State University","2002-2003","Football",46202260,33460676,"Penn State"
"48","Pennsylvania State University","2003-2004","Football",37112257,26171787,"Penn State"
"49","The University of Texas At Austin","2002-2003","Football",43765047,31149230,"Texas"
"50","The University of Texas At Austin","2010-2011","Football",95749684,71242332,"Texas"
"51","The University of Texas At Austin","2001-2002","Football",26648954,25258809,"Texas"
"52","The University of Texas At Austin","2005-2006","Football",60880069,42454615,"Texas"
"53","The University of Texas At Austin","2006-2007","Football",63798068,46233062,"Texas"
"54","The University of Texas At Austin","2000-2001","Football",25605289,15314202,"Texas"
"55","The University of Texas At Austin","2004-2005","Football",53204171,38714699,"Texas"
"56","The University of Texas At Austin","2008-2009","Football",87583986,65014900,"Texas"
"57","The University of Texas At Austin","2009-2010","Football",93942815,68830484,"Texas"
"58","The University of Texas At Austin","2003-2004","Football",47556281,34608150,"Texas"
"59","The University of Texas At Austin","2007-2008","Football",72952397,52902746,"Texas"
"60","The University of Texas At Austin","2011-2012","Football",103813684,77917481,"Texas"
