"","Date","Major","Players","Race"
"1","2006-01-01","Music",1,"African-American"
"2","2005-01-01","Finance",1,"African-American"
"3","2007-01-01","Political Science",1,"African-American"
"4","2006-01-01","Political Science",2,"African-American"
"5","2008-01-01","Sociology",2,"African-American"
"6","2009-01-01","Finance",2,"African-American"
"7","2008-01-01","Film, Television and Theatre",4,"African-American"
"8","2008-01-01","Finance",1,"African-American"
"9","2006-01-01","Business Management",1,"African-American"
"10","2006-01-01","Psychology",2,"African-American"
"11","2010-01-01","Political Science",1,"African-American"
"12","2006-01-01","Sociology",1,"African-American"
"13","2009-01-01","Film, Television and Theatre",1,"African-American"
"14","2009-01-01","Sociology",2,"African-American"
"15","2010-01-01","Management Consulting",1,"African-American"
"16","2009-01-01","Political Science",1,"African-American"
"17","2007-01-01","Marketing",2,"African-American"
"18","2007-01-01","Business Management",3,"African-American"
"19","2007-01-01","Finance",2,"African-American"
"20","2010-01-01","Finance",1,"African-American"
"21","2007-01-01","Undecided",1,"African-American"
"22","2010-01-01","Psychology",2,"African-American"
"23","2010-01-01","Sociology",3,"African-American"
"24","2011-01-01","Psychology",1,"African-American"
"25","2011-01-01","Sociology",5,"African-American"
"26","2010-01-01","Design",1,"African-American"
"27","2008-01-01","Marketing",1,"African-American"
"28","2012-01-01","Management Consulting",3,"African-American"
"29","2011-01-01","Film, Television and Theatre",1,"African-American"
"30","2008-01-01","Business Management",1,"African-American"
"31","2006-01-01","Marketing",3,"African-American"
"32","2010-01-01","Business Management",1,"African-American"
"33","2010-01-01","History",2,"African-American"
"34","2012-01-01","English",1,"African-American"
"35","2010-01-01","Mechanical Engineering",1,"African-American"
"36","2012-01-01","Sociology",2,"African-American"
"37","2013-01-01","Film, Television and Theatre",2,"African-American"
"38","2012-01-01","Industrial Design",1,"African-American"
"39","2012-01-01","Film, Television and Theatre",1,"African-American"
"40","2009-01-01","Marketing",1,"African-American"
"41","2013-01-01","Marketing",2,"African-American"
"42","2012-01-01","Finance",2,"African-American"
"43","2013-01-01","Unknown",2,"African-American"
"44","2008-01-01","Unknown",3,"African-American"
"45","2012-01-01","Marketing",1,"African-American"
"46","2010-01-01","Marketing",1,"African-American"
"47","2014-01-01","Film, Television and Theatre",1,"African-American"
"48","2014-01-01","Unknown",1,"African-American"
"49","2015-01-01","Undecided",2,"African-American"
"50","2015-01-01","Unknown",1,"African-American"
"51","2005-01-01","Accounting",1,"White"
"52","2006-01-01","Marketing",4,"White"
"53","2005-01-01","Marketing",1,"White"
"54","2006-01-01","History",3,"White"
"55","2006-01-01","Pre-professional Science",1,"White"
"56","2006-01-01","Mechanical Engineering",1,"White"
"57","2006-01-01","Psychology",1,"White"
"58","2007-01-01","American Studies",1,"White"
"59","2006-01-01","Sociology",1,"White"
"60","2007-01-01","Sociology",2,"White"
"61","2006-01-01","Anthropology",1,"White"
"62","2007-01-01","Political Science",1,"White"
"63","2006-01-01","Accounting",3,"White"
"64","2010-01-01","Industrial Design",1,"White"
"65","2007-01-01","Finance",3,"White"
"66","2006-01-01","Business Management",1,"White"
"67","2006-01-01","Finance",7,"White"
"68","2007-01-01","Marketing",2,"White"
"69","2009-01-01","Architecture",1,"White"
"70","2007-01-01","History",2,"White"
"71","2009-01-01","Pre-professional Studies",2,"White"
"72","2007-01-01","Pre-professional Studies",1,"White"
"73","2011-01-01","Mathematics",1,"White"
"74","2008-01-01","Political Science",1,"White"
"75","2010-01-01","Sociology",2,"White"
"76","2007-01-01","Design",1,"White"
"77","2011-01-01","Sociology",2,"White"
"78","2008-01-01","Finance",1,"White"
"79","2007-01-01","Accounting",1,"White"
"80","2009-01-01","Finance",2,"White"
"81","2009-01-01","Management-entrepreneurship",1,"White"
"82","2009-01-01","Mechanical Engineering",1,"White"
"83","2007-01-01","Mechanical Engineering",1,"White"
"84","2010-01-01","History",2,"White"
"85","2008-01-01","Pre-professional Science",1,"White"
"86","2013-01-01","Design",2,"White"
"87","2009-01-01","Sociology",2,"White"
"88","2013-01-01","Industrial Design",1,"White"
"89","2011-01-01","Anthropology",1,"White"
"90","2012-01-01","Film, Television and Theatre",1,"White"
"91","2011-01-01","Economics",2,"White"
"92","2008-01-01","Accounting",1,"White"
"93","2010-01-01","Finance",5,"White"
"94","2010-01-01","Management-entrepreneurship",1,"White"
"95","2011-01-01","Management-entrepreneurship",1,"White"
"96","2009-01-01","History",1,"White"
"97","2010-01-01","Unknown",2,"White"
"98","2009-01-01","Biological Science",1,"White"
"99","2013-01-01","Management Consulting",3,"White"
"100","2012-01-01","Sociology",1,"White"
"101","2009-01-01","Management Consulting",3,"White"
"102","2013-01-01","Marketing",1,"White"
"103","2011-01-01","Marketing",3,"White"
"104","2014-01-01","Pre-professional Science",1,"White"
"105","2012-01-01","English",1,"White"
"106","2011-01-01","Finance",2,"White"
"107","2012-01-01","Psychology",1,"White"
"108","2012-01-01","Management-entrepreneurship",1,"White"
"109","2013-01-01","Unknown",1,"White"
"110","2013-01-01","History",1,"White"
"111","2012-01-01","Management Consulting",5,"White"
"112","2013-01-01","Sociology",2,"White"
"113","2013-01-01","Finance",1,"White"
"114","2014-01-01","Political Science",1,"White"
"115","2012-01-01","Finance",2,"White"
