"","Stated_Major","CIP_ID","Graduation_Year","freq"
"34","Education","EDUCATION",2007,9
"40","Education","EDUCATION",2013,9
"37","Education","EDUCATION",2010,8
"38","Education","EDUCATION",2011,8
"35","Education","EDUCATION",2008,7
"36","Education","EDUCATION",2009,7
"39","Education","EDUCATION",2012,7
"15","Business Management","BUSINESS.MANAGEMENT.MARKETING",2011,6
"27","Economics","SOCIAL.SCIENCE",2010,5
"54","General Business","BUSINESS.MANAGEMENT.MARKETING",2008,5
"16","Business Management","BUSINESS.MANAGEMENT.MARKETING",2012,4
"17","Business Management","BUSINESS.MANAGEMENT.MARKETING",2014,4
"41","Education","EDUCATION",2014,4
"56","General Business","BUSINESS.MANAGEMENT.MARKETING",2010,4
"108","Sports Management","PARKS.REC",2008,4
"13","Business Management","BUSINESS.MANAGEMENT.MARKETING",2009,3
"23","Economics","SOCIAL.SCIENCE",2006,3
"26","Economics","SOCIAL.SCIENCE",2009,3
"33","Education","EDUCATION",2006,3
"53","General Business","BUSINESS.MANAGEMENT.MARKETING",2007,3
"55","General Business","BUSINESS.MANAGEMENT.MARKETING",2009,3
"59","General Business","BUSINESS.MANAGEMENT.MARKETING",2014,3
"60","General Business","BUSINESS.MANAGEMENT.MARKETING",2016,3
"71","Marketing","BUSINESS.MANAGEMENT.MARKETING",2006,3
"100","Sociology","SOCIAL.SCIENCE",2007,3
"101","Sociology","SOCIAL.SCIENCE",2008,3
"109","Sports Management","PARKS.REC",2009,3
"112","Sports Management","PARKS.REC",2013,3
"7","Broadcasting","COMM.JOURN",2010,2
"11","Business Management","BUSINESS.MANAGEMENT.MARKETING",2007,2
"18","Communications","COMM.JOURN",2014,2
"25","Economics","SOCIAL.SCIENCE",2008,2
"28","Economics","SOCIAL.SCIENCE",2011,2
"29","Economics","SOCIAL.SCIENCE",2012,2
"42","Education","EDUCATION",2015,2
"43","Education","EDUCATION",2016,2
"44","Engineering","ENGINEERING",2014,2
"45","Engineering","ENGINEERING",2016,2
"48","Excercise Science","PARKS.REC",2013,2
"51","General Business","BUSINESS.MANAGEMENT.MARKETING",2005,2
