"","State","ID_Race","freq"
"36","TX","AA",120
"32","OK","C",74
"37","TX","C",49
"30","OK","AA",34
"11","GA","AA",14
"16","KS","C",7
"3","AR","AA",5
"5","CA","AA",4
"9","FL","AA",4
"15","KS","AA",4
"24","MS","AA",4
"34","SC","AA",4
"19","LA","AA",3
"39","TX","MIX",3
"6","CA","C",2
"10","FL","C",2
"12","GA","C",2
"23","MO","C",2
"25","MS","C",2
"26","NC","C",2
"35","TN","AA",2
"38","TX","H",2
"41","VA","AA",2
"1","AK","PI",1
"2","AL","C",1
"4","AZ","AA",1
"7","CA","PI",1
"8","CO","C",1
"13","IL","C",1
"14","IN","AA",1
"17","KS","MIX",1
"18","KY","C",1
"20","MI","AA",1
"21","MI","C",1
"22","MO","AA",1
"27","NJ","AA",1
"28","NJ","C",1
"29","NY","C",1
"31","OK","AI",1
"33","OK","MIX",1
"40","UT","C",1
"42","WI","C",1
