"","Race","Stated_Major","Graduation_Year","freq"
"21","Black","Education",2007,9
"27","Black","Education",2013,8
"22","Black","Education",2008,7
"24","Black","Education",2010,7
"25","Black","Education",2011,5
"26","Black","Education",2012,5
"23","Black","Education",2009,4
"16","Black","Economics",2010,4
"91","White","Business Management",2011,4
"28","Black","Education",2014,4
"12","Black","Economics",2006,3
"20","Black","Education",2006,3
"64","Black","Sociology",2008,3
"112","White","General Business",2008,3
"15","Black","Economics",2009,3
"90","White","Business Management",2009,3
"102","White","Education",2011,3
"93","White","Business Management",2014,3
"138","White","Political Science",2005,2
"45","Black","Marketing",2006,2
"63","Black","Sociology",2007,2
"111","White","General Business",2007,2
"14","Black","Economics",2008,2
"39","Black","General Business",2008,2
"70","Black","Sports Management",2008,2
"71","Black","Sports Management",2009,2
"100","White","Education",2009,2
"113","White","General Business",2009,2
"41","Black","General Business",2010,2
"72","Black","Sports Management",2010,2
"114","White","General Business",2010,2
"7","Black","Business Management",2011,2
"53","Black","Physical Education",2011,2
"122","White","Health Promotion",2011,2
"8","Black","Business Management",2012,2
"18","Black","Economics",2012,2
"92","White","Business Management",2012,2
"103","White","Education",2012,2
"123","White","Health Promotion",2012,2
"74","Black","Sports Management",2013,2
"115","White","General Business",2013,2
"43","Black","General Business",2014,2
"30","Black","Education",2016,2
"32","Black","Engineering",2016,2
"48","Black","Marketing",2016,2
"76","Black","Sports Management",2016,2
"117","White","General Business",2016,2
"98","White","Education",2004,1
"11","Black","Economics",2005,1
"36","Black","General Business",2005,1
"49","Black","Microbiology",2005,1
"62","Black","Sociology",2005,1
"99","White","Education",2005,1
"110","White","General Business",2005,1
"141","White","Secondary Education",2005,1
"4","Black","Business Management",2006,1
"37","Black","General Business",2006,1
"84","White","Agriculture Sciences",2006,1
"94","White","Criminal Justice",2006,1
"127","White","Journalism",2006,1
"128","White","Marketing",2006,1
"1","Black","Art",2007,1
"5","Black","Business Management",2007,1
"13","Black","Economics",2007,1
"38","Black","General Business",2007,1
"50","Black","Physical Education",2007,1
"81","White","Agricultural Business",2007,1
"88","White","Business Management",2007,1
"95","White","Criminal Justice",2007,1
"120","White","Health Promotion",2007,1
"129","White","Marketing",2007,1
"142","White","Social Studies",2007,1
"143","White","Sociology",2007,1
"51","Black","Physical Education",2008,1
"80","Other","Sports Management",2008,1
"82","White","Agricultural Business",2008,1
"89","White","Business Management",2008,1
"126","White","International Business",2008,1
"130","White","Marketing",2008,1
"136","White","Physical Education",2008,1
"147","White","Sports Management",2008,1
"2","Black","Biomedical Science",2009,1
"40","Black","General Business",2009,1
"65","Black","Sociology",2009,1
"78","Other","Education",2009,1
"79","Other","Sociology",2009,1
"121","White","Health Promotion",2009,1
"124","White","Hotel Management",2009,1
"139","White","Political Science",2009,1
"148","White","Sports Management",2009,1
"3","Black","Broadcasting",2010,1
"6","Black","Business Management",2010,1
"10","Black","Computer Science",2010,1
"46","Black","Marketing",2010,1
"52","Black","Physical Education",2010,1
"60","Black","Secondary Education",2010,1
"85","White","Broadcasting",2010,1
"96","White","Economics",2010,1
"101","White","Education",2010,1
"118","White","Geology",2010,1
"131","White","Marketing",2010,1
"137","White","Physical Education",2010,1
"144","White","Sociology",2010,1
"17","Black","Economics",2011,1
"42","Black","General Business",2011,1
"57","Black","Psychology",2011,1
"66","Black","Sociology",2011,1
"73","Black","Sports Management",2011,1
"97","White","Economics",2011,1
"132","White","Marketing",2011,1
"145","White","Sociology",2011,1
"149","White","Sports Management",2011,1
"33","Black","Entrepreneurship",2012,1
"61","Black","Secondary Education",2012,1
"133","White","Marketing",2012,1
"140","White","Pre-Medicine",2012,1
"34","Black","Excercise Science",2013,1
"35","Black","Finance",2013,1
"54","Black","Physical Education",2013,1
"56","Black","Pre-Medicine",2013,1
"58","Black","Psychology",2013,1
"67","Black","Sociology",2013,1
"86","White","Broadcasting",2013,1
"104","White","Education",2013,1
"108","White","Excercise Science",2013,1
"134","White","Marketing",2013,1
"150","White","Sports Management",2013,1
"9","Black","Communications",2014,1
"19","Black","Economics",2014,1
"31","Black","Engineering",2014,1
"47","Black","Marketing",2014,1
"59","Black","Psychology",2014,1
"68","Black","Sociology",2014,1
"77","Other","Business Management",2014,1
"83","White","Agricultural Business",2014,1
"106","White","Engineering",2014,1
"107","White","Entrepreneurship",2014,1
"109","White","Finance",2014,1
"116","White","General Business",2014,1
"151","White","Sports Management",2014,1
"29","Black","Education",2015,1
"55","Black","Political Science",2015,1
"69","Black","Sociology",2015,1
"75","Black","Sports Management",2015,1
"87","White","Broadcasting",2015,1
"105","White","Education",2015,1
"125","White","Hotel Management",2015,1
"135","White","Marketing",2015,1
"146","White","Sociology",2015,1
"44","Black","General Business",2016,1
"119","White","Geology",2016,1
