"","Race","Graduation_Year","Stated_Major","freq"
"13","Black",2007,"Education",9
"52","Black",2013,"Education",8
"18","Black",2008,"Education",7
"33","Black",2010,"Education",7
"41","Black",2011,"Education",5
"49","Black",2012,"Education",5
"25","Black",2009,"Education",4
"32","Black",2010,"Economics",4
"62","Black",2014,"Education",4
"120","White",2011,"Business Management",4
"6","Black",2006,"Economics",3
"7","Black",2006,"Education",3
"21","Black",2008,"Sociology",3
"24","Black",2009,"Economics",3
"100","White",2008,"General Business",3
"105","White",2009,"Business Management",3
"122","White",2011,"Education",3
"139","White",2014,"Business Management",3
"9","Black",2006,"Marketing",2
"16","Black",2007,"Sociology",2
"17","Black",2008,"Economics",2
"19","Black",2008,"General Business",2
"22","Black",2008,"Sports Management",2
"28","Black",2009,"Sports Management",2
"34","Black",2010,"General Business",2
"38","Black",2010,"Sports Management",2
"39","Black",2011,"Business Management",2
"43","Black",2011,"Physical Education",2
"47","Black",2012,"Business Management",2
"48","Black",2012,"Economics",2
"59","Black",2013,"Sports Management",2
"64","Black",2014,"General Business",2
"72","Black",2016,"Education",2
"73","Black",2016,"Engineering",2
"75","Black",2016,"Marketing",2
"76","Black",2016,"Sports Management",2
"84","White",2005,"Political Science",2
"93","White",2007,"General Business",2
"106","White",2009,"Education",2
"107","White",2009,"General Business",2
"115","White",2010,"General Business",2
"123","White",2011,"Health Promotion",2
"127","White",2012,"Business Management",2
"128","White",2012,"Education",2
"129","White",2012,"Health Promotion",2
"135","White",2013,"General Business",2
"150","White",2016,"General Business",2
"1","Black",2005,"Economics",1
"2","Black",2005,"General Business",1
"3","Black",2005,"Microbiology",1
"4","Black",2005,"Sociology",1
"5","Black",2006,"Business Management",1
"8","Black",2006,"General Business",1
"10","Black",2007,"Art",1
"11","Black",2007,"Business Management",1
"12","Black",2007,"Economics",1
"14","Black",2007,"General Business",1
"15","Black",2007,"Physical Education",1
"20","Black",2008,"Physical Education",1
"23","Black",2009,"Biomedical Science",1
"26","Black",2009,"General Business",1
"27","Black",2009,"Sociology",1
"29","Black",2010,"Broadcasting",1
"30","Black",2010,"Business Management",1
"31","Black",2010,"Computer Science",1
"35","Black",2010,"Marketing",1
"36","Black",2010,"Physical Education",1
"37","Black",2010,"Secondary Education",1
"40","Black",2011,"Economics",1
"42","Black",2011,"General Business",1
"44","Black",2011,"Psychology",1
"45","Black",2011,"Sociology",1
"46","Black",2011,"Sports Management",1
"50","Black",2012,"Entrepreneurship",1
"51","Black",2012,"Secondary Education",1
"53","Black",2013,"Excercise Science",1
"54","Black",2013,"Finance",1
"55","Black",2013,"Physical Education",1
"56","Black",2013,"Pre-Medicine",1
"57","Black",2013,"Psychology",1
"58","Black",2013,"Sociology",1
"60","Black",2014,"Communications",1
"61","Black",2014,"Economics",1
"63","Black",2014,"Engineering",1
"65","Black",2014,"Marketing",1
"66","Black",2014,"Psychology",1
"67","Black",2014,"Sociology",1
"68","Black",2015,"Education",1
"69","Black",2015,"Political Science",1
"70","Black",2015,"Sociology",1
"71","Black",2015,"Sports Management",1
"74","Black",2016,"General Business",1
"77","Other",2008,"Sports Management",1
"78","Other",2009,"Education",1
"79","Other",2009,"Sociology",1
"80","Other",2014,"Business Management",1
"81","White",2004,"Education",1
"82","White",2005,"Education",1
"83","White",2005,"General Business",1
"85","White",2005,"Secondary Education",1
"86","White",2006,"Agriculture Sciences",1
"87","White",2006,"Criminal Justice",1
"88","White",2006,"Journalism",1
"89","White",2006,"Marketing",1
"90","White",2007,"Agricultural Business",1
"91","White",2007,"Business Management",1
"92","White",2007,"Criminal Justice",1
"94","White",2007,"Health Promotion",1
"95","White",2007,"Marketing",1
"96","White",2007,"Social Studies",1
"97","White",2007,"Sociology",1
"98","White",2008,"Agricultural Business",1
"99","White",2008,"Business Management",1
"101","White",2008,"International Business",1
"102","White",2008,"Marketing",1
"103","White",2008,"Physical Education",1
"104","White",2008,"Sports Management",1
"108","White",2009,"Health Promotion",1
"109","White",2009,"Hotel Management",1
"110","White",2009,"Political Science",1
"111","White",2009,"Sports Management",1
"112","White",2010,"Broadcasting",1
"113","White",2010,"Economics",1
"114","White",2010,"Education",1
"116","White",2010,"Geology",1
"117","White",2010,"Marketing",1
"118","White",2010,"Physical Education",1
"119","White",2010,"Sociology",1
"121","White",2011,"Economics",1
"124","White",2011,"Marketing",1
"125","White",2011,"Sociology",1
"126","White",2011,"Sports Management",1
"130","White",2012,"Marketing",1
"131","White",2012,"Pre-Medicine",1
"132","White",2013,"Broadcasting",1
"133","White",2013,"Education",1
"134","White",2013,"Excercise Science",1
"136","White",2013,"Marketing",1
"137","White",2013,"Sports Management",1
"138","White",2014,"Agricultural Business",1
"140","White",2014,"Engineering",1
"141","White",2014,"Entrepreneurship",1
"142","White",2014,"Finance",1
"143","White",2014,"General Business",1
"144","White",2014,"Sports Management",1
"145","White",2015,"Broadcasting",1
"146","White",2015,"Education",1
"147","White",2015,"Hotel Management",1
"148","White",2015,"Marketing",1
"149","White",2015,"Sociology",1
"151","White",2016,"Geology",1
