"","ID_Race","Position","freq"
"14","AA","WR",39
"26","C","OL",33
"8","AA","LB",29
"33","C","WR",28
"2","AA","CB",23
"11","AA","RB",21
"6","AA","DT",19
"4","AA","DE",17
"9","AA","OL",17
"12","AA","S",17
"29","C","QB",15
"24","C","LB",12
"22","C","FB",10
"19","C","DE",9
"23","C","K",8
"21","C","DT",7
"32","C","TE",7
"3","AA","DB",6
"13","AA","TE",6
"7","AA","FB",5
"25","C","LS",5
"5","AA","DL",4
"31","C","S",4
"17","C","CB",3
"27","C","P",3
"38","MIX","WR",3
"28","C","P/K",2
"30","C","RB",2
"1","AA","C",1
"10","AA","QB",1
"15","AI","DT",1
"16","C","C",1
"18","C","DB",1
"20","C","DL",1
"34","H","LB",1
"35","H","OL",1
"36","MIX","DT",1
"37","MIX","RB",1
"39","PI","DT",1
"40","PI","LB",1
