"","Stated_Major","CIP_ID","ID_Race","freq"
"15","Education","EDUCATION","AA",55
"13","Economics","SOCIAL.SCIENCE","AA",18
"27","General Business","BUSINESS.MANAGEMENT.MARKETING","C",15
"8","Business Management","BUSINESS.MANAGEMENT.MARKETING","C",14
"16","Education","EDUCATION","C",12
"26","General Business","BUSINESS.MANAGEMENT.MARKETING","AA",12
"49","Sports Management","PARKS.REC","AA",12
"46","Sociology","SOCIAL.SCIENCE","AA",11
"34","Marketing","BUSINESS.MANAGEMENT.MARKETING","C",8
"7","Business Management","BUSINESS.MANAGEMENT.MARKETING","AA",7
"29","Health Promotion","HEALTH.PROFESSION","C",6
"33","Marketing","BUSINESS.MANAGEMENT.MARKETING","AA",6
"36","Physical Education","EDUCATION","AA",6
"50","Sports Management","PARKS.REC","C",5
"47","Sociology","SOCIAL.SCIENCE","C",4
"1","Agricultural Business","AGRICULTURE","C",3
"6","Broadcasting","COMM.JOURN","C",3
"18","Engineering","ENGINEERING","AA",3
"39","Political Science","SOCIAL.SCIENCE","C",3
"42","Psychology","PYSCH","AA",3
"10","Communications","COMM.JOURN","AA",2
"12","Criminal Justice","SECURITY","C",2
"14","Economics","SOCIAL.SCIENCE","C",2
"28","Geology","PHYSICAL.SCI","C",2
"30","Hotel Management","BUSINESS.MANAGEMENT.MARKETING","C",2
"37","Physical Education","EDUCATION","C",2
"43","Secondary Education","EDUCATION","AA",2
"2","Agriculture Sciences","AGRICULTURE","C",1
"3","Art","VISUAL.ARTS","AA",1
"4","Biomedical Science","BIO","AA",1
"5","Broadcasting","COMM.JOURN","AA",1
"9","Business Management","BUSINESS.MANAGEMENT.MARKETING","H",1
"11","Computer Science","COMP.SCI","AA",1
"17","Education","EDUCATION","PI",1
"19","Engineering","ENGINEERING","C",1
"20","Entrepreneurship","BUSINESS.MANAGEMENT.MARKETING","AA",1
"21","Entrepreneurship","BUSINESS.MANAGEMENT.MARKETING","C",1
"22","Excercise Science","PARKS.REC","AA",1
"23","Excercise Science","PARKS.REC","C",1
"24","Finance","BUSINESS.MANAGEMENT.MARKETING","AA",1
"25","Finance","BUSINESS.MANAGEMENT.MARKETING","C",1
"31","International Business","BUSINESS.MANAGEMENT.MARKETING","C",1
"32","Journalism","COMM.JOURN","C",1
"35","Microbiology","BIO","AA",1
"38","Political Science","SOCIAL.SCIENCE","AA",1
"40","Pre-Medicine","HEALTH.PROFESSION","AA",1
"41","Pre-Medicine","HEALTH.PROFESSION","C",1
"44","Secondary Education","EDUCATION","C",1
"45","Social Studies","EDUCATION","C",1
"48","Sociology","SOCIAL.SCIENCE","PI",1
"51","Sports Management","PARKS.REC","MIX",1
