"","Stated_Major","CIP_ID","freq"
"11","Education","EDUCATION",68
"16","General Business","BUSINESS.MANAGEMENT.MARKETING",27
"6","Business Management","BUSINESS.MANAGEMENT.MARKETING",22
"10","Economics","SOCIAL.SCIENCE",20
"31","Sports Management","PARKS.REC",18
"30","Sociology","SOCIAL.SCIENCE",16
"22","Marketing","BUSINESS.MANAGEMENT.MARKETING",14
"24","Physical Education","EDUCATION",8
"18","Health Promotion","HEALTH.PROFESSION",6
"5","Broadcasting","COMM.JOURN",4
"12","Engineering","ENGINEERING",4
"25","Political Science","SOCIAL.SCIENCE",4
"1","Agricultural Business","AGRICULTURE",3
"27","Psychology","PYSCH",3
"28","Secondary Education","EDUCATION",3
"7","Communications","COMM.JOURN",2
"9","Criminal Justice","SECURITY",2
"13","Entrepreneurship","BUSINESS.MANAGEMENT.MARKETING",2
"14","Excercise Science","PARKS.REC",2
"15","Finance","BUSINESS.MANAGEMENT.MARKETING",2
"17","Geology","PHYSICAL.SCI",2
"19","Hotel Management","BUSINESS.MANAGEMENT.MARKETING",2
"26","Pre-Medicine","HEALTH.PROFESSION",2
"2","Agriculture Sciences","AGRICULTURE",1
"3","Art","VISUAL.ARTS",1
"4","Biomedical Science","BIO",1
"8","Computer Science","COMP.SCI",1
"20","International Business","BUSINESS.MANAGEMENT.MARKETING",1
"21","Journalism","COMM.JOURN",1
"23","Microbiology","BIO",1
"29","Social Studies","EDUCATION",1
