"","Graduation_Year","Stated_Major","freq"
"22",2007,"Education",9
"80",2013,"Education",9
"53",2010,"Education",8
"63",2011,"Education",8
"32",2008,"Education",7
"42",2009,"Education",7
"73",2012,"Education",7
"61",2011,"Business Management",6
"33",2008,"General Business",5
"52",2010,"Economics",5
"38",2008,"Sports Management",4
"54",2010,"General Business",4
"71",2012,"Business Management",4
"91",2014,"Business Management",4
"94",2014,"Education",4
"12",2006,"Economics",3
"13",2006,"Education",3
"16",2006,"Marketing",3
"23",2007,"General Business",3
"28",2007,"Sociology",3
"37",2008,"Sociology",3
"40",2009,"Business Management",3
"41",2009,"Economics",3
"43",2009,"General Business",3
"48",2009,"Sports Management",3
"89",2013,"Sports Management",3
"98",2014,"General Business",3
"112",2016,"General Business",3
"4",2005,"General Business",2
"6",2005,"Political Science",2
"19",2007,"Business Management",2
"31",2008,"Economics",2
"36",2008,"Physical Education",2
"47",2009,"Sociology",2
"49",2010,"Broadcasting",2
"56",2010,"Marketing",2
"57",2010,"Physical Education",2
"60",2010,"Sports Management",2
"62",2011,"Economics",2
"65",2011,"Health Promotion",2
"67",2011,"Physical Education",2
"69",2011,"Sociology",2
"70",2011,"Sports Management",2
"72",2012,"Economics",2
"75",2012,"Health Promotion",2
"81",2013,"Excercise Science",2
"83",2013,"General Business",2
"95",2014,"Engineering",2
"104",2015,"Education",2
"108",2015,"Sociology",2
"110",2016,"Education",2
"111",2016,"Engineering",2
"114",2016,"Marketing",2
"115",2016,"Sports Management",2
"1",2004,"Education",1
"2",2005,"Economics",1
"3",2005,"Education",1
"5",2005,"Microbiology",1
"7",2005,"Secondary Education",1
"8",2005,"Sociology",1
"9",2006,"Agriculture Sciences",1
"10",2006,"Business Management",1
"11",2006,"Criminal Justice",1
"14",2006,"General Business",1
"15",2006,"Journalism",1
"17",2007,"Agricultural Business",1
"18",2007,"Art",1
"20",2007,"Criminal Justice",1
"21",2007,"Economics",1
"24",2007,"Health Promotion",1
"25",2007,"Marketing",1
"26",2007,"Physical Education",1
"27",2007,"Social Studies",1
"29",2008,"Agricultural Business",1
"30",2008,"Business Management",1
"34",2008,"International Business",1
"35",2008,"Marketing",1
"39",2009,"Biomedical Science",1
"44",2009,"Health Promotion",1
"45",2009,"Hotel Management",1
"46",2009,"Political Science",1
"50",2010,"Business Management",1
"51",2010,"Computer Science",1
"55",2010,"Geology",1
"58",2010,"Secondary Education",1
"59",2010,"Sociology",1
"64",2011,"General Business",1
"66",2011,"Marketing",1
"68",2011,"Psychology",1
"74",2012,"Entrepreneurship",1
"76",2012,"Marketing",1
"77",2012,"Pre-Medicine",1
"78",2012,"Secondary Education",1
"79",2013,"Broadcasting",1
"82",2013,"Finance",1
"84",2013,"Marketing",1
"85",2013,"Physical Education",1
"86",2013,"Pre-Medicine",1
"87",2013,"Psychology",1
"88",2013,"Sociology",1
"90",2014,"Agricultural Business",1
"92",2014,"Communications",1
"93",2014,"Economics",1
"96",2014,"Entrepreneurship",1
"97",2014,"Finance",1
"99",2014,"Marketing",1
"100",2014,"Psychology",1
"101",2014,"Sociology",1
"102",2014,"Sports Management",1
"103",2015,"Broadcasting",1
"105",2015,"Hotel Management",1
"106",2015,"Marketing",1
"107",2015,"Political Science",1
"109",2015,"Sports Management",1
"113",2016,"Geology",1
