"","Race","Stated_Major","freq"
"8","Black","Education",55
"7","Black","Economics",18
"38","White","General Business",15
"30","White","Business Management",14
"13","Black","General Business",12
"22","Black","Sports Management",12
"33","White","Education",12
"21","Black","Sociology",11
"44","White","Marketing",8
"4","Black","Business Management",7
"14","Black","Marketing",6
"16","Black","Physical Education",6
"40","White","Health Promotion",6
"51","White","Sports Management",5
"50","White","Sociology",4
"9","Black","Engineering",3
"19","Black","Psychology",3
"27","White","Agricultural Business",3
"29","White","Broadcasting",3
"46","White","Political Science",3
"20","Black","Secondary Education",2
"31","White","Criminal Justice",2
"32","White","Economics",2
"39","White","Geology",2
"41","White","Hotel Management",2
"45","White","Physical Education",2
"1","Black","Art",1
"2","Black","Biomedical Science",1
"3","Black","Broadcasting",1
"5","Black","Communications",1
"6","Black","Computer Science",1
"10","Black","Entrepreneurship",1
"11","Black","Excercise Science",1
"12","Black","Finance",1
"15","Black","Microbiology",1
"17","Black","Political Science",1
"18","Black","Pre-Medicine",1
"23","Other","Business Management",1
"24","Other","Education",1
"25","Other","Sociology",1
"26","Other","Sports Management",1
"28","White","Agriculture Sciences",1
"34","White","Engineering",1
"35","White","Entrepreneurship",1
"36","White","Excercise Science",1
"37","White","Finance",1
"42","White","International Business",1
"43","White","Journalism",1
"47","White","Pre-Medicine",1
"48","White","Secondary Education",1
"49","White","Social Studies",1
