"","year","cip_family","cipfamilytitle","total","males","females","males_white","females_white","males_black","females_black"
"1",1980,1,"Agriculture- Agriculture Operations and Related Sciences",324,257,67,NA,NA,NA,NA
"2",1980,4,"Architecture and Related Services",35,30,5,NA,NA,NA,NA
"3",1980,26,"Biological and Biomedical Sciences",172,116,56,NA,NA,NA,NA
"4",1980,52,"Business- Management- Marketing- and Related Support Services",734,444,290,NA,NA,NA,NA
"5",1980,9,"Communication- Journalism- and Related Programs",98,48,50,NA,NA,NA,NA
"6",1980,11,"Computer and Information Sciences and Support Services",15,11,4,NA,NA,NA,NA
"7",1980,13,"Education",429,134,295,NA,NA,NA,NA
"8",1980,14,"Engineering",521,483,38,NA,NA,NA,NA
"9",1980,23,"English language and literature/letters.",57,10,47,NA,NA,NA,NA
"10",1980,16,"Foreign Languages- Literatures- and Linguistics",16,1,15,NA,NA,NA,NA
"11",1980,51,"Health Professions and Related Programs",40,10,30,NA,NA,NA,NA
"12",1980,19,"Family and Consumer Sciences/Human Sciences",206,12,194,NA,NA,NA,NA
"13",1980,27,"Mathematics and Statistics",15,7,8,NA,NA,NA,NA
"14",1980,29,"Military technologies.",1,1,0,NA,NA,NA,NA
"15",1980,30,"Multi/Interdisciplinary Studies",51,34,17,NA,NA,NA,NA
"16",1980,40,"Physical Sciences",34,31,3,NA,NA,NA,NA
"17",1980,42,"Psychology",72,17,55,NA,NA,NA,NA
"18",1980,45,"Social Sciences and History",156,81,75,NA,NA,NA,NA
"19",1980,50,"Visual and performing arts.",17,8,9,NA,NA,NA,NA
"20",1984,2,"Agricultural Sciences",180,130,50,NA,NA,NA,NA
"21",1984,18,"Health Sciences",28,6,22,NA,NA,NA,NA
"22",1984,1,"Agriculture- Agriculture Operations and Related Sciences",113,85,28,NA,NA,NA,NA
"23",1984,4,"Architecture and Related Services",34,31,3,NA,NA,NA,NA
"24",1984,26,"Biological and Biomedical Sciences",127,69,58,NA,NA,NA,NA
"25",1984,52,"Business- Management- Marketing- and Related Support Services",834,491,343,NA,NA,NA,NA
"26",1984,52,"Business- Management- Marketing- and Related Support Services",31,0,31,NA,NA,NA,NA
"27",1984,9,"Communication- Journalism- and Related Programs",82,38,44,NA,NA,NA,NA
"28",1984,11,"Computer and Information Sciences and Support Services",45,34,11,NA,NA,NA,NA
"29",1984,13,"Education",317,114,203,NA,NA,NA,NA
"30",1984,15,"Engineering Technologies and Engineering-related Fields",251,237,14,NA,NA,NA,NA
"31",1984,14,"Engineering",317,272,45,NA,NA,NA,NA
"32",1984,23,"English language and literature/letters.",41,16,25,NA,NA,NA,NA
"33",1984,16,"Foreign Languages- Literatures- and Linguistics",14,3,11,NA,NA,NA,NA
"34",1984,19,"Family and Consumer Sciences/Human Sciences",145,7,138,NA,NA,NA,NA
"35",1984,24,"Liberal arts and sciences- general studies and humanities.",8,5,3,NA,NA,NA,NA
"36",1984,27,"Mathematics and Statistics",23,13,10,NA,NA,NA,NA
"37",1984,28,"Military Services",2,2,0,NA,NA,NA,NA
"38",1984,30,"Multi/Interdisciplinary Studies",5,2,3,NA,NA,NA,NA
"39",1984,3,"Natural Resources and Conservation",19,13,6,NA,NA,NA,NA
"40",1984,31,"Parks- Recreation- Leisure and Fitness Studies",42,10,32,NA,NA,NA,NA
"41",1984,38,"Philosophy and Religious Studies",2,2,0,NA,NA,NA,NA
"42",1984,40,"Physical Sciences",52,39,13,NA,NA,NA,NA
"43",1984,42,"Psychology",73,26,47,NA,NA,NA,NA
"44",1984,45,"Social Sciences and History",124,53,71,NA,NA,NA,NA
"45",1984,50,"Visual and performing arts.",11,3,8,NA,NA,NA,NA
"46",1985,2,"Agricultural Sciences",167,123,44,103,39,2,0
"47",1985,18,"Health Sciences",31,3,28,3,24,0,1
"48",1985,1,"Agriculture- Agriculture Operations and Related Sciences",114,88,26,84,26,0,0
"49",1985,4,"Architecture and Related Services",11,6,5,6,5,0,0
"50",1985,26,"Biological and Biomedical Sciences",116,73,43,63,36,2,0
"51",1985,52,"Business- Management- Marketing- and Related Support Services",965,530,435,457,396,14,8
"52",1985,52,"Business- Management- Marketing- and Related Support Services",30,0,30,0,28,0,1
"53",1985,9,"Communication- Journalism- and Related Programs",135,68,67,66,62,1,3
"54",1985,11,"Computer and Information Sciences and Support Services",85,61,24,43,18,2,0
"55",1985,13,"Education",407,155,252,147,240,2,1
"56",1985,15,"Engineering Technologies and Engineering-related Fields",268,254,14,215,10,6,2
"57",1985,14,"Engineering",378,352,26,221,20,3,1
"58",1985,23,"English language and literature/letters.",41,16,25,15,23,0,0
"59",1985,16,"Foreign Languages- Literatures- and Linguistics",7,1,6,1,6,0,0
"60",1985,19,"Family and Consumer Sciences/Human Sciences",117,9,108,7,92,1,7
"61",1985,24,"Liberal arts and sciences- general studies and humanities.",5,3,2,3,2,0,0
"62",1985,27,"Mathematics and Statistics",18,10,8,5,5,0,1
"63",1985,28,"Military Services",1,1,0,1,0,0,0
"64",1985,30,"Multi/Interdisciplinary Studies",4,3,1,3,1,0,0
"65",1985,3,"Natural Resources and Conservation",24,19,5,19,5,0,0
"66",1985,31,"Parks- Recreation- Leisure and Fitness Studies",26,6,20,4,20,2,0
"67",1985,38,"Philosophy and Religious Studies",4,2,2,1,2,0,0
"68",1985,40,"Physical Sciences",74,63,11,58,10,1,0
"69",1985,42,"Psychology",68,31,37,30,32,0,3
"70",1985,45,"Social Sciences and History",150,75,75,65,71,4,2
"71",1985,50,"Visual and performing arts.",25,10,15,7,14,2,0
"72",1986,2,"Agricultural Sciences",165,120,45,NA,NA,NA,NA
"73",1986,18,"Health Sciences",24,4,20,NA,NA,NA,NA
"74",1986,1,"Agriculture- Agriculture Operations and Related Sciences",102,76,26,NA,NA,NA,NA
"75",1986,4,"Architecture and Related Services",36,31,5,NA,NA,NA,NA
"76",1986,26,"Biological and Biomedical Sciences",112,63,49,NA,NA,NA,NA
"77",1986,52,"Business- Management- Marketing- and Related Support Services",935,537,398,NA,NA,NA,NA
"78",1986,52,"Business- Management- Marketing- and Related Support Services",24,0,24,NA,NA,NA,NA
"79",1986,9,"Communication- Journalism- and Related Programs",147,55,92,NA,NA,NA,NA
"80",1986,11,"Computer and Information Sciences and Support Services",75,54,21,NA,NA,NA,NA
"81",1986,13,"Education",385,120,265,NA,NA,NA,NA
"82",1986,15,"Engineering Technologies and Engineering-related Fields",262,253,9,NA,NA,NA,NA
"83",1986,14,"Engineering",350,316,34,NA,NA,NA,NA
"84",1986,23,"English language and literature/letters.",50,19,31,NA,NA,NA,NA
"85",1986,16,"Foreign Languages- Literatures- and Linguistics",15,2,13,NA,NA,NA,NA
"86",1986,19,"Family and Consumer Sciences/Human Sciences",142,10,132,NA,NA,NA,NA
"87",1986,24,"Liberal arts and sciences- general studies and humanities.",7,7,0,NA,NA,NA,NA
"88",1986,27,"Mathematics and Statistics",17,8,9,NA,NA,NA,NA
"89",1986,30,"Multi/Interdisciplinary Studies",3,1,2,NA,NA,NA,NA
"90",1986,3,"Natural Resources and Conservation",10,8,2,NA,NA,NA,NA
"91",1986,31,"Parks- Recreation- Leisure and Fitness Studies",21,4,17,NA,NA,NA,NA
"92",1986,38,"Philosophy and Religious Studies",5,5,0,NA,NA,NA,NA
"93",1986,40,"Physical Sciences",45,35,10,NA,NA,NA,NA
"94",1986,42,"Psychology",61,17,44,NA,NA,NA,NA
"95",1986,45,"Social Sciences and History",157,73,84,NA,NA,NA,NA
"96",1986,50,"Visual and performing arts.",35,13,22,NA,NA,NA,NA
"97",1987,2,"Agricultural Sciences",125,90,35,87,32,0,0
"98",1987,18,"Health Sciences",21,3,18,3,18,0,0
"99",1987,1,"Agriculture- Agriculture Operations and Related Sciences",83,65,18,62,17,0,0
"100",1987,4,"Architecture and Related Services",9,6,3,6,3,0,0
"101",1987,26,"Biological and Biomedical Sciences",109,61,48,54,41,0,1
"102",1987,52,"Business- Management- Marketing- and Related Support Services",922,510,412,450,351,9,17
"103",1987,52,"Business- Management- Marketing- and Related Support Services",11,0,11,0,11,0,0
"104",1987,9,"Communication- Journalism- and Related Programs",169,83,86,80,80,0,4
"105",1987,11,"Computer and Information Sciences and Support Services",137,88,49,59,30,2,1
"106",1987,13,"Education",386,119,267,110,260,1,2
"107",1987,15,"Engineering Technologies and Engineering-related Fields",227,222,5,194,2,4,0
"108",1987,14,"Engineering",340,291,49,159,36,1,1
"109",1987,23,"English language and literature/letters.",42,16,26,16,24,0,0
"110",1987,16,"Foreign Languages- Literatures- and Linguistics",17,3,14,3,14,0,0
"111",1987,19,"Family and Consumer Sciences/Human Sciences",163,12,151,10,141,1,1
"112",1987,24,"Liberal arts and sciences- general studies and humanities.",10,8,2,7,2,0,0
"113",1987,27,"Mathematics and Statistics",25,14,11,12,8,1,0
"114",1987,3,"Natural Resources and Conservation",13,11,2,8,2,0,0
"115",1987,31,"Parks- Recreation- Leisure and Fitness Studies",32,14,18,12,16,1,1
"116",1987,38,"Philosophy and Religious Studies",6,4,2,3,2,0,0
"117",1987,40,"Physical Sciences",36,31,5,29,4,0,0
"118",1987,42,"Psychology",72,29,43,27,40,0,2
"119",1987,45,"Social Sciences and History",153,73,80,64,75,2,1
"120",1987,50,"Visual and performing arts.",29,10,19,10,19,0,0
"121",1988,2,"Agricultural Sciences",115,96,19,NA,NA,NA,NA
"122",1988,18,"Health Sciences",16,3,13,NA,NA,NA,NA
"123",1988,1,"Agriculture- Agriculture Operations and Related Sciences",85,62,23,NA,NA,NA,NA
"124",1988,4,"Architecture and Related Services",13,8,5,NA,NA,NA,NA
"125",1988,26,"Biological and Biomedical Sciences",97,59,38,NA,NA,NA,NA
"126",1988,52,"Business- Management- Marketing- and Related Support Services",12,0,12,NA,NA,NA,NA
"127",1988,52,"Business- Management- Marketing- and Related Support Services",850,503,347,NA,NA,NA,NA
"128",1988,9,"Communication- Journalism- and Related Programs",135,61,74,NA,NA,NA,NA
"129",1988,11,"Computer and Information Sciences and Support Services",118,74,44,NA,NA,NA,NA
"130",1988,13,"Education",313,107,206,NA,NA,NA,NA
"131",1988,15,"Engineering Technologies and Engineering-related Fields",173,161,12,NA,NA,NA,NA
"132",1988,14,"Engineering",292,264,28,NA,NA,NA,NA
"133",1988,23,"English language and literature/letters.",39,11,28,NA,NA,NA,NA
"134",1988,16,"Foreign Languages- Literatures- and Linguistics",10,0,10,NA,NA,NA,NA
"135",1988,19,"Family and Consumer Sciences/Human Sciences",111,1,110,NA,NA,NA,NA
"136",1988,24,"Liberal arts and sciences- general studies and humanities.",9,8,1,NA,NA,NA,NA
"137",1988,27,"Mathematics and Statistics",18,10,8,NA,NA,NA,NA
"138",1988,29,"Military technologies.",2,2,0,NA,NA,NA,NA
"139",1988,3,"Natural Resources and Conservation",10,8,2,NA,NA,NA,NA
"140",1988,31,"Parks- Recreation- Leisure and Fitness Studies",25,10,15,NA,NA,NA,NA
"141",1988,38,"Philosophy and Religious Studies",4,2,2,NA,NA,NA,NA
"142",1988,40,"Physical Sciences",25,22,3,NA,NA,NA,NA
"143",1988,42,"Psychology",62,20,42,NA,NA,NA,NA
"144",1988,45,"Social Sciences and History",147,70,77,NA,NA,NA,NA
"145",1988,50,"Visual and performing arts.",32,11,21,NA,NA,NA,NA
"146",1999,2,"Agricultural Sciences",98,71,27,65,25,0,0
"147",1999,8,"Marketing and Distribution",204,111,93,100,81,2,2
"148",1999,18,"Health Sciences",36,10,26,10,26,0,0
"149",1999,1,"Agriculture- Agriculture Operations and Related Sciences",87,70,17,64,16,1,0
"150",1999,4,"Architecture and Related Services",53,42,11,33,10,0,0
"151",1999,26,"Biological and Biomedical Sciences",82,51,31,47,28,1,2
"152",1999,52,"Business- Management- Marketing- and Related Support Services",13,1,12,1,11,0,0
"153",1999,52,"Business- Management- Marketing- and Related Support Services",750,428,322,355,271,1,4
"154",1999,9,"Communication- Journalism- and Related Programs",97,36,61,35,57,0,1
"155",1999,10,"Communications Technologies/Technicians and Support Services",42,27,15,25,13,1,2
"156",1999,11,"Computer and Information Sciences and Support Services",36,27,9,14,7,0,0
"157",1999,13,"Education",332,103,229,98,216,2,5
"158",1999,15,"Engineering Technologies and Engineering-related Fields",128,123,5,102,3,0,1
"159",1999,14,"Engineering",314,289,25,158,17,2,2
"160",1999,23,"English language and literature/letters.",51,20,31,19,31,1,0
"161",1999,16,"Foreign Languages- Literatures- and Linguistics",10,2,8,2,6,0,0
"162",1999,19,"Family and Consumer Sciences/Human Sciences",163,10,153,10,148,0,1
"163",1999,24,"Liberal arts and sciences- general studies and humanities.",15,13,2,12,2,0,0
"164",1999,27,"Mathematics and Statistics",26,16,10,13,7,0,1
"165",1999,28,"Military Services",2,2,0,1,0,0,0
"166",1999,3,"Natural Resources and Conservation",11,10,1,9,1,0,0
"167",1999,31,"Parks- Recreation- Leisure and Fitness Studies",19,4,15,4,15,0,0
"168",1999,38,"Philosophy and Religious Studies",1,1,0,1,0,0,0
"169",1999,40,"Physical Sciences",17,12,5,11,5,0,0
"170",1999,42,"Psychology",82,29,53,29,51,0,0
"171",1999,43,"Homeland Security- Law Enforcement- Firefighting- and Related Protective Service",15,12,3,11,3,0,0
"172",1999,45,"Social Sciences and History",159,76,83,72,78,3,3
"173",1999,39,"Theology and religious vocations.",1,0,1,0,1,0,0
"174",1999,50,"Visual and performing arts.",28,17,11,16,11,0,0
"175",1990,2,"Agricultural Sciences",138,96,42,88,42,0,0
"176",1990,18,"Health Sciences",30,0,30,0,29,0,0
"177",1990,1,"Agriculture- Agriculture Operations and Related Sciences",87,61,26,57,25,0,0
"178",1990,4,"Architecture and Related Services",45,38,7,26,3,0,0
"179",1990,26,"Biological and Biomedical Sciences",93,52,41,46,33,0,1
"180",1990,52,"Business- Management- Marketing- and Related Support Services",916,525,391,451,340,7,9
"181",1990,52,"Business- Management- Marketing- and Related Support Services",8,0,8,0,8,0,0
"182",1990,9,"Communication- Journalism- and Related Programs",122,60,62,59,60,0,0
"183",1990,11,"Computer and Information Sciences and Support Services",33,25,8,18,2,2,0
"184",1990,13,"Education",353,101,252,98,242,1,1
"185",1990,15,"Engineering Technologies and Engineering-related Fields",157,150,7,116,6,5,1
"186",1990,14,"Engineering",244,217,27,144,15,4,5
"187",1990,23,"English language and literature/letters.",65,17,48,16,45,0,2
"188",1990,16,"Foreign Languages- Literatures- and Linguistics",13,2,11,2,10,0,0
"189",1990,51,"Health Professions and Related Programs",1,0,1,0,1,0,0
"190",1990,19,"Family and Consumer Sciences/Human Sciences",133,11,122,11,111,0,2
"191",1990,24,"Liberal arts and sciences- general studies and humanities.",12,8,4,6,3,0,0
"192",1990,27,"Mathematics and Statistics",23,10,13,5,13,1,0
"193",1990,29,"Military technologies.",1,1,0,1,0,0,0
"194",1990,3,"Natural Resources and Conservation",11,11,0,11,0,0,0
