"","year","total","males","females","males_white","females_white","males_black","females_black","females_other","males_other"
"1",1980,2993,1735,1258,NA,NA,NA,NA,NA,NA
"2",1984,2920,1701,1219,NA,NA,NA,NA,NA,NA
"3",1985,3271,1962,1309,1627,1187,42,30,92,293
"4",1986,3185,1831,1354,NA,NA,NA,NA,NA,NA
"5",1987,3137,1763,1374,1465,1228,22,31,115,276
"6",1988,2713,1573,1140,NA,NA,NA,NA,NA,NA
"7",1999,2872,1613,1259,1317,1140,14,24,95,282
"8",1990,2792,1539,1253,1300,1127,22,23,103,217
"9",1991,2665,1443,1222,1235,1088,27,24,110,181
"10",1992,2692,1360,1332,1153,1205,27,23,104,180
"11",1993,2631,1372,1259,1185,1112,28,30,117,159
"12",1994,2762,1437,1325,1191,1150,24,30,145,222
"13",1995,2560,1377,1183,1099,995,27,22,166,251
"14",1996,2303,1231,1072,955,883,16,14,175,260
"15",1997,2760,1461,1299,1053,1030,27,23,246,381
"16",1998,2623,1418,1205,1068,968,20,22,215,330
"17",1999,4905,2628,2277,2010,1814,39,26,437,579
"18",2000,2836,1476,1360,1147,1115,19,28,217,310
"19",2001,2978,1540,1438,1186,1160,34,44,234,320
"20",2002,3001,1540,1461,1217,1202,36,27,232,287
"21",2003,3223,1662,1561,1327,1302,45,34,225,290
"22",2004,3388,1681,1707,1347,1377,37,58,272,297
"23",2005,3549,1738,1811,1394,1435,37,63,313,307
"24",2006,3698,1869,1829,1472,1448,60,71,310,337
"25",2007,3712,1854,1858,1481,1515,57,50,293,316
"26",2008,3819,1881,1938,1523,1536,51,61,341,307
"27",2009,3833,1945,1888,1552,1487,67,70,331,326
"28",2010,3787,1868,1919,1485,1573,58,62,284,325
"29",2011,3655,1891,1764,1424,1403,69,56,305,398
"30",2012,3781,1874,1907,1427,1469,59,64,374,388
