"","Season","Revenue","Expense","Athletes","Profit","Profit_per_Player","Revenue_per_Player","Expense_per_Player"
"1",2000,1418231870,944927030,71392,473304840,6629.66214701927,19865.4172736441,13235.7551266248
"2",2001,1526336400,1054378780,74415,471957620,6342.2377208896,20511.1388832897,14168.9011624001
"3",2002,1782469300,1177189050,75098,605280250,8059.87176755706,23735.2432821114,15675.3715145543
"4",2003,1892467390,1279354060,76437,613113330,8021.15899368107,24758.5251906799,16737.3661969988
"5",2004,1998991000,1376630570,77373,622360430,8043.63834929497,25835.7695837049,17792.1312344099
"6",2005,2263243730,1577532630,80408,685711100,8527.89647796239,28146.9969406029,19619.1004626405
"7",2006,2534968340,1770614810,81503,764353530,9378.22570948308,31102.7611253573,21724.5354158743
"8",2007,2859626170,1907048650,82887,952577520,11492.4839842195,34500.2976341284,23007.8136499089
"9",2008,3044133050,2083244160,84298,960888890,11398.7151533844,36111.5690763719,24712.8539229875
"10",2009,3260788140,2157815560,86540,1102972580,12745.2343425006,37679.548648024,24934.3143055235
"11",2010,3441671810,2302395240,87416,1139276570,13032.8151596962,39371.1884552027,26338.3732955065
"12",2011,3753278720,2521478130,89102,1231800590,13824.6121299185,42123.3947610604,28298.7826311418
