"","University","Season","School_Year","Sport","Revenue_Thousands","Expense_Thousands","Profit_Thousands","Athletes","Revenue_Athlete","Expense_Athlete","Profit_Athlete"
"455","Oklahoma State University-Main Campus",2000,"2000-2001","Football",10513.77,4936.66,5577.11,117,"89861.28","42193.68","47667.61"
"1260","Oklahoma State University-Main Campus",2001,"2001-2002","Football",10703.79,5835.67,4868.12,115,"93076.43","50744.96","42331.48"
"2107","Oklahoma State University-Main Campus",2002,"2002-2003","Football",14430.98,7149.36,7281.62,117,"123341.71","61105.64","62236.07"
"2940","Oklahoma State University-Main Campus",2003,"2003-2004","Football",16670.8,8764.02,7906.79,110,"151552.73","79672.91","71879.91"
"3727","Oklahoma State University-Main Campus",2004,"2004-2005","Football",18935.01,8625.01,10310.01,113,"167566.46","76327.52","91239.03"
"4626","Oklahoma State University-Main Campus",2005,"2005-2006","Football",16917.94,8136.25,8781.68,108,"156647.59","75335.65","81311.85"
"5479","Oklahoma State University-Main Campus",2006,"2006-2007","Football",20412.79,9879.7,10533.09,105,"194407.52","94092.38","100315.14"
"6343","Oklahoma State University-Main Campus",2007,"2007-2008","Football",23106.52,15473.82,7632.7,118,"195817.97","131134.07","64683.90"
"7212","Oklahoma State University-Main Campus",2008,"2008-2009","Football",26536.63,12498.6,14038.03,133,"199523.53","93974.44","105549.10"
"8086","Oklahoma State University-Main Campus",2009,"2009-2010","Football",32787.5,15479.41,17308.09,122,"268750.00","126880.41","141869.59"
"8953","Oklahoma State University-Main Campus",2010,"2010-2011","Football",33213.4,13787.27,19426.13,135,"246025.19","102127.93","143897.26"
"9835","Oklahoma State University-Main Campus",2011,"2011-2012","Football",41138.31,26238.17,14900.14,135,"304728.22","194356.81","110371.41"
