team,wiki_url,colors,city,state.abb,country,name,team_id,wiki_url,logo_image_url,dbpedia_url,dbpedia_data_json,sports_reference_URL,league
Dallas Cowboys,wikipedia.org/wiki/Dallas_Cowboys,"Royal Blue, Silver, Metallic Silver Blue, Navy, and White",Arlington,TX,US,Cowboys,DAL,wikipedia.org/wiki/Dallas_Cowboys,http://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Dallas_Cowboys.svg/200px-Dallas_Cowboys.svg.png,live.dbpedia.org/resource/Dallas_Cowboys,live.dbpedia.org/page/Dallas_Cowboys.json,http://www.pro-football-reference.com/teams/dal/,NFL
New England Patriots,wikipedia.org/wiki/New_England_Patriots,"Nautical Blue, New Century Silver, Red, White",Foxborough,MA,US,Patriots,NEW,wikipedia.org/wiki/New_England_Patriots,http://upload.wikimedia.org/wikipedia/en/thumb/b/b9/New_England_Patriots_logo.svg/200px-New_England_Patriots_logo.svg.png,live.dbpedia.org/resource/New_England_Patriots,live.dbpedia.org/page/New_England_Patriots.json,http://www.pro-football-reference.com/teams/new/,NFL
Washington Redskins,wikipedia.org/wiki/Washington_Redskins,"Burgundy, Gold, White",Landover,MD,US,Redskins,WAS,wikipedia.org/wiki/Washington_Redskins,http://upload.wikimedia.org/wikipedia/en/thumb/6/63/Washington_Redskins_logo.svg/200px-Washington_Redskins_logo.svg.png,live.dbpedia.org/resource/Washington_Redskins,live.dbpedia.org/page/Washington_Redskins.json,http://www.pro-football-reference.com/teams/was/,NFL
New York Giants,wikipedia.org/wiki/New_York_Giants,"Blue, Red, White, Gray",East Rutherford,NJ,US,Giants,NYG,wikipedia.org/wiki/New_York_Giants,http://upload.wikimedia.org/wikipedia/commons/thumb/6/60/New_York_Giants_logo.svg/200px-New_York_Giants_logo.svg.png,live.dbpedia.org/resource/New_York_Giants,live.dbpedia.org/page/New_York_Giants.json,http://www.pro-football-reference.com/teams/nyg/,NFL
Houston Texans,wikipedia.org/wiki/Houston_Texans,"Deep Steel Blue, Battle Red, Liberty White",Houston,TX,US,Texans,HTX,wikipedia.org/wiki/Houston_Texans,http://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/200px-Houston_Texans_logo.svg.png,live.dbpedia.org/resource/Houston_Texans,live.dbpedia.org/page/Houston_Texans.json,http://www.pro-football-reference.com/teams/htx/,NFL
New York Jets,wikipedia.org/wiki/New_York_Jets,"Hunter Green, White",East Rutherford,NJ,US,Jets,NYJ,wikipedia.org/wiki/New_York_Jets,http://upload.wikimedia.org/wikipedia/en/thumb/6/6b/New_York_Jets_logo.svg/200px-New_York_Jets_logo.svg.png,live.dbpedia.org/resource/New_York_Jets,live.dbpedia.org/page/New_York_Jets.json,http://www.pro-football-reference.com/teams/nyj/,NFL
Philadelphia Eagles,wikipedia.org/wiki/Philadelphia_Eagles,"Midnight Green, Black, Charcoal, Silver, White",Philadelphia,PA,US,Eagles,PHI,wikipedia.org/wiki/Philadelphia_Eagles,http://upload.wikimedia.org/wikipedia/en/thumb/7/7f/Philadelphia_Eagles_primary_logo.svg/200px-Philadelphia_Eagles_primary_logo.svg.png,live.dbpedia.org/resource/Philadelphia_Eagles,live.dbpedia.org/page/Philadelphia_Eagles.json,http://www.pro-football-reference.com/teams/phi/,NFL
Chicago Bears,wikipedia.org/wiki/Chicago_Bears,"Navy Blue, Burnt orange, White",Chicago,IL,US,Bears,CHI,wikipedia.org/wiki/Chicago_Bears,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Chicago_Bears_logo.svg/200px-Chicago_Bears_logo.svg.png,live.dbpedia.org/resource/Chicago_Bears,live.dbpedia.org/page/Chicago_Bears.json,http://www.pro-football-reference.com/teams/chi/,NFL
Baltimore Ravens,wikipedia.org/wiki/Baltimore_Ravens,"Purple, Black, Metallic Gold, White",Baltimore,MD,US,Ravens,RAV,wikipedia.org/wiki/Baltimore_Ravens,http://upload.wikimedia.org/wikipedia/en/thumb/1/16/Baltimore_Ravens_logo.svg/100px-Baltimore_Ravens_logo.svg.png,live.dbpedia.org/resource/Baltimore_Ravens,live.dbpedia.org/page/Baltimore_Ravens.json,http://www.pro-football-reference.com/teams/rav/,NFL
San Francisco 49ers,wikipedia.org/wiki/San_Francisco_49ers,"Red, Gold",San Francisco,CA,US,49ers,SFO,wikipedia.org/wiki/San_Francisco_49ers,http://upload.wikimedia.org/wikipedia/commons/thumb/8/83/49ers_Logo.svg/200px-49ers_Logo.svg.png,live.dbpedia.org/resource/San_Francisco_49ers,live.dbpedia.org/page/San_Francisco_49ers.json,http://www.pro-football-reference.com/teams/sfo/,NFL
Indianapolis Colts,wikipedia.org/wiki/Indianapolis_Colts,"Speed Blue, White",Indianapolis,IN,US,Colts,CLT,wikipedia.org/wiki/Indianapolis_Colts,http://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/200px-Indianapolis_Colts_logo.svg.png,live.dbpedia.org/resource/Indianapolis_Colts,live.dbpedia.org/page/Indianapolis_Colts.json,http://www.pro-football-reference.com/teams/clt/,NFL
Green Bay Packers,wikipedia.org/wiki/Green_Bay_Packers,Dark Green & Gold,Green Bay,WI,US,Packers,GNB,wikipedia.org/wiki/Green_Bay_Packers,http://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png,live.dbpedia.org/resource/Green_Bay_Packers,live.dbpedia.org/page/Green_Bay_Packers.json,http://www.pro-football-reference.com/teams/gnb/,NFL
Denver Broncos,wikipedia.org/wiki/Denver_Broncos,"Orange, Navy, White",Denver,CO,US,Broncos,DEN,wikipedia.org/wiki/Denver_Broncos,http://upload.wikimedia.org/wikipedia/en/thumb/4/44/Denver_Broncos_logo.svg/200px-Denver_Broncos_logo.svg.png,live.dbpedia.org/resource/Denver_Broncos,live.dbpedia.org/page/Denver_Broncos.json,http://www.pro-football-reference.com/teams/den/,NFL
Pittsburgh Steelers,wikipedia.org/wiki/Pittsburgh_Steelers,"Black, gold, white",Pittsburgh,PA,US,Steelers,PIT,wikipedia.org/wiki/Pittsburgh_Steelers,http://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pittsburgh_Steelers_logo.svg/200px-Pittsburgh_Steelers_logo.svg.png,live.dbpedia.org/resource/Pittsburgh_Steelers,live.dbpedia.org/page/Pittsburgh_Steelers.json,http://www.pro-football-reference.com/teams/pit/,NFL
Seattle Seahawks,wikipedia.org/wiki/Seattle_Seahawks,"College Navy, Action Green, Wolf Grey, White",Seattle,WA,US,Seahawks,SEA,wikipedia.org/wiki/Seattle_Seahawks,http://upload.wikimedia.org/wikipedia/en/thumb/2/22/Seattle_Seahawks_Vector_Logo.svg/200px-Seattle_Seahawks_Vector_Logo.svg.png,live.dbpedia.org/resource/Seattle_Seahawks,live.dbpedia.org/page/Seattle_Seahawks.json,http://www.pro-football-reference.com/teams/sea/,NFL
Miami Dolphins,wikipedia.org/wiki/Miami_Dolphins,"Aqua, Orange, White, Navy",Miami Gardens,FL,US,Dolphins,MIA,wikipedia.org/wiki/Miami_Dolphins,http://upload.wikimedia.org/wikipedia/en/thumb/8/81/Miami_Dolphins_2013_Logo.svg/200px-Miami_Dolphins_2013_Logo.svg.png,live.dbpedia.org/resource/Miami_Dolphins,live.dbpedia.org/page/Miami_Dolphins.json,http://www.pro-football-reference.com/teams/mia/,NFL
Tampa Bay Buccaneers,wikipedia.org/wiki/Tampa_Bay_Buccaneers,"Red, Pewter, Black, White, Florida Orange ",Tampa,FL,US,Buccaneers,TAM,wikipedia.org/wiki/Tampa_Bay_Buccaneers,http://upload.wikimedia.org/wikipedia/en/thumb/a/a2/Tampa_Bay_Buccaneers_logo.svg/200px-Tampa_Bay_Buccaneers_logo.svg.png,live.dbpedia.org/resource/Tampa_Bay_Buccaneers,live.dbpedia.org/page/Tampa_Bay_Buccaneers.json,http://www.pro-football-reference.com/teams/tam/,NFL
Carolina Panthers,wikipedia.org/wiki/Carolina_Panthers,"Black, Blue, Silver",Charlotte,NC,US,Panthers,CAR,wikipedia.org/wiki/Carolina_Panthers,http://upload.wikimedia.org/wikipedia/en/thumb/7/7a/Carolina_Panthers_logo_2012.svg/200px-Carolina_Panthers_logo_2012.svg.png,live.dbpedia.org/resource/Carolina_Panthers,live.dbpedia.org/page/Carolina_Panthers.json,http://www.pro-football-reference.com/teams/car/,NFL
Tennessee Titans,wikipedia.org/wiki/Tennessee_Titans,"Titans Blue, Navy, Red, White and Silver",Nashville,TN,US,Titans,OTI,wikipedia.org/wiki/Tennessee_Titans,http://upload.wikimedia.org/wikipedia/en/thumb/c/c1/Tennessee_Titans_logo.svg/200px-Tennessee_Titans_logo.svg.png,live.dbpedia.org/resource/Tennessee_Titans,live.dbpedia.org/page/Tennessee_Titans.json,http://www.pro-football-reference.com/teams/oti/,NFL
Kansas City Chiefs,wikipedia.org/wiki/Kansas_City_Chiefs,"Red, Gold",Kansas City,MO,US,Chiefs,KAN,wikipedia.org/wiki/Kansas_City_Chiefs,http://upload.wikimedia.org/wikipedia/en/thumb/e/e1/Kansas_City_Chiefs_logo.svg/200px-Kansas_City_Chiefs_logo.svg.png,live.dbpedia.org/resource/Kansas_City_Chiefs,live.dbpedia.org/page/Kansas_City_Chiefs.json,http://www.pro-football-reference.com/teams/kan/,NFL
Minnesota Vikings,wikipedia.org/wiki/Minnesota_Vikings,"Purple, Gold, White",Minneapolis,MN,US,Vikings,MIN,wikipedia.org/wiki/Minnesota_Vikings,http://upload.wikimedia.org/wikipedia/en/b/b0/Minnesota_Vikings_Logo_2013.png,live.dbpedia.org/resource/Minnesota_Vikings,live.dbpedia.org/page/Minnesota_Vikings.json,http://www.pro-football-reference.com/teams/min/,NFL
Cleveland Browns,wikipedia.org/wiki/Cleveland_Browns,"Seal Brown, Burnt Orange, White",Cleveland,OH,US,Browns,CLE,wikipedia.org/wiki/Cleveland_Browns,http://upload.wikimedia.org/wikipedia/en/thumb/e/ee/Cleveland_Browns_logo%2C_2006_to_present.svg/200px-Cleveland_Browns_logo%2C_2006_to_present.svg.png,live.dbpedia.org/resource/Cleveland_Browns,live.dbpedia.org/page/Cleveland_Browns.json,http://www.pro-football-reference.com/teams/cle/,NFL
New Orleans Saints,wikipedia.org/wiki/New_Orleans_Saints,"Black, Old gold, White",New Orleans,LA,US,Saints,NOR,wikipedia.org/wiki/New_Orleans_Saints,http://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/New_Orleans_Saints.svg/200px-New_Orleans_Saints.svg.png,live.dbpedia.org/resource/New_Orleans_Saints,live.dbpedia.org/page/New_Orleans_Saints.json,http://www.pro-football-reference.com/teams/nor/,NFL
