"","actual_name","birthdate_location","college","height","weight","throwing_hand","draft_team","draft_position","draft_year","player","player_sportsref_url"
"1","Adam Joshua Feeley","May 16, 1977 in Caldwell, ID","oregon","6-3","225 lbs.","Right","Philadelphia Eagles","in the 5th round (155th overall) of the","2001 NFL Draft","A.J. Feeley","http://www.pro-football-reference.com/players/F/FeelA.00.htm"
"2","Aaron Lafette Brooks","March 24, 1976 in Newport News, VA","Virginia","6-4","220 lbs.","Right","Green Bay Packers","4th round (131st overall)","1999 NFL Draft","Aaron Brooks","http://www.pro-football-reference.com/players/B/BrooAa00.htm"
"41","Abraham Sonny Karnofsky","September 22, 1922 in Oxnard, CA","Arizona","5-10","175 lbs.",""," ","  ","1946 NFL","Abe Karnofsky","http://www.pro-football-reference.com/players/K/KarnAb20.htm"
"5","Aaron Charles Rodgers","December 2, 1983 in Chico, CA","California","6-2","223 lbs.","Right","Green Bay Packers","by the in the 1st round (24th overall) of the .","2005 NFL Draft","Abe Karnofsky","http://www.pro-football-reference.com/players/R/RodgAa00.htm"
"51","Adam Weber","August 3, 1987"," ","6-3","221 lbs.","Right"," "," "," ","Adam Weber","http://www.pro-football-reference.com/players/W/WebeAd00.htm"
"7","Adrian Owen Breen","January 11, 1965 in New York, NY","Morehead St.","6-4","183 lbs.",""," ","  "," ","Adrian Breen","http://www.pro-football-reference.com/players/B/BreeAd20.htm"
"71","Adrian Mathew Burk","December 14, 1927 in Mexia, TX","Baylor","6-2","190 lbs.","","Baltimore Colts","by the in the 1st round (2nd overall) of the .","1950 NFL Draft","Adrian Burk","http://www.pro-football-reference.com/players/B/BurkAd00.htm"
"8","Kabisa Akili Maradufu Smith","August 21, 1975 in San Diego, CA","Oregon","6-3","220 lbs.","Right","Cincinnati Bengals","by the in the 1st round (3rd overall) of the .","1999 NFL Draft","Akili Smith","http://www.pro-football-reference.com/players/S/SmitAk00.htm"
"9","Albert Richard Dorow Jr.","November 15, 1929 in Imlay City, MI","Michigan St.","6-0","193 lbs.","Right","Washington Redskins","by the in the 3rd round (31st overall) of the .","1952 NFL Draft","Al Dorow","http://www.pro-football-reference.com/players/D/DoroAl00.htm"
"10","Stephen Alvin Johnson","August 15, 1922 in Munday, TX","Hardin-Simmons","6-0","","","Philadelphia Eagles","by the in the 14th round (121st overall) of the .","1947 NFL Draft","Al Johnson","http://www.pro-football-reference.com/players/J/JohnAl20.htm"
"11","Frank Alley Woodall","December 7, 1945 in Erwin, NC","Duke","6-5","205 lbs.","Right","New York Jets","by the in the 2nd round (52nd overall) of the .","1969 NFL Draft","Al Woodall","http://www.pro-football-reference.com/players/W/WoodAl00.htm"
"12","Alan David Risher","May 6, 1961 in New Orleans, LA","LSU","6-2","190 lbs.",""," ","  "," ","Alan Risher","http://www.pro-football-reference.com/players/R/RishAl20.htm"
"13","Alex A. Espinoza","May 31, 1964 in Los Angeles, CA","Cal State-Fullerton","6-1","193 lbs.",""," ",",  "," ","Alex Espinoza","http://www.pro-football-reference.com/players/E/EspiAl21.htm"
"14","Alexander D. Smith","May 7, 1984 in Seattle, WA","Utah","6-4","212 lbs.","Right","San Francisco 49ers","by the in the 1st round (1st overall) of the .","2005 NFL Draft","Alex Smith","http://www.pro-football-reference.com/players/S/SmitAl03.htm"
"15","Alex Tanney","January 1, 1987","Monmouth","6-4","220 lbs.","Right"," ","  "," ","Alex Tanney","http://www.pro-football-reference.com/players/T/TannAl00.htm"
"16","Gregory Alexander Van Pelt","May 1, 1970 in Pittsburgh, PA","Pittsburgh","6-1","220 lbs.","Right","Pittsburgh Steelers","by the in the 8th round (216th overall) of the .","1993 NFL Draft","Alex Van Pelt","http://www.pro-football-reference.com/players/V/VanPAl00.htm"
"17","Alexander Sherman","February 10, 1923 in Brooklyn, NY","Brooklyn","5-11","170 lbs.","Left"," ","  ","1946 NFL","Allie Sherman","http://www.pro-football-reference.com/players/S/SherAl20.htm"
"18","Andre Trevor Ware","July 31, 1968 in Galveston, TX","Houston","6-2","205 lbs.","","Detroit Lions","by the in the 1st round (7th overall) of the .","1990 NFL Draft","Andre Ware","http://www.pro-football-reference.com/players/W/WareAn00.htm"
"19","Andrew Austen Luck","September 12, 1989","Stanford","6-4","234 lbs.","Right","Indianapolis Colts","by the in the 1st round (1st overall) of the .","2012 NFL Draft","Andrew Luck","http://www.pro-football-reference.com/players/L/LuckAn00.htm"
"20","Andrew Scott Walter","May 11, 1982 in Phoenix, AZ","Arizona St.","6-6","230 lbs.","Right","Oakland Raiders","by the in the 3rd round (69th overall) of the .","2005 NFL Draft","Andrew Walter","http://www.pro-football-reference.com/players/W/WaltAn00.htm"
"21","Andy Dalton","October 29, 1987","TCU","6-2","215 lbs.","Right","Cincinnati Bengals","by the in the 2nd round (35th overall) of the .","2011 NFL Draft","Andy Dalton","http://www.pro-football-reference.com/players/D/DaltAn00.htm"
"22","Andrew Steven Hall","November 26, 1980 in Cheraw, SC","Georgia Tech","6-3","218 lbs.","","Philadelphia Eagles","by the in the 6th round (185th overall) of the .","2004 NFL Draft","Andy Hall","http://www.pro-football-reference.com/players/H/HallAn00.htm"
"23","Angelo Bortolo Bertelli","June 18, 1921 in West Springfield, MA","Notre Dame","6-1","190 lbs.","Right","Boston Yanks","by the in the 1st round (1st overall) of the .","1944 NFL Draft","Angelo Bertelli","http://www.pro-football-reference.com/players/B/BertAn20.htm"
"24","Anthony Hume Dilweg","March 28, 1965 in Washington, DC","Duke","6-3","215 lbs.","Right","Green Bay Packers","by the in the 3rd round (74th overall) of the .","1989 NFL Draft","Anthony Dilweg","http://www.pro-football-reference.com/players/D/DilwAn00.htm"
"25","Anthony Lavron Wright","February 14, 1976 in Vanceboro, NC","South Carolina","6-1","211 lbs.","Right"," ","  ","2001 NFL","Anthony Wright","http://www.pro-football-reference.com/players/W/WrigAn00.htm"
"26","Anton James Stolfa","September 6, 1917 in Cicero, IL","Luther","6-0","195 lbs.","","Chicago Bears","by the in the 14th round (126th overall) of the .","1939 NFL Draft","Anton Stolfa","http://www.pro-football-reference.com/players/S/StolAn20.htm"
"27","Elisha Archie Manning III","May 19, 1949 in Cleveland, MS","Mississippi","6-3","212 lbs.","Right","New Orleans Saints","by the in the 1st round (2nd overall) of the .","1971 NFL Draft","Archie Manning","http://www.pro-football-reference.com/players/M/MannAr00.htm"
"28","Arthur James Roberts Jr.","November 4, 1942 in Holyoke, MA","Columbia","6-0","190 lbs.","","New York Jets","by the in the 7th round (51st overall) of the .","1965 AFL Draft","Archie Roberts","http://www.pro-football-reference.com/players/R/RobeAr00.htm"
"29","Armanti Fredrico Edwards","March 8, 1988 in Greenwood, SC","Appalachian St.","5-11","191 lbs.","","Carolina Panthers","by the in the 3rd round (89th overall) of the .","2010 NFL Draft","Armanti Edwards","http://www.pro-football-reference.com/players/E/EdwaAr00.htm"
"30","Arnold Anthony Galiffa","January 29, 1927 in Donora, PA","Army","6-2","193 lbs.","","Green Bay Packers","by the in the 18th round (225th overall) of the .","1950 NFL Draft","Arnie Galiffa","http://www.pro-football-reference.com/players/G/GaliAr20.htm"
"31","Arthur Ernest Schlichter","April 25, 1960 in Washington Court House, OH","Ohio St.","6-3","210 lbs.","Right","Baltimore Colts","by the in the 1st round (4th overall) of the .","1982 NFL Draft","Art Schlichter","http://www.pro-football-reference.com/players/S/SchlAr00.htm"
"32","Austin Davis","June 2, 1989","Southern Miss","6-2","221 lbs.","Right"," "," ( )"," ","Austin Davis","http://www.pro-football-reference.com/players/D/DaviAu00.htm"
"33","B.J. Coleman","September 16, 1988","Tenn-Chattanooga","6-3","233 lbs.","Right","Green Bay Packers","by the in the 7th round (243rd overall) of the .","2012 NFL Draft","B.J. Coleman","http://www.pro-football-reference.com/players/C/ColeB.00.htm"
"34","B.J. Daniels","October 24, 1989","South Florida","","","","San Francisco 49ers","by the in the 7th round (237th overall) of the .","2013 NFL Draft","B.J. Daniels","http://www.pro-football-reference.com/players/D/DaniB.00.htm"
"35","Brandon Hugh Laufenberg","December 5, 1959 in Burbank, CA","Stanford","6-2","198 lbs.","Right","Washington Redskins","by the in the 6th round (168th overall) of the .","1983 NFL Draft","Babe Laufenberg","http://www.pro-football-reference.com/players/L/LaufBa00.htm"
"36","Vito Parilli","May 7, 1930 in Rochester, PA","Kentucky","6-1","196 lbs.","Right","Green Bay Packers","by the in the 1st round (4th overall) of the .","1952 NFL Draft","Babe Parilli","http://www.pro-football-reference.com/players/P/PariBa00.htm"
"37","Bryan Bartlett Starr","January 9, 1934 in Montgomery, AL","Alabama","6-1","197 lbs.","Right","Green Bay Packers","by the in the 17th round (200th overall) of the .","1956 NFL Draft","Bart Starr","http://www.pro-football-reference.com/players/S/StarBa00.htm"
"38","Allen Beverly Bennett II","May 5, 1962 in Greensboro, NC","Duke","6-1","200 lbs.","","Atlanta Falcons","by the in the 6th round (148th overall) of the .","1984 NFL Draft","Ben Bennett","http://www.pro-football-reference.com/players/B/BennBe20.htm"
"39","Benjamin Todd Roethlisberger","March 2, 1982 in Findlay, OH","Miami (OH)","6-5","240 lbs.","Right","Pittsburgh Steelers","by the in the 1st round (11th overall) of the .","2004 NFL Draft","Ben Roethlisberger","http://www.pro-football-reference.com/players/R/RoetBe00.htm"
"40","Benjamin Franklin Dial","May 21, 1943 in Memphis, TN","East. New Mexico","6-1","185 lbs.","","Pittsburgh Steelers","by the in the 13th round (188th overall) of the .","1966 NFL Draft","Benjy Dial","http://www.pro-football-reference.com/players/D/DialBe00.htm"
"411","Bennett Coe Russell","May 12, 1944 in Brewton, AL","Louisville","6-1","190 lbs.","","St. Louis Cardinals","by the in the 17th round (252nd overall) of the .","1966 NFL Draft","Benny Russell","http://www.pro-football-reference.com/players/R/RussBe00.htm"
"42","Bernard Darwin Quarles","January 4, 1960 in Los Angeles, CA","UCLA","6-2","215 lbs.",""," ",",  "," ","Bernard Quarles","http://www.pro-football-reference.com/players/Q/QuarBe20.htm"
"43","Bernie Joseph Kosar Jr.","November 25, 1963 in Boardman, OH","Miami (FL)","6-5","210 lbs.","Right","Cleveland Browns","by the in the 1st round (1st overall) of the .","1985 NFL Supplemental Draft","Bernie Kosar","http://www.pro-football-reference.com/players/K/KosaBe00.htm"
"44","Bernard Michael Lee","October 25, 1912 in Broughton, PA","Villanova","5-11","190 lbs.",""," ","  "," ","Bernie Lee","http://www.pro-football-reference.com/players/L/LeexBe20.htm"
"45","Bernard Edward Masterson","August 10, 1911 in Shenandoah, IA","Nebraska","6-3","195 lbs.","Right"," ","  ","1940","Bernie Masterson","http://www.pro-football-reference.com/players/M/MastBe20.htm"
"46","Bertram Hays Jones","September 7, 1951 in Ruston, LA","LSU","6-3","210 lbs.","Right","Baltimore Colts","by the in the 1st round (2nd overall) of the .","1973 NFL Draft","Bert Jones","http://www.pro-football-reference.com/players/J/JoneBe00.htm"
"47","Beverly William Wallace","March 7, 1923","Compton CC (CA)","6-2","180 lbs.",""," ","  "," ","Bev Wallace","http://www.pro-football-reference.com/players/W/WallBe20.htm"
