"","player_sportsref_url","player","location","actual_name","birthdate_location","college","height","height_inches","weight","throwing_hand","draft_team","draft_round","draft_pick","draft_year","birthdate","birth_city","birth_state","birth_country","longitude","latitude"
"1","http://www.pro-football-reference.com/players/A/AdamTo00.htm","Tony Adams","San Antonio, TX","Anthony Lee Adams","March 9, 1950 in San Antonio, TX","Texas","6'0''",72,198,"","San Diego Chargers",14,343,1973,"9-Mar-50","San Antonio","TX","USA",-98.4936282,29.4241219
"2","http://www.pro-football-reference.com/players/A/AdkiSa00.htm","Sam Adkins","Van Nuys, CA","Samuel Alan Adkins","May 21, 1955 in Van Nuys, CA","Wichita St.","6'2''",74,214,"","Seattle Seahawks",10,254,1977,"21-May-55","Van Nuys","CA","USA",-118.451357,34.1898566
"3","http://www.pro-football-reference.com/players/A/AikmTr00.htm","Troy Aikman","West Covina, CA","Troy Kenneth Aikman","November 21, 1966 in West Covina, CA","Oklahoma","6'4''",76,219,"Right","Dallas Cowboys",1,1,1989,"21-Nov-66","West Covina","CA","USA",-117.9389526,34.0686208
"4","http://www.pro-football-reference.com/players/A/AlbeFr00.htm","Frankie Albert","Chicago, IL","Frank Cullen Albert","January 27, 1920 in Chicago, IL","Stanford","5'10''",70,166,"Left","Chicago Bears",1,10,1942,"27-Jan-20","Chicago","IL","USA",-87.6297982,41.8781136
"5","http://www.pro-football-reference.com/players/A/AllaDo20.htm","Don Allard",NA,"Donald J. Allard","21-Apr-36","Boston Col.","6'1''",73,188,"","Washington Redskins",1,4,1959,"21-Apr-36",NA,NA,"",NA,NA
"6","http://www.pro-football-reference.com/players/A/AlleEr20.htm","Ermal Allen","Kyles Ford, TN","Ermal Glen Allen","December 25, 1918 in Kyles Ford, TN","Kentucky","5'11''",71,165,"","Chicago Cardinals",3,18,1947,"25-Dec-18","Kyles Ford","TN","USA",-83.0432239,36.5709244
"7","http://www.pro-football-reference.com/players/A/AndeBi21.htm","Billy Guy Anderson","Palme, TX","Billie Guy Anderson","February 17, 1941 in Palme, TX","Tulsa","6'1''",73,195,"","Los Angeles Rams",19,261,1965,"17-Feb-41","Palme","TX","USA",-94.9637239,29.3620373
"8","http://www.pro-football-reference.com/players/A/AndeDe00.htm","Derek Anderson","Portland, OR","Derek Matthew Anderson","June 15, 1983 in Portland, OR","Oregon St.","6'6''",78,229,"Right","Baltimore Ravens",6,213,2005,"15-Jun-83","Portland","OR","USA",-122.6762071,45.5234515
"9","http://www.pro-football-reference.com/players/A/AndeKe00.htm","Ken Anderson","Batavia, IL","Kenneth Allan Anderson","February 15, 1949 in Batavia, IL","Augustana (IL)","6'2''",74,212,"Right","Cincinnati Bengals",3,67,1971,"15-Feb-49","Batavia","IL","USA",-88.3125738,41.8500284
"10","http://www.pro-football-reference.com/players/A/ArchDa00.htm","David Archer","Fayetteville, NC","David Mark Archer","February 15, 1962 in Fayetteville, NC","Snow College (UT)","6'2''",74,207,"Right"," ",NA,NA,1985,"15-Feb-62","Fayetteville","NC","USA",-78.8783585,35.0526641
"11","http://www.pro-football-reference.com/players/A/ArriRi00.htm","Rick Arrington","Charlotte, NC","Richard Cameron Arrington","February 26, 1947 in Charlotte, NC","Georgia","6'2''",74,200,""," ",NA,NA,NA,"26-Feb-47","Charlotte","NC","USA",-80.8431267,35.2270869
"12","http://www.pro-football-reference.com/players/A/AustKe20.htm","Kent Austin","Natick, MA","Richard Kent Austin","June 25, 1963 in Natick, MA","Mississippi","6'1''",73,195,"","St. Louis Cardinals",12,312,1986,"25-Jun-63","Natick","MA","USA",-71.35,42.2833333
"13","http://www.pro-football-reference.com/players/A/AvelBo00.htm","Bob Avellini","Queens, NY","Robert Hayden Avellini","August 28, 1953 in Queens, NY","Maryland","6'2''",74,208,"Right","Chicago Bears",6,135,1975,"28-Aug-53","Queens","NY","USA",-73.7948516,40.7282239
"14","http://www.pro-football-reference.com/players/B/BadaRi20.htm","Richard Badar","Cleveland, OH","Richard Chester Badar","March 8, 1943 in Cleveland, OH","Indiana","6'1''",73,190,""," ",NA,NA,NA,"8-Mar-43","Cleveland","OH","USA",-81.6954088,41.4994954
"15","http://www.pro-football-reference.com/players/B/BakeEd00.htm","Ed Baker","East Orange, NJ","Edward Everett Baker","May 29, 1948 in East Orange, NJ","Lafayette","6'2''",74,200,""," ",NA,NA,NA,"29-May-48","East Orange","NJ","USA",-74.2048677,40.767323
"16","http://www.pro-football-reference.com/players/B/BakeTe00.htm","Terry Baker","Pine River, MN","Terry Wayne Baker","May 5, 1941 in Pine River, MN","Oregon St.","6'3''",75,200,"Left","Los Angeles Rams",12,90,1963,"5-May-41","Pine River","MN","USA",-94.4041625,46.7180163
"17","http://www.pro-football-reference.com/players/B/BankTo00.htm","Tony Banks","San Diego, CA","Anthony Lamar Banks","April 5, 1973 in San Diego, CA","Michigan St.","6'4''",76,230,"Right","St. Louis Rams",2,42,1996,"5-Apr-73","San Diego","CA","USA",-117.1572551,32.7153292
"18","http://www.pro-football-reference.com/players/B/BarkMa00.htm","Matt  Barkley",NA,"Matt Barkley","8-Sep-90","USC","6'3''",75,227,"","Philadelphia Eagles",4,98,2013,"8-Sep-90",NA,NA,"",NA,NA
