"","player","career","rookie_season","final_season","total_attempts","total_completions","total_passing_yards","total_touchdowns","total_games","total_seasons","player_sports_ref_url","player_sports_ref_gamelog_url"
"53","Brett Favre","1991-2010",1991,2010,10960,6781,77693,552,326,20,"http://www.pro-football-reference.com/players/F/FavrBr00.htm","http://www.pro-football-reference.com/players/F/FavrBr00/gamelog"
"104","Dan Marino","1983-1999",1983,1999,9045,5352,65871,452,260,17,"http://www.pro-football-reference.com/players/M/MariDa00.htm","http://www.pro-football-reference.com/players/M/MariDa00/gamelog"
"345","Peyton Manning","1998-2013",1998,2013,8887,5800,68085,497,252,15,"http://www.pro-football-reference.com/players/M/MannPe00.htm","http://www.pro-football-reference.com/players/M/MannPe00/gamelog"
"243","John Elway","1983-1998",1983,1998,7901,4478,56439,327,256,16,"http://www.pro-football-reference.com/players/E/ElwaJo00.htm","http://www.pro-football-reference.com/players/E/ElwaJo00/gamelog"
"467","Warren Moon","1984-2000",1984,2000,7226,4247,52195,308,218,17,"http://www.pro-football-reference.com/players/M/MoonWa00.htm","http://www.pro-football-reference.com/players/M/MoonWa00/gamelog"
"435","Tom Brady","2000-2013",2000,2013,7185,4545,53011,389,210,14,"http://www.pro-football-reference.com/players/B/BradTo00.htm","http://www.pro-football-reference.com/players/B/BradTo00/gamelog"
"142","Drew Bledsoe","1993-2006",1993,2006,6969,3968,45946,257,201,14,"http://www.pro-football-reference.com/players/B/BledDr00.htm","http://www.pro-football-reference.com/players/B/BledDr00/gamelog"
"464","Vinny Testaverde","1987-2007",1987,2007,6890,3901,47553,281,240,21,"http://www.pro-football-reference.com/players/T/TestVi00.htm","http://www.pro-football-reference.com/players/T/TestVi00/gamelog"
"143","Drew Brees","2001-2013",2001,2013,6863,4510,51571,367,187,13,"http://www.pro-football-reference.com/players/B/BreeDr00.htm","http://www.pro-football-reference.com/players/B/BreeDr00/gamelog"
"159","Fran Tarkenton","1961-1978",1961,1978,6759,3835,48806,353,254,18,"http://www.pro-football-reference.com/players/T/TarkFr00.htm","http://www.pro-football-reference.com/players/T/TarkFr00/gamelog"
"273","Kerry Collins","1995-2011",1995,2011,6502,3628,42478,220,205,17,"http://www.pro-football-reference.com/players/C/CollKe00.htm","http://www.pro-football-reference.com/players/C/CollKe00/gamelog"
"235","Joe Montana","1979-1994",1979,1994,6125,3869,46323,318,200,15,"http://www.pro-football-reference.com/players/M/MontJo01.htm","http://www.pro-football-reference.com/players/M/MontJo01/gamelog"
"137","Donovan McNabb","1999-2011",1999,2011,5930,3501,40859,258,181,13,"http://www.pro-football-reference.com/players/M/McNaDo00.htm","http://www.pro-football-reference.com/players/M/McNaDo00/gamelog"
"103","Dan Fouts","1973-1987",1973,1987,5890,3456,45165,266,187,15,"http://www.pro-football-reference.com/players/F/FoutDa00.htm","http://www.pro-football-reference.com/players/F/FoutDa00/gamelog"
"113","Dave Krieg","1980-1998",1980,1998,5593,3249,40042,272,211,19,"http://www.pro-football-reference.com/players/K/KrieDa00.htm","http://www.pro-football-reference.com/players/K/KrieDa00/gamelog"
"304","Matt Hasselbeck","1999-2013",1999,2013,5427,3268,37295,219,180,15,"http://www.pro-football-reference.com/players/H/HassMa00.htm","http://www.pro-football-reference.com/players/H/HassMa00/gamelog"
"222","Jim Kelly","1986-1996",1986,1996,5324,3196,39330,258,177,11,"http://www.pro-football-reference.com/players/K/KellJi00.htm","http://www.pro-football-reference.com/players/K/KellJi00/gamelog"
"47","Boomer Esiason","1984-1997",1984,1997,5304,3020,38520,251,192,14,"http://www.pro-football-reference.com/players/E/EsiaBo00.htm","http://www.pro-football-reference.com/players/E/EsiaBo00/gamelog"
"455","Troy Aikman","1989-2000",1989,2000,5217,3218,36791,188,181,12,"http://www.pro-football-reference.com/players/A/AikmTr00.htm","http://www.pro-football-reference.com/players/A/AikmTr00/gamelog"
