DBPediaCollege_Name,DBPediaURI_College,DBPediaData_College,Conference,DBPediaURI_Conference,DBPediaData_Conference,Division,DefunctFootball
Abilene Christian University,http://live.dbpedia.org/resource/Abilene_Christian_University,http://live.dbpedia.org/data/Abilene_Christian_University.json,Lone Star Conference,http://live.dbpedia.org/resource/Lone_Star_Conference,http://live.dbpedia.org/data/Lone_Star_Conference.json,Division II,
Adams State University,http://live.dbpedia.org/resource/Adams_State_University,http://live.dbpedia.org/data/Adams_State_University.json,Rocky Mountain Athletic Conference,http://live.dbpedia.org/resource/Rocky_Mountain_Athletic_Conference,http://live.dbpedia.org/data/Rocky_Mountain_Athletic_Conference.json,Division II,
Air Force Academy,http://live.dbpedia.org/resource/Air_Force_Academy_(United_States),http://live.dbpedia.org/data/Air_Force_Academy_(United_States).json,Mountain West Conference,http://live.dbpedia.org/resource/Mountain_West_Conference,http://live.dbpedia.org/data/Mountain_West_Conference.json,Division I,
Alabama Agricultural and Mechanical University,http://live.dbpedia.org/resource/Alabama_Agricultural_and_Mechanical_University,http://live.dbpedia.org/data/Alabama_Agricultural_and_Mechanical_University.json,Southwestern Athletic Conference,http://live.dbpedia.org/resource/Southwestern_Athletic_Conference,http://live.dbpedia.org/data/Southwestern_Athletic_Conference.json,Division I-AA,
Alabama State University,http://live.dbpedia.org/resource/Alabama_State_University,http://live.dbpedia.org/data/Alabama_State_University.json,Southwestern Conference,http://live.dbpedia.org/resource/Southwestern_Conference,http://live.dbpedia.org/data/Southwestern_Conference.json,Division I-AA,
University of Alabama,http://live.dbpedia.org/resource/Alabama_University,http://live.dbpedia.org/data/Alabama_University.json,Southeastern Conference,http://live.dbpedia.org/resource/Southeastern_Conference,http://live.dbpedia.org/data/Southeastern_Conference.json,Division I,
Albany State University,http://live.dbpedia.org/resource/Albany_State_University,http://live.dbpedia.org/data/Albany_State_University.json,Southern Intercollegiate Athletic Conference,http://live.dbpedia.org/resource/Southern_Intercollegiate_Athletic_Conference,http://live.dbpedia.org/data/Southern_Intercollegiate_Athletic_Conference.json,Division II,
Albion College,http://live.dbpedia.org/resource/Albion_College,http://live.dbpedia.org/data/Albion_College.json,Michigan Intercollegiate Athletic Association,http://live.dbpedia.org/resource/Michigan_Intercollegiate_Athletic_Association,http://live.dbpedia.org/data/Michigan_Intercollegiate_Athletic_Association.json,Division III,
Albright College,http://live.dbpedia.org/resource/Albright_College,http://live.dbpedia.org/data/Albright_College.json,Middle Atlantic Conferences,http://live.dbpedia.org/resource/Middle_Atlantic_Conferences,http://live.dbpedia.org/data/Middle_Atlantic_Conferences.json,Division III,
Alcorn State University,http://live.dbpedia.org/resource/Alcorn_State_University,http://live.dbpedia.org/data/Alcorn_State_University.json,Southwestern Conference,http://live.dbpedia.org/resource/Southwestern_Conference,http://live.dbpedia.org/data/Southwestern_Conference.json,Division I-AA,
Alfred State College,http://live.dbpedia.org/resource/Alfred_State_College,http://live.dbpedia.org/data/Alfred_State_College.json,Western New York Athletic Conference,,,Division III,
Allegheny College,http://live.dbpedia.org/resource/Allegheny_College,http://live.dbpedia.org/data/Allegheny_College.json,North Coast Athletic Conference,http://live.dbpedia.org/resource/North_Coast_Athletic_Conference,http://live.dbpedia.org/data/North_Coast_Athletic_Conference.json,Division III,
Allen University,http://live.dbpedia.org/resource/Allen_University__Allen_University__1,http://live.dbpedia.org/data/Allen_University__Allen_University__1.json,Eastern Intercollegiate Athletic Conference,,,NAIA,
Alliant International University,http://live.dbpedia.org/resource/Alliant_International_University,http://live.dbpedia.org/data/Alliant_International_University.json,Far West Conference,http://live.dbpedia.org/resource/Far_West_Conference,http://live.dbpedia.org/data/Far_West_Conference.json,NAIA,
Alma College,http://live.dbpedia.org/resource/Alma_College,http://live.dbpedia.org/data/Alma_College.json,Michigan Intercollegiate Athletic Association,http://live.dbpedia.org/resource/Michigan_Intercollegiate_Athletic_Association,http://live.dbpedia.org/data/Michigan_Intercollegiate_Athletic_Association.json,Division III,
American International College,http://live.dbpedia.org/resource/American_International_College,http://live.dbpedia.org/data/American_International_College.json,Northeast-10 Conference,http://live.dbpedia.org/resource/Northeast-10_Conference,http://live.dbpedia.org/data/Northeast-10_Conference.json,Division II,
Amherst College,http://live.dbpedia.org/resource/Amherst_College,http://live.dbpedia.org/data/Amherst_College.json,New England Small College Athletic Conference,http://live.dbpedia.org/resource/New_England_Small_College_Athletic_Conference,http://live.dbpedia.org/data/New_England_Small_College_Athletic_Conference.json,Division III,
Anderson University,http://live.dbpedia.org/resource/Anderson_University_(Indiana),http://live.dbpedia.org/data/Anderson_University_(Indiana).json,Heartland Collegiate Athletic Conference,,,Division III,
Angelo State University,http://live.dbpedia.org/resource/Angelo_State_University,http://live.dbpedia.org/data/Angelo_State_University.json,Lone Star Conference,,,Division II,
Appalachian State University,http://live.dbpedia.org/resource/Appalachian_State_University,http://live.dbpedia.org/data/Appalachian_State_University.json,Southern Conference,http://live.dbpedia.org/resource/Southern_Conference,http://live.dbpedia.org/data/Southern_Conference.json,Division I-AA,
Arizona State University,http://live.dbpedia.org/resource/Arizona_State_University,http://live.dbpedia.org/data/Arizona_State_University.json,Pacific-12 Conference,http://live.dbpedia.org/resource/Pacific-12_Conference,http://live.dbpedia.org/data/Pacific-12_Conference.json,Division I,
Arkansas State University,http://live.dbpedia.org/resource/Arkansas_State_University,http://live.dbpedia.org/data/Arkansas_State_University.json,Sun Belt Conference,http://live.dbpedia.org/resource/Sun_Belt_Conference,http://live.dbpedia.org/data/Sun_Belt_Conference.json,Division I,
Arkansas Tech University,http://live.dbpedia.org/resource/Arkansas_Tech_University,http://live.dbpedia.org/data/Arkansas_Tech_University.json,Great American Conference,http://live.dbpedia.org/resource/Great_American_Conference,http://live.dbpedia.org/data/Great_American_Conference.json,Division II,
Ashland University,http://live.dbpedia.org/resource/Ashland_University,http://live.dbpedia.org/data/Ashland_University.json,Great Lakes Intercollegiate Athletic Conference,http://live.dbpedia.org/resource/Great_Lakes_Intercollegiate_Athletic_Conference,http://live.dbpedia.org/data/Great_Lakes_Intercollegiate_Athletic_Conference.json,Division II,
Auburn University,http://live.dbpedia.org/resource/Auburn_University,http://live.dbpedia.org/data/Auburn_University.json,Southeastern Conference,http://live.dbpedia.org/resource/Southeastern_Conference,http://live.dbpedia.org/data/Southeastern_Conference.json,Division I,
Augustana College (Illinois),http://live.dbpedia.org/resource/Augustana_College_(Illinois),http://live.dbpedia.org/data/Augustana_College_(Illinois).json,College Conference of Illinois and Wisconsin,,,Division III,
Augustana College (South Dakota),http://live.dbpedia.org/resource/Augustana_College_%28South_Dakota%29,http://live.dbpedia.org/data/Augustana_College_%28South_Dakota%29.json,Northern Sun Intercollegiate Conference,http://live.dbpedia.org/resource/Northern_Sun_Intercollegiate_Conference,http://live.dbpedia.org/data/Northern_Sun_Intercollegiate_Conference.json,Division II,
Austin College,http://live.dbpedia.org/resource/Austin_College,http://live.dbpedia.org/data/Austin_College.json,Southern Collegiate Athletic Conference,http://live.dbpedia.org/resource/Southern_Collegiate_Athletic_Conference,http://live.dbpedia.org/data/Southern_Collegiate_Athletic_Conference.json,Division III,
