"","player_game_number","season","season_game","game_date","age","team","game_location","opponent","game_result","game_started","pass_completions","pass_attempts","completion_percentage","passing_yards","passing_touchdowns","interceptions_thrown","qb_rating","yards_per_pass","adjusted_yards_per_pass","rushing_attempts","rushing_yards","rushing_yards_per_attempt","rushing_touchdowns","receiptions","receiving_yards","yards_per_receiption","receiving_touchdowns","receiving_rushing_touchdowns","receiving_rushing_points","player","started","outcome","score","team_score","opponent_score"
"1",1,1983,3,"1983-09-19","22-004","MIA","@","RAI","L 14-27","",11,17,0.393,90,2,0,117.3,5.29,7.65,0,0,NA,0,0,0,NA,0,0,0,"Dan Marino",FALSE,"L","14-27",14,27
"2",2,1983,5,"1983-10-02","22-017","MIA","@","NOR","L 7-17","",12,22,0.353,150,1,1,72.2,6.82,5.68,0,0,NA,0,0,0,NA,0,0,0,"Dan Marino",FALSE,"L","7-17",7,17
"3",3,1983,6,"1983-10-09","22-024","MIA","","BUF","L 35-38","*",19,29,0.396,322,3,2,108.7,11.1,10.07,4,-4,-1,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"L","35-38",35,38
"4",4,1983,7,"1983-10-16","22-031","MIA","@","NYJ","W 32-14","*",17,30,0.362,225,3,0,113.9,7.5,9.5,4,4,1,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","32-14",32,14
"5",5,1983,8,"1983-10-23","22-038","MIA","@","BAL","W 21-7","*",11,18,0.379,157,2,0,126.4,8.72,10.94,4,0,0,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","21-7",21,7
"6",6,1983,9,"1983-10-30","22-045","MIA","","RAM","W 30-14","*",25,38,0.397,279,2,1,94.1,7.34,7.21,2,0,0,1,0,0,NA,0,1,6,"Dan Marino",TRUE,"W","30-14",30,14
"7",7,1983,10,"1983-11-06","22-052","MIA","@","SFO","W 20-17","*",15,29,0.341,194,2,0,96,6.69,8.07,5,10,2,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","20-17",20,17
"8",8,1983,11,"1983-11-13","22-059","MIA","@","NWE","L 6-17","*",14,37,0.275,141,0,1,38.2,3.81,2.59,2,18,9,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"L","6-17",6,17
"9",9,1983,12,"1983-11-20","22-066","MIA","","BAL","W 37-0","*",14,21,0.4,240,1,0,121.1,11.43,12.38,3,11,3.67,1,0,0,NA,0,1,6,"Dan Marino",TRUE,"W","37-0",37,0
"10",10,1983,13,"1983-11-28","22-074","MIA","","CIN","W 38-14","*",18,29,0.383,217,3,0,119.5,7.48,9.55,3,2,0.67,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","38-14",38,14
"11",11,1983,14,"1983-12-04","22-080","MIA","@","HOU","W 24-17","*",17,26,0.395,195,1,1,84.6,7.5,6.54,1,4,4,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","24-17",24,17
"14",12,1984,1,"1984-09-02","22-353","MIA","@","WAS","W 35-17","*",21,28,0.429,311,5,0,150.4,11.11,14.68,3,-7,-2.33,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","35-17",35,17
"15",13,1984,2,"1984-09-09","22-360","MIA","","NWE","W 28-7","*",16,27,0.372,234,2,2,81.4,8.67,6.81,3,-1,-0.33,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","28-7",28,7
"16",14,1984,3,"1984-09-17","23-002","MIA","@","BUF","W 21-17","*",26,35,0.426,296,3,1,115.9,8.46,8.89,6,-11,-1.83,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","21-17",21,17
