"","player_game_number","season","season_game","game_date","age","team","game_location","opponent","game_result","pass_completions","pass_attempts","completion_percentage","passing_yards","passing_touchdowns","interceptions_thrown","qb_rating","yards_per_pass","adjusted_yards_per_pass","rushing_attempts","rushing_yards","rushing_yards_per_attempt","rushing_touchdowns","receiptions","receiving_yards","yards_per_receiption","receiving_touchdowns","receiving_rushing_touchdowns","receiving_rushing_points","punt_attempts","punting_yards","yards_per_punt","punts_blocked","player","started","outcome","score","team_score","opponent_score"
"1",1,2000,12,"2000-11-23","23-112","NWE","@","DET","L 9-34",1,3,0.25,6,0,0,42.4,2,2,0,0,NA,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",FALSE,"L","9-34",9,34
"4",2,2001,2,"2001-09-23","24-051","NWE","","NYJ","L 3-10",5,10,0.333,46,0,0,62.9,4.6,4.6,1,9,9,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",FALSE,"L","3-10",3,10
"5",3,2001,3,"2001-09-30","24-058","NWE","","IND","W 44-13",13,23,0.361,168,0,0,79.6,7.3,7.3,1,2,2,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","44-13",44,13
"6",4,2001,4,"2001-10-07","24-065","NWE","@","MIA","L 10-30",12,24,0.333,86,0,0,58.7,3.58,3.58,2,9,4.5,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"L","10-30",10,30
"7",5,2001,5,"2001-10-14","24-072","NWE","","SDG","W 29-26",33,54,0.379,364,2,0,93.4,6.74,7.48,1,0,0,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","29-26",29,26
"8",6,2001,6,"2001-10-21","24-079","NWE","@","IND","W 38-17",16,20,0.444,202,3,0,148.3,10.1,13.1,2,-2,-1,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","38-17",38,17
"9",7,2001,7,"2001-10-28","24-086","NWE","@","DEN","L 20-31",25,38,0.397,203,2,4,57.1,5.34,1.66,2,-1,-0.5,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"L","20-31",20,31
"10",8,2001,8,"2001-11-04","24-093","NWE","@","ATL","W 24-10",21,31,0.404,250,3,0,124.4,8.06,10,3,0,0,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","24-10",24,10
"11",9,2001,9,"2001-11-11","24-100","NWE","","BUF","W 21-11",15,21,0.417,107,1,1,78.9,5.1,3.9,4,-1,-0.25,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","21-11",21,11
"12",10,2001,10,"2001-11-18","24-107","NWE","","STL","L 17-24",19,27,0.413,185,1,2,70.8,6.85,4.26,2,6,3,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"L","17-24",17,24
"13",11,2001,11,"2001-11-25","24-114","NWE","","NOR","W 34-17",19,26,0.422,258,4,0,143.9,9.92,13,4,14,3.5,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","34-17",34,17
"14",12,2001,12,"2001-12-02","24-121","NWE","@","NYJ","W 17-16",20,28,0.417,213,0,0,93.3,7.61,7.61,3,0,0,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","17-16",17,16
"15",13,2001,13,"2001-12-09","24-128","NWE","","CLE","W 27-16",19,28,0.404,218,0,2,61.3,7.79,4.57,4,-3,-0.75,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","27-16",27,16
"16",14,2001,14,"2001-12-16","24-135","NWE","@","BUF","W 12-9",19,35,0.352,237,0,1,63.6,6.77,5.49,3,13,4.33,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","12-9",12,9
"17",15,2001,15,"2001-12-22","24-141","NWE","","MIA","W 20-13",11,19,0.367,108,1,0,91.6,5.68,6.74,3,-5,-1.67,0,1,23,23,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","20-13",20,13
"18",16,2001,16,"2002-01-06","24-156","NWE","@","CAR","W 38-6",17,29,0.37,198,1,2,62.1,6.83,4.41,1,2,2,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","38-6",38,6
"21",17,2002,1,"2002-09-09","25-037","NWE","","PIT","W 30-14",29,43,0.403,294,3,0,110,6.84,8.23,0,0,NA,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","30-14",30,14
"22",18,2002,2,"2002-09-15","25-043","NWE","@","NYJ","W 44-7",25,35,0.417,269,2,1,100.8,7.69,7.54,2,5,2.5,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","44-7",44,7
