"","player","season","image_url","label","color","team","season_game","opponent","game_location","completions","attempts","passing_yards","passing_touchdowns","interceptions","rushing_touchdowns","qb_rating","team_points","opponent_points","completion_percentage","point_contribution_ratio","interceptions_per_attempt","yards_per_completion","yards_per_attempt","touchdowns_per_attempt","touchdowns_per_completion","player_point_to_opponent_point_ratio","iframe_url","detail"
"1","Aaron Rodgers",2011,"http://www.wallpaperati.com/wp-content/uploads/2011/01/aaron-rodgers-wallpaper-3.png","Rodgers '11","#FFCC00","Green Bay Packers",1,"NOR","home",27,35,312,3,0,0,132.1,42,34,77.14,42.86,0,11.56,8.91,8.57,11.11,52.94,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Aaron Rodgers+Green Bay Packers+2013","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Rodgers '11</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Aaron Rodgers+Green Bay Packers+2013' height='125' width='100'></iframe></td><td align='left'>Season: 2011<br>Game Number: 1<br>QB Rating: 132.1<br>Passing Touchdowns: 3<br>Passing Yards: 312<br>Interceptions: 0</td></tr></table>"
"2","Aaron Rodgers",2011,"http://www.wallpaperati.com/wp-content/uploads/2011/01/aaron-rodgers-wallpaper-3.png","Rodgers '11","#FFCC00","Green Bay Packers",2,"CAR","away",19,30,308,2,0,0,119.9,30,23,63.33,40,0,16.21,10.27,6.67,10.53,52.17,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Aaron Rodgers+Green Bay Packers+2007","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Rodgers '11</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Aaron Rodgers+Green Bay Packers+2007' height='125' width='100'></iframe></td><td align='left'>Season: 2011<br>Game Number: 2<br>QB Rating: 119.9<br>Passing Touchdowns: 2<br>Passing Yards: 308<br>Interceptions: 0</td></tr></table>"
"3","Aaron Rodgers",2011,"http://www.wallpaperati.com/wp-content/uploads/2011/01/aaron-rodgers-wallpaper-3.png","Rodgers '11","#FFCC00","Green Bay Packers",3,"CHI","away",28,38,297,3,1,0,111.4,27,17,73.68,66.67,2.63,10.61,7.82,7.89,10.71,105.88,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Aaron Rodgers+Green Bay Packers+2004","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Rodgers '11</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Aaron Rodgers+Green Bay Packers+2004' height='125' width='100'></iframe></td><td align='left'>Season: 2011<br>Game Number: 3<br>QB Rating: 111.4<br>Passing Touchdowns: 3<br>Passing Yards: 297<br>Interceptions: 1</td></tr></table>"
"4","Aaron Rodgers",2011,"http://www.wallpaperati.com/wp-content/uploads/2011/01/aaron-rodgers-wallpaper-3.png","Rodgers '11","#FFCC00","Green Bay Packers",4,"DEN","home",29,38,408,4,1,2,134.5,49,23,76.32,73.47,2.63,14.07,10.74,10.53,13.79,156.52,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Aaron Rodgers+Green Bay Packers+2011","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Rodgers '11</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Aaron Rodgers+Green Bay Packers+2011' height='125' width='100'></iframe></td><td align='left'>Season: 2011<br>Game Number: 4<br>QB Rating: 134.5<br>Passing Touchdowns: 4<br>Passing Yards: 408<br>Interceptions: 1</td></tr></table>"
"5","Aaron Rodgers",2011,"http://www.wallpaperati.com/wp-content/uploads/2011/01/aaron-rodgers-wallpaper-3.png","Rodgers '11","#FFCC00","Green Bay Packers",5,"ATL","away",26,39,396,2,0,0,117,25,14,66.67,48,0,15.23,10.15,5.13,7.69,85.71,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Aaron Rodgers+Green Bay Packers+1984","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Rodgers '11</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Aaron Rodgers+Green Bay Packers+1984' height='125' width='100'></iframe></td><td align='left'>Season: 2011<br>Game Number: 5<br>QB Rating: 117<br>Passing Touchdowns: 2<br>Passing Yards: 396<br>Interceptions: 0</td></tr></table>"
"6","Aaron Rodgers",2011,"http://www.wallpaperati.com/wp-content/uploads/2011/01/aaron-rodgers-wallpaper-3.png","Rodgers '11","#FFCC00","Green Bay Packers",6,"STL","home",18,29,316,3,1,0,119.3,24,3,62.07,75,3.45,17.56,10.9,10.34,16.67,600,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Aaron Rodgers+Green Bay Packers+2011","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Rodgers '11</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Aaron Rodgers+Green Bay Packers+2011' height='125' width='100'></iframe></td><td align='left'>Season: 2011<br>Game Number: 6<br>QB Rating: 119.3<br>Passing Touchdowns: 3<br>Passing Yards: 316<br>Interceptions: 1</td></tr></table>"
"7","Aaron Rodgers",2011,"http://www.wallpaperati.com/wp-content/uploads/2011/01/aaron-rodgers-wallpaper-3.png","Rodgers '11","#FFCC00","Green Bay Packers",7,"MIN","away",24,30,335,3,0,0,146.5,33,27,80,54.55,0,13.96,11.17,10,12.5,66.67,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Aaron Rodgers+Green Bay Packers+2011","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Rodgers '11</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Aaron Rodgers+Green Bay Packers+2011' height='125' width='100'></iframe></td><td align='left'>Season: 2011<br>Game Number: 7<br>QB Rating: 146.5<br>Passing Touchdowns: 3<br>Passing Yards: 335<br>Interceptions: 0</td></tr></table>"
"8","Aaron Rodgers",2011,"http://www.wallpaperati.com/wp-content/uploads/2011/01/aaron-rodgers-wallpaper-3.png","Rodgers '11","#FFCC00","Green Bay Packers",8,"SDG","away",21,26,247,4,0,0,145.8,45,38,80.77,53.33,0,11.76,9.5,15.38,19.05,63.16,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Aaron Rodgers+Green Bay Packers+2013","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Rodgers '11</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Aaron Rodgers+Green Bay Packers+2013' height='125' width='100'></iframe></td><td align='left'>Season: 2011<br>Game Number: 8<br>QB Rating: 145.8<br>Passing Touchdowns: 4<br>Passing Yards: 247<br>Interceptions: 0</td></tr></table>"
"9","Aaron Rodgers",2011,"http://www.wallpaperati.com/wp-content/uploads/2011/01/aaron-rodgers-wallpaper-3.png","Rodgers '11","#FFCC00","Green Bay Packers",9,"MIN","home",23,30,250,4,0,0,140.3,45,7,76.67,53.33,0,10.87,8.33,13.33,17.39,342.86,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Aaron Rodgers+Green Bay Packers+2007","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Rodgers '11</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Aaron Rodgers+Green Bay Packers+2007' height='125' width='100'></iframe></td><td align='left'>Season: 2011<br>Game Number: 9<br>QB Rating: 140.3<br>Passing Touchdowns: 4<br>Passing Yards: 250<br>Interceptions: 0</td></tr></table>"
"10","Dan Marino",1984,"http://thegothamgridiron.files.wordpress.com/2010/08/young-dan-marino.png","Marino '84","#006666","Miami Dolphins",1,"WAS","away",21,28,311,5,0,0,150.4,35,17,75,85.71,0,14.81,11.11,17.86,23.81,176.47,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Dan Marino+Miami Dolphins+2004","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Marino '84</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Dan Marino+Miami Dolphins+2004' height='125' width='100'></iframe></td><td align='left'>Season: 1984<br>Game Number: 1<br>QB Rating: 150.4<br>Passing Touchdowns: 5<br>Passing Yards: 311<br>Interceptions: 0</td></tr></table>"
