"","player_game_number","season","season_game","game_date","age","team","game_location","opponent","game_result","game_started","pass_completions","pass_attempts","completion_percentage","passing_yards","passing_touchdowns","interceptions_thrown","qb_rating","yards_per_pass","adjusted_yards_per_pass","rushing_attempts","rushing_yards","rushing_yards_per_attempt","rushing_touchdowns","receiving_rushing_touchdowns","receiving_rushing_points","player","started","outcome","score","team_score","opponent_score"
"1",1,2011,4,"2011-10-02","23-333","SFO","@","PHI","W 24-23","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Colin Kaepernick",FALSE,"W","24-23",24,23
"2",2,2011,5,"2011-10-09","23-340","SFO","","TAM","W 48-3","",3,3,0.5,35,0,0,115.3,11.67,11.67,2,-2,-1,0,0,0,"Colin Kaepernick",FALSE,"W","48-3",48,3
"3",3,2011,12,"2011-12-04","24-031","SFO","","STL","W 26-0","",0,2,0,0,0,0,39.6,0,0,0,0,NA,0,0,0,"Colin Kaepernick",FALSE,"W","26-0",26,0
"6",4,2012,1,"2012-09-09","24-311","SFO","@","GNB","W 30-22","",0,0,NA,0,0,0,NA,NA,NA,1,17,17,0,0,0,"Colin Kaepernick",FALSE,"W","30-22",30,22
"7",5,2012,4,"2012-09-30","24-332","SFO","@","NYJ","W 34-0","",0,1,0,0,0,0,39.6,0,0,5,50,10,1,1,6,"Colin Kaepernick",FALSE,"W","34-0",34,0
"8",6,2012,5,"2012-10-07","24-339","SFO","","BUF","W 45-3","",1,1,0.5,7,0,0,95.8,7,7,4,39,9.75,1,1,6,"Colin Kaepernick",FALSE,"W","45-3",45,3
"9",7,2012,6,"2012-10-14","24-346","SFO","","NYG","L 3-26","",4,7,0.364,82,0,0,98.5,11.71,11.71,2,6,3,0,0,0,"Colin Kaepernick",FALSE,"L","3-26",3,26
"10",8,2012,7,"2012-10-18","24-350","SFO","","SEA","W 13-6","",0,0,NA,0,0,0,NA,NA,NA,1,-1,-1,0,0,0,"Colin Kaepernick",FALSE,"W","13-6",13,6
"11",9,2012,9,"2012-11-11","25-008","SFO","","STL","T 24-24","",11,17,0.393,117,0,0,84.7,6.88,6.88,8,66,8.25,1,1,6,"Colin Kaepernick",FALSE,"T","24-24",24,24
"12",10,2012,10,"2012-11-19","25-016","SFO","","CHI","W 32-7","*",16,23,0.41,243,2,0,133.1,10.57,12.3,4,10,2.5,0,0,0,"Colin Kaepernick",TRUE,"W","32-7",32,7
"13",11,2012,11,"2012-11-25","25-022","SFO","@","NOR","W 31-21","*",16,25,0.39,231,1,1,90.6,9.24,8.24,6,27,4.5,1,1,6,"Colin Kaepernick",TRUE,"W","31-21",31,21
"14",12,2012,12,"2012-12-02","25-029","SFO","@","STL","L 13-16","*",21,32,0.396,208,0,0,83.9,6.5,6.5,9,84,9.33,0,0,0,"Colin Kaepernick",TRUE,"L","13-16",13,16
"15",13,2012,13,"2012-12-09","25-036","SFO","","MIA","W 27-13","*",18,23,0.439,185,0,0,100.2,8.04,8.04,6,53,8.83,1,1,6,"Colin Kaepernick",TRUE,"W","27-13",27,13
"16",14,2012,14,"2012-12-16","25-043","SFO","@","NWE","W 41-34","*",14,25,0.359,221,4,1,108.5,8.84,10.24,7,28,4,0,0,0,"Colin Kaepernick",TRUE,"W","41-34",41,34
"17",15,2012,15,"2012-12-23","25-050","SFO","@","SEA","L 13-42","*",19,36,0.345,244,1,1,72,6.78,6.08,7,31,4.43,0,0,0,"Colin Kaepernick",TRUE,"L","13-42",13,42
"18",16,2012,16,"2012-12-30","25-057","SFO","","ARI","W 27-13","*",16,28,0.364,276,2,0,114.6,9.86,11.29,3,5,1.67,0,0,0,"Colin Kaepernick",TRUE,"W","27-13",27,13
"21",17,2013,1,"2013-09-08","25-309","SFO","","GNB","W 34-28","*",27,39,0.409,412,3,0,129.4,10.56,12.1,7,22,3.14,0,0,0,"Colin Kaepernick",TRUE,"W","34-28",34,28
"22",18,2013,2,"2013-09-15","25-316","SFO","@","SEA","L 3-29","*",13,28,0.317,127,0,3,20.1,4.54,-0.29,9,87,9.67,0,0,0,"Colin Kaepernick",TRUE,"L","3-29",3,29
"23",19,2013,3,"2013-09-22","25-323","SFO","","IND","L 7-27","*",13,27,0.325,150,0,1,49.9,5.56,3.89,7,20,2.86,0,0,0,"Colin Kaepernick",TRUE,"L","7-27",7,27
"24",20,2013,4,"2013-09-26","25-327","SFO","@","STL","W 35-11","*",15,23,0.395,167,2,0,115.7,7.26,9,3,11,3.67,0,0,0,"Colin Kaepernick",TRUE,"W","35-11",35,11
"25",21,2013,5,"2013-10-06","25-337","SFO","","HOU","W 34-3","*",6,15,0.286,113,1,0,89,7.53,8.87,1,14,14,0,0,0,"Colin Kaepernick",TRUE,"W","34-3",34,3
