"","player_game_number","season","season_game","game_date","age","team","game_location","opponent","game_result","game_started","pass_completions","pass_attempts","completion_percentage","passing_yards","passing_touchdowns","interceptions_thrown","qb_rating","yards_per_pass","adjusted_yards_per_pass","rushing_attempts","rushing_yards","rushing_yards_per_attempt","rushing_touchdowns","receiving_rushing_touchdowns","receiving_rushing_points","player","started","outcome","score","team_score","opponent_score"
"1",1,2007,12,"2007-12-02","22-115","OAK","","DEN","W 34-20","",4,7,0.364,56,0,0,83,8,8,3,4,1.33,0,0,0,"JaMarcus Russell",FALSE,"W","34-20",34,20
"2",2,2007,14,"2007-12-16","22-129","OAK","","IND","L 14-21","",2,5,0.286,10,0,0,47.9,2,2,0,0,NA,0,0,0,"JaMarcus Russell",FALSE,"L","14-21",14,21
"3",3,2007,15,"2007-12-23","22-136","OAK","@","JAX","L 11-49","",7,23,0.233,83,1,3,17.4,3.61,-1.39,2,0,0,0,0,0,"JaMarcus Russell",FALSE,"L","11-49",11,49
"4",4,2007,16,"2007-12-30","22-143","OAK","","SDG","L 17-30","*",23,31,0.426,224,1,1,91.3,7.23,6.42,0,0,NA,0,0,0,"JaMarcus Russell",TRUE,"L","17-30",17,30
"7",5,2008,1,"2008-09-08","23-030","OAK","","DEN","L 14-41","*",17,26,0.395,180,2,0,111.1,6.92,8.46,3,7,2.33,0,0,0,"JaMarcus Russell",TRUE,"L","14-41",14,41
"8",6,2008,2,"2008-09-14","23-036","OAK","@","KAN","W 23-8","*",6,17,0.261,55,0,0,45,3.24,3.24,1,3,3,0,0,0,"JaMarcus Russell",TRUE,"W","23-8",23,8
"9",7,2008,3,"2008-09-21","23-043","OAK","@","BUF","L 23-24","*",9,19,0.321,156,1,0,93.3,8.21,9.26,1,1,1,1,1,6,"JaMarcus Russell",TRUE,"L","23-24",23,24
"10",8,2008,4,"2008-09-28","23-050","OAK","","SDG","L 18-28","*",22,37,0.373,277,1,1,80.6,7.49,6.81,2,4,2,0,0,0,"JaMarcus Russell",TRUE,"L","18-28",18,28
"11",9,2008,5,"2008-10-12","23-064","OAK","@","NOR","L 3-34","*",13,35,0.271,159,0,1,40.1,4.54,3.26,1,11,11,0,0,0,"JaMarcus Russell",TRUE,"L","3-34",3,34
"12",10,2008,6,"2008-10-19","23-071","OAK","","NYJ","W 16-13","*",17,30,0.362,203,1,0,88.6,6.77,7.43,0,0,NA,0,0,0,"JaMarcus Russell",TRUE,"W","16-13",16,13
"13",11,2008,7,"2008-10-26","23-078","OAK","@","BAL","L 10-29","*",15,33,0.312,228,1,1,66.2,6.91,6.15,1,13,13,0,0,0,"JaMarcus Russell",TRUE,"L","10-29",10,29
"14",12,2008,8,"2008-11-02","23-085","OAK","","ATL","L 0-24","*",6,19,0.24,31,0,1,19,1.63,-0.74,2,46,23,0,0,0,"JaMarcus Russell",TRUE,"L","0-24",0,24
"15",13,2008,10,"2008-11-16","23-099","OAK","@","MIA","L 15-17","*",15,22,0.405,156,0,0,88.4,7.09,7.09,0,0,NA,0,0,0,"JaMarcus Russell",TRUE,"L","15-17",15,17
"16",14,2008,11,"2008-11-23","23-106","OAK","@","DEN","W 31-10","*",10,11,0.476,152,1,0,149.1,13.82,15.64,3,3,1,0,0,0,"JaMarcus Russell",TRUE,"W","31-10",31,10
"17",15,2008,12,"2008-11-30","23-113","OAK","","KAN","L 13-20","*",10,28,0.263,132,0,0,51.5,4.71,4.71,2,37,18.5,0,0,0,"JaMarcus Russell",TRUE,"L","13-20",13,20
"18",16,2008,13,"2008-12-04","23-117","OAK","@","SDG","L 7-34","*",9,13,0.409,68,0,2,42,5.23,-1.69,0,0,NA,0,0,0,"JaMarcus Russell",TRUE,"L","7-34",7,34
"19",17,2008,14,"2008-12-14","23-127","OAK","","NWE","L 26-49","*",17,32,0.347,242,2,1,85.7,7.56,7.41,0,0,NA,0,0,0,"JaMarcus Russell",TRUE,"L","26-49",26,49
"20",18,2008,15,"2008-12-21","23-134","OAK","","HOU","W 27-16","*",18,25,0.419,236,2,0,128.1,9.44,11.04,0,0,NA,0,0,0,"JaMarcus Russell",TRUE,"W","27-16",27,16
"21",19,2008,16,"2008-12-28","23-141","OAK","@","TAM","W 31-24","*",14,21,0.4,148,2,1,98.9,7.05,6.81,1,2,2,0,0,0,"JaMarcus Russell",TRUE,"W","31-24",31,24
"24",20,2009,1,"2009-09-14","24-036","OAK","","SDG","L 20-24","*",12,30,0.286,208,1,2,47.6,6.93,4.6,2,6,3,0,0,0,"JaMarcus Russell",TRUE,"L","20-24",20,24
"25",21,2009,2,"2009-09-20","24-042","OAK","@","KAN","W 13-10","*",7,24,0.226,109,0,0,46,4.54,4.54,3,-3,-1,0,0,0,"JaMarcus Russell",TRUE,"W","13-10",13,10
"26",22,2009,3,"2009-09-27","24-049","OAK","","DEN","L 3-23","*",12,21,0.364,61,0,2,22.6,2.9,-1.38,3,22,7.33,0,0,0,"JaMarcus Russell",TRUE,"L","3-23",3,23
"27",23,2009,4,"2009-10-04","24-056","OAK","@","HOU","L 6-29","*",12,33,0.267,128,0,0,48.5,3.88,3.88,0,0,NA,0,0,0,"JaMarcus Russell",TRUE,"L","6-29",6,29
"28",24,2009,5,"2009-10-11","24-063","OAK","@","NYG","L 7-44","*",8,13,0.381,100,0,0,85.4,7.69,7.69,2,5,2.5,0,0,0,"JaMarcus Russell",TRUE,"L","7-44",7,44
"29",25,2009,6,"2009-10-18","24-070","OAK","","PHI","W 13-9","*",17,28,0.378,224,1,2,68.2,8,5.5,5,8,1.6,0,0,0,"JaMarcus Russell",TRUE,"W","13-9",13,9
"30",26,2009,7,"2009-10-25","24-077","OAK","","NYJ","L 0-38","*",6,11,0.353,61,0,2,31.1,5.55,-2.64,0,0,NA,0,0,0,"JaMarcus Russell",TRUE,"L","0-38",0,38
"31",27,2009,8,"2009-11-01","24-084","OAK","@","SDG","L 16-24","*",14,22,0.389,109,0,1,56.8,4.95,2.91,1,1,1,0,0,0,"JaMarcus Russell",TRUE,"L","16-24",16,24
"32",28,2009,9,"2009-11-15","24-098","OAK","","KAN","L 10-16","*",8,23,0.258,64,0,0,43.6,2.78,2.78,0,0,NA,0,0,0,"JaMarcus Russell",TRUE,"L","10-16",10,16
"33",29,2009,13,"2009-12-13","24-126","OAK","","WAS","L 13-34","",10,16,0.385,74,0,1,47.4,4.63,1.81,0,0,NA,0,0,0,"JaMarcus Russell",FALSE,"L","13-34",13,34
"34",30,2009,14,"2009-12-20","24-133","OAK","@","DEN","W 20-19","",5,11,0.312,47,1,0,88.1,4.27,6.09,0,0,NA,0,0,0,"JaMarcus Russell",FALSE,"W","20-19",20,19
"35",31,2009,16,"2010-01-03","24-147","OAK","","BAL","L 13-21","",9,14,0.391,102,0,1,56.3,7.29,4.07,2,5,2.5,0,0,0,"JaMarcus Russell",FALSE,"L","13-21",13,21
