"","player_game_number","season","season_game","game_date","age","team","game_location","opponent","game_result","game_started","pass_completions","pass_attempts","completion_percentage","passing_yards","passing_touchdowns","interceptions_thrown","qb_rating","yards_per_pass","adjusted_yards_per_pass","rushing_attempts","rushing_yards","rushing_yards_per_attempt","rushing_touchdowns","receiptions","receiving_yards","yards_per_receiption","receiving_touchdowns","receiving_rushing_touchdowns","two_point_conversions","receiving_rushing_points","player","started","outcome","score","team_score","opponent_score"
"1",1,2004,4,"2004-10-03","23-100","ATL","@","CAR","W 27-10","",0,0,NA,0,0,0,NA,NA,NA,2,-2,-1,0,0,0,NA,0,0,NA,0,"Matt Schaub",FALSE,"W","27-10",27,10
"2",2,2004,7,"2004-10-24","23-121","ATL","@","KAN","L 10-56","",2,4,0.333,9,0,0,56.2,2.25,2.25,0,0,NA,0,0,0,NA,0,0,NA,0,"Matt Schaub",FALSE,"L","10-56",10,56
"3",3,2004,12,"2004-12-05","23-163","ATL","@","TAM","L 0-27","",0,2,0,0,0,1,0,0,-22.5,0,0,NA,0,0,0,NA,0,0,NA,0,"Matt Schaub",FALSE,"L","0-27",0,27
"4",4,2004,13,"2004-12-12","23-170","ATL","","OAK","W 35-10","",0,1,0,0,0,0,39.6,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,"Matt Schaub",FALSE,"W","35-10",35,10
"5",5,2004,15,"2004-12-26","23-184","ATL","@","NOR","L 13-26","*",17,41,0.293,188,0,2,35.4,4.59,2.39,4,21,5.25,0,0,0,NA,0,0,NA,0,"Matt Schaub",TRUE,"L","13-26",13,26
"6",6,2004,16,"2005-01-02","23-191","ATL","@","SEA","L 26-28","",14,22,0.389,133,1,1,76.5,6.05,4.91,2,7,3.5,0,0,0,NA,0,0,NA,0,"Matt Schaub",FALSE,"L","26-28",26,28
"9",7,2005,1,"2005-09-12","24-079","ATL","","PHI","W 14-10","",0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,0,NA,0,0,NA,0,"Matt Schaub",FALSE,"W","14-10",14,10
"10",8,2005,2,"2005-09-18","24-085","ATL","@","SEA","L 18-21","",0,1,0,0,0,0,39.6,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,"Matt Schaub",FALSE,"L","18-21",18,21
"11",9,2005,3,"2005-09-25","24-092","ATL","@","BUF","W 24-16","",0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,0,NA,0,0,NA,0,"Matt Schaub",FALSE,"W","24-16",24,16
"12",10,2005,4,"2005-10-02","24-099","ATL","","MIN","W 30-10","",5,14,0.263,39,0,0,44.3,2.79,2.79,4,56,14,0,0,0,NA,0,0,NA,0,"Matt Schaub",FALSE,"W","30-10",30,10
"13",11,2005,5,"2005-10-09","24-106","ATL","","NWE","L 28-31","*",18,34,0.346,298,3,0,112.1,8.76,10.53,2,3,1.5,0,0,0,NA,0,0,NA,0,"Matt Schaub",TRUE,"L","28-31",28,31
