year,team,rank,value,debt_value,value_change,debt_percent,revenue,expense,operating_income,player_expense,gate_receipt,revenue_multiple,ebitda_multiple,league
2012,Toronto Maple Leafs,1,1000.00,160.00,0.92,0.16,200.00,118.10,81.90,NA,NA,5.00,12.21,NHL
2012,New York Rangers,2,750.00,0.00,0.48,0.00,199.00,125.00,74.00,NA,NA,3.77,10.14,NHL
2012,Montreal Canadiens,3,575.00,287.50,0.29,0.50,169.00,117.40,51.60,NA,NA,3.40,11.14,NHL
2012,Chicago Blackhawks,4,350.00,0.00,0.14,0.00,125.00,104.50,20.50,NA,NA,2.80,17.07,NHL
2012,Boston Bruins,5,348.00,111.36,0.07,0.32,129.00,114.80,14.20,NA,NA,2.70,24.51,NHL
2012,Detroit Red Wings,6,346.00,0.00,0.03,0.00,128.00,107.20,20.80,NA,NA,2.70,16.63,NHL
2012,Vancouver Canucks,7,342.00,99.18,0.14,0.29,143.00,112.60,30.40,NA,NA,2.39,11.25,NHL
2012,Philadelphia Flyers,8,336.00,63.84,0.16,0.19,124.00,113.10,10.90,NA,NA,2.71,30.83,NHL
2012,Pittsburgh Penguins,9,288.00,100.80,0.09,0.35,120.00,110.90,9.10,NA,NA,2.40,31.65,NHL
2012,Los Angeles Kings,10,276.00,140.76,0.19,0.51,120.00,118.20,1.80,NA,NA,2.30,153.33,NHL
2012,Washington Capitals,11,250.00,130.00,0.11,0.52,106.00,107.00,-1.00,NA,NA,2.36,0.00,NHL
2012,Calgary Flames,12,245.00,31.85,0.11,0.13,117.00,106.00,11.00,NA,NA,2.09,22.27,NHL
2012,Dallas Stars,13,240.00,148.80,0.04,0.62,100.00,97.00,3.00,NA,NA,2.40,80.00,NHL
2012,Edmonton Oilers,14,225.00,99.00,0.06,0.44,106.00,89.80,16.20,NA,NA,2.12,13.89,NHL
2012,San Jose Sharks,15,223.00,0.00,0.06,0.00,101.00,101.90,-0.90,NA,NA,2.21,0.00,NHL
2012,Ottawa Senators,16,220.00,129.80,0.09,0.59,113.00,98.50,14.50,NA,NA,1.95,15.17,NHL
2012,Minnesota Wild,17,218.00,113.36,0.02,0.52,99.00,102.90,-3.90,NA,NA,2.20,0.00,NHL
2012,Colorado Avalanche,18,210.00,23.10,0.06,0.11,91.00,86.50,4.50,NA,NA,2.31,46.67,NHL
2012,New Jersey Devils,19,205.00,229.60,0.13,1.12,122.00,119.20,2.80,NA,NA,1.68,73.21,NHL
2012,Winnipeg Jets,20,200.00,130.00,0.22,0.65,105.00,91.70,13.30,NA,NA,1.90,15.04,NHL
2012,Anaheim Ducks,21,192.00,65.28,0.04,0.34,91.00,101.80,-10.80,NA,NA,2.11,0.00,NHL
2012,Buffalo Sabres,22,175.00,80.50,0.01,0.46,95.00,105.40,-10.40,NA,NA,1.84,0.00,NHL
2012,Tampa Bay Lightning,23,174.00,45.24,0.00,0.26,88.00,101.10,-13.10,NA,NA,1.98,0.00,NHL
2012,Florida Panthers,24,170.00,100.30,0.05,0.59,87.00,99.00,-12.00,NA,NA,1.95,0.00,NHL
2012,Nashville Predators,25,167.00,85.17,0.02,0.51,88.00,91.40,-3.40,NA,NA,1.90,0.00,NHL
2012,Carolina Hurricanes,26,162.00,110.16,-0.04,0.68,85.00,94.40,-9.40,NA,NA,1.91,0.00,NHL
2012,New York Islanders,27,155.00,100.75,0.04,0.65,66.00,82.00,-16.00,NA,NA,2.35,0.00,NHL
2012,Columbus Blue Jackets,28,145.00,100.05,-0.05,0.69,85.00,103.70,-18.70,NA,NA,1.71,0.00,NHL
2012,Phoenix Coyotes,29,134.00,34.84,0.00,0.26,83.00,103.60,-20.60,NA,NA,1.61,0.00,NHL
2012,St Louis Blues,30,130.00,59.80,-0.17,0.46,89.00,99.00,-10.00,NA,NA,1.46,0.00,NHL
2011,Toronto Maple Leafs,1,521.00,130.25,0.03,0.25,193.00,111.20,81.80,NA,NA,2.70,6.37,NHL
2011,New York Rangers,2,507.00,0.00,0.10,0.00,169.00,127.60,41.40,NA,NA,3.00,12.25,NHL
2011,Montreal Canadiens,3,445.00,289.25,0.09,0.65,165.00,117.30,47.70,NA,NA,2.70,9.33,NHL
2011,Detroit Red Wings,4,336.00,0.00,0.07,0.00,127.00,110.70,16.30,NA,NA,2.65,20.61,NHL
2011,Boston Bruins,5,325.00,113.75,0.08,0.35,125.00,122.30,2.70,NA,NA,2.60,120.37,NHL
2011,Chicago Blackhawks,6,306.00,0.00,0.02,0.00,118.00,109.30,8.70,NA,NA,2.59,35.17,NHL
2011,Vancouver Canucks,7,300.00,111.00,0.15,0.37,146.00,122.50,23.50,NA,NA,2.05,12.77,NHL
2011,Philadelphia Flyers,8,290.00,63.80,-0.04,0.22,111.00,107.80,3.20,NA,NA,2.61,90.63,NHL
2011,Pittsburgh Penguins,9,264.00,100.32,0.12,0.38,110.00,110.20,-0.20,NA,NA,2.40,0.00,NHL
2011,Los Angeles Kings,10,232.00,153.12,0.08,0.66,101.00,103.00,-2.00,NA,NA,2.30,0.00,NHL
2011,Dallas Stars,11,230.00,289.80,0.01,1.26,90.00,91.10,-1.10,NA,NA,2.56,0.00,NHL
2011,Washington Capitals,12,225.00,130.50,0.14,0.58,94.00,101.50,-7.50,NA,NA,2.39,0.00,NHL
2011,Calgary Flames,13,220.00,33.00,0.07,0.15,105.00,103.90,1.10,NA,NA,2.10,200.00,NHL
2011,Minnesota Wild,14,213.00,112.89,0.05,0.53,97.00,102.90,-5.90,NA,NA,2.20,0.00,NHL
2011,Edmonton Oilers,15,212.00,99.64,0.16,0.47,96.00,78.70,17.30,NA,NA,2.21,12.25,NHL
2011,San Jose Sharks,16,211.00,44.31,0.09,0.21,96.00,103.80,-7.80,NA,NA,2.20,0.00,NHL
2011,Ottawa Senators,17,201.00,130.65,0.03,0.65,100.00,97.20,2.80,NA,NA,2.01,71.79,NHL
2011,Colorado Avalanche,18,198.00,23.76,0.00,0.12,83.00,76.90,6.10,NA,NA,2.39,32.46,NHL
2011,Anaheim Ducks,19,184.00,64.40,-0.02,0.35,84.00,92.40,-8.40,NA,NA,2.19,0.00,NHL
2011,New Jersey Devils,20,181.00,260.64,-0.17,1.44,100.00,106.10,-6.10,NA,NA,1.81,0.00,NHL
2011,Tampa Bay Lightning,21,174.00,45.24,0.20,0.26,87.00,95.50,-8.50,NA,NA,2.00,0.00,NHL
2011,Buffalo Sabres,22,173.00,79.58,0.02,0.46,87.00,92.60,-5.60,NA,NA,1.99,0.00,NHL
2011,Carolina Hurricanes,23,169.00,130.13,0.04,0.77,81.00,85.40,-4.40,NA,NA,2.09,0.00,NHL
2011,Winnipeg Jets,24,164.00,100.04,0.21,0.61,71.00,76.20,-5.20,NA,NA,2.31,0.00,NHL
2011,Nashville Predators,25,163.00,84.76,0.10,0.52,82.00,89.50,-7.50,NA,NA,1.99,0.00,NHL
2011,Florida Panthers,26,162.00,95.58,-0.04,0.59,81.00,88.00,-7.00,NA,NA,2.00,0.00,NHL
2011,St Louis Blues,27,157.00,127.17,-0.05,0.81,78.00,80.70,-2.70,NA,NA,2.01,0.00,NHL
2011,Columbus Blue Jackets,28,152.00,100.32,-0.01,0.66,80.00,93.70,-13.70,NA,NA,1.90,0.00,NHL
2011,New York Islanders,29,149.00,99.83,-0.01,0.67,63.00,71.10,-8.10,NA,NA,2.37,0.00,NHL
2011,Phoenix Coyotes,30,134.00,34.84,0.00,0.26,70.00,94.40,-24.40,NA,NA,1.91,0.00,NHL
2010,Toronto Maple Leafs,1,505.00,136.35,0.08,0.27,187.00,104.50,82.50,NA,NA,2.70,6.12,NHL
2010,New York Rangers,2,461.00,0.00,0.11,0.00,154.00,112.60,41.40,NA,NA,2.99,11.14,NHL
2010,Montreal Canadiens,3,408.00,285.60,0.20,0.70,163.00,109.90,53.10,NA,NA,2.50,7.68,NHL
2010,Detroit Red Wings,4,315.00,0.00,-0.06,0.00,119.00,103.70,15.30,NA,NA,2.65,20.59,NHL
2010,Boston Bruins,5,302.00,120.80,0.11,0.40,110.00,107.40,2.60,NA,NA,2.75,116.15,NHL
2010,Philadelphia Flyers,6,301.00,66.22,0.10,0.22,121.00,107.70,13.30,NA,NA,2.49,22.63,NHL
2010,Chicago Blackhawks,7,300.00,0.00,0.16,0.00,120.00,102.40,17.60,NA,NA,2.50,17.05,NHL
2010,Vancouver Canucks,8,262.00,110.04,0.10,0.42,119.00,101.40,17.60,NA,NA,2.20,14.89,NHL
2010,Pittsburgh Penguins,9,235.00,98.70,0.06,0.42,91.00,92.60,-1.60,NA,NA,2.58,0.00,NHL
2010,Dallas Stars,10,227.00,199.76,-0.08,0.88,95.00,88.60,6.40,NA,NA,2.39,35.47,NHL
2010,New Jersey Devils,11,218.00,250.70,-0.02,1.15,104.00,97.10,6.90,NA,NA,2.10,31.59,NHL
2010,Los Angeles Kings,12,215.00,163.40,0.03,0.76,98.00,97.30,0.70,NA,NA,2.19,307.14,NHL
2010,Calgary Flames,13,206.00,30.90,0.03,0.15,98.00,93.40,4.60,NA,NA,2.10,44.78,NHL
2010,Minnesota Wild,14,202.00,113.12,-0.04,0.56,92.00,94.30,-2.30,NA,NA,2.20,0.00,NHL
2010,Colorado Avalanche,15,198.00,29.70,-0.04,0.15,82.00,79.70,2.30,NA,NA,2.41,86.09,NHL
2010,Washington Capitals,16,197.00,78.80,0.07,0.40,82.00,91.10,-9.10,NA,NA,2.40,0.00,NHL
2010,Ottawa Senators,17,196.00,129.36,-0.01,0.66,96.00,99.80,-3.80,NA,NA,2.04,0.00,NHL
2010,San Jose Sharks,18,194.00,44.62,0.06,0.23,88.00,94.20,-6.20,NA,NA,2.20,0.00,NHL
2010,Anaheim Ducks,19,188.00,35.72,-0.09,0.19,85.00,90.20,-5.20,NA,NA,2.21,0.00,NHL
2010,Edmonton Oilers,20,183.00,100.65,0.10,0.55,87.00,78.80,8.20,NA,NA,2.10,22.32,NHL
2010,Buffalo Sabres,21,169.00,50.70,0.00,0.30,81.00,88.90,-7.90,NA,NA,2.09,0.00,NHL
2010,Florida Panthers,22,168.00,95.76,0.06,0.57,76.00,85.60,-9.60,NA,NA,2.21,0.00,NHL
2010,St Louis Blues,23,165.00,120.45,-0.06,0.73,79.00,85.20,-6.20,NA,NA,2.09,0.00,NHL
2010,Carolina Hurricanes,24,162.00,129.60,-0.09,0.80,75.00,82.30,-7.30,NA,NA,2.16,0.00,NHL
2010,Columbus Blue Jackets,25,153.00,44.37,-0.07,0.29,76.00,83.30,-7.30,NA,NA,2.01,0.00,NHL
2010,New York Islanders,26,151.00,99.66,0.01,0.66,63.00,67.50,-4.50,NA,NA,2.40,0.00,NHL
2010,Nashville Predators,27,148.00,81.40,-0.05,0.55,74.00,79.50,-5.50,NA,NA,2.00,0.00,NHL
2010,Tampa Bay Lightning,28,145.00,44.95,-0.24,0.31,76.00,83.90,-7.90,NA,NA,1.91,0.00,NHL
2010,Atlanta Thrashers,29,135.00,64.80,-0.05,0.48,71.00,79.00,-8.00,NA,NA,1.90,0.00,NHL
2010,Phoenix Coyotes,30,134.00,34.84,-0.03,0.26,67.00,87.10,-20.10,NA,NA,2.00,0.00,NHL
2009,Toronto Maple Leafs,1,470.00,145.70,0.05,0.31,168.00,89.10,78.90,NA,NA,2.80,5.96,NHL
2009,New York Rangers,2,416.00,0.00,0.01,0.00,139.00,111.30,27.70,NA,NA,2.99,15.02,NHL
2009,Montreal Canadiens,3,339.00,240.69,0.02,0.71,130.00,98.70,31.30,NA,NA,2.61,10.83,NHL
2009,Detroit Red Wings,4,337.00,0.00,0.11,0.00,130.00,102.60,27.40,NA,NA,2.59,12.30,NHL
2009,Philadelphia Flyers,5,273.00,65.52,-0.01,0.24,101.00,97.90,3.10,NA,NA,2.70,88.06,NHL
2009,Boston Bruins,6,271.00,119.24,0.03,0.44,108.00,96.40,11.60,NA,NA,2.51,23.36,NHL
2009,Chicago Blackhawks,7,258.00,0.00,0.26,0.00,108.00,87.10,20.90,NA,NA,2.39,12.34,NHL
2009,Dallas Stars,8,246.00,199.26,-0.10,0.81,97.00,84.60,12.40,NA,NA,2.54,19.84,NHL
2009,Vancouver Canucks,9,239.00,109.94,0.01,0.46,109.00,88.70,20.30,NA,NA,2.19,11.77,NHL
2009,New Jersey Devils,10,223.00,249.76,0.00,1.12,97.00,95.60,1.40,NA,NA,2.30,159.29,NHL
2009,Pittsburgh Penguins,11,222.00,99.90,0.14,0.45,93.00,89.70,3.30,NA,NA,2.39,67.27,NHL
2009,Minnesota Wild,12,210.00,113.40,-0.03,0.54,95.00,93.70,1.30,NA,NA,2.21,161.54,NHL
2009,Los Angeles Kings,13,208.00,164.32,-0.01,0.79,92.00,81.40,10.60,NA,NA,2.26,19.62,NHL
2009,Anaheim Ducks,14,206.00,35.02,0.02,0.17,94.00,89.20,4.80,NA,NA,2.19,42.92,NHL
2009,Colorado Avalanche,15,205.00,32.80,-0.11,0.16,84.00,80.60,3.40,NA,NA,2.44,60.29,NHL
2009,Calgary Flames,16,200.00,30.00,-0.02,0.15,95.00,95.80,-0.80,NA,NA,2.11,0.00,NHL
2009,Ottawa Senators,17,197.00,130.02,-0.05,0.66,90.00,93.80,-3.80,NA,NA,2.19,0.00,NHL
2009,Tampa Bay Lightning,18,191.00,105.05,-0.04,0.55,80.00,82.20,-2.20,NA,NA,2.39,0.00,NHL
2009,San Jose Sharks,19,184.00,44.16,0.03,0.24,84.00,89.00,-5.00,NA,NA,2.19,0.00,NHL
2009,Washington Capitals,20,183.00,67.71,0.15,0.37,83.00,87.90,-4.90,NA,NA,2.20,0.00,NHL
2009,Carolina Hurricanes,21,177.00,90.27,0.05,0.51,82.00,86.60,-4.60,NA,NA,2.16,0.00,NHL
2009,St Louis Blues,22,176.00,119.68,0.09,0.68,80.00,82.70,-2.70,NA,NA,2.20,0.00,NHL
2009,Buffalo Sabres,23,170.00,49.30,0.01,0.29,79.00,84.20,-5.20,NA,NA,2.15,0.00,NHL
2009,Edmonton Oilers,24,166.00,99.60,-0.05,0.60,83.00,73.60,9.40,NA,NA,2.00,17.66,NHL
2009,Columbus Blue Jackets,25,165.00,44.55,0.05,0.27,77.00,86.90,-9.90,NA,NA,2.14,0.00,NHL
2009,Florida Panthers,26,159.00,79.50,-0.02,0.50,74.00,87.60,-13.60,NA,NA,2.15,0.00,NHL
2009,Nashville Predators,27,156.00,81.12,-0.05,0.52,71.00,76.70,-5.70,NA,NA,2.20,0.00,NHL
2009,New York Islanders,28,149.00,99.83,-0.03,0.67,62.00,67.60,-5.60,NA,NA,2.40,0.00,NHL
2009,Atlanta Thrashers,29,143.00,65.78,-0.10,0.46,68.00,69.80,-1.80,NA,NA,2.10,0.00,NHL
2009,Phoenix Coyotes,30,138.00,139.38,-0.03,1.01,66.00,84.50,-18.50,NA,NA,2.09,0.00,NHL
2008,Toronto Maple Leafs,1,448.00,156.80,0.09,0.35,160.00,93.60,66.40,NA,NA,2.80,6.75,NHL
2008,New York Rangers,2,411.00,0.00,0.12,0.00,137.00,106.30,30.70,NA,NA,3.00,13.39,NHL
2008,Montreal Canadiens,3,334.00,240.48,0.18,0.72,139.00,99.40,39.60,NA,NA,2.40,8.43,NHL
2008,Detroit Red Wings,4,303.00,0.00,0.03,0.00,110.00,96.60,13.40,NA,NA,2.75,22.61,NHL
2008,Philadelphia Flyers,5,275.00,66.00,0.13,0.24,102.00,103.80,-1.80,NA,NA,2.70,0.00,NHL
2008,Dallas Stars,6,273.00,199.29,0.08,0.73,105.00,90.80,14.20,NA,NA,2.60,19.23,NHL
2008,Boston Bruins,7,263.00,120.98,0.08,0.46,97.00,100.00,-3.00,NA,NA,2.71,0.00,NHL
2008,Vancouver Canucks,8,236.00,110.92,0.12,0.47,107.00,87.80,19.20,NA,NA,2.21,12.29,NHL
2008,Colorado Avalanche,9,231.00,48.51,0.08,0.21,91.00,88.70,2.30,NA,NA,2.54,100.43,NHL
2008,New Jersey Devils,10,222.00,250.86,0.14,1.13,97.00,95.10,1.90,NA,NA,2.29,116.84,NHL
2008,Minnesota Wild,11,217.00,112.84,0.21,0.52,94.00,93.30,0.70,NA,NA,2.31,310.00,NHL
2008,Los Angeles Kings,12,210.00,182.70,0.00,0.87,91.00,89.80,1.20,NA,NA,2.31,175.00,NHL
2008,Ottawa Senators,13,207.00,130.41,0.12,0.63,96.00,91.30,4.70,NA,NA,2.16,44.04,NHL
2008,Chicago Blackhawks,14,205.00,0.00,0.14,0.00,79.00,77.60,1.40,NA,NA,2.59,146.43,NHL
2008,Calgary Flames,15,203.00,30.45,0.24,0.15,97.00,89.60,7.40,NA,NA,2.09,27.43,NHL
2008,Anaheim Ducks,16,202.00,34.34,0.03,0.17,90.00,89.00,1.00,NA,NA,2.24,202.00,NHL
2008,Tampa Bay Lightning,17,200.00,106.00,0.01,0.53,84.00,82.80,1.20,NA,NA,2.38,166.67,NHL
2008,Pittsburgh Penguins,18,195.00,99.45,0.26,0.51,87.00,81.90,5.10,NA,NA,2.24,38.24,NHL
2008,San Jose Sharks,19,179.00,44.75,0.09,0.25,85.00,82.60,2.40,NA,NA,2.11,74.58,NHL
2008,Edmonton Oilers,20,175.00,0.00,0.11,0.00,85.00,73.20,11.80,NA,NA,2.06,14.83,NHL
2008,Buffalo Sabres,21,169.00,50.70,0.04,0.30,76.00,84.90,-8.90,NA,NA,2.22,0.00,NHL
2008,Carolina Hurricanes,22,168.00,90.72,0.08,0.54,75.00,86.50,-11.50,NA,NA,2.24,0.00,NHL
2008,Nashville Predators,23,164.00,80.36,0.14,0.49,70.00,71.30,-1.30,NA,NA,2.34,0.00,NHL
2008,Florida Panthers,24,163.00,79.87,0.08,0.49,74.00,83.40,-9.40,NA,NA,2.20,0.00,NHL
2008,St Louis Blues,25,162.00,119.88,0.12,0.74,73.00,81.60,-8.60,NA,NA,2.22,0.00,NHL
2008,Washington Capitals,26,160.00,68.80,0.10,0.43,73.00,79.90,-6.90,NA,NA,2.19,0.00,NHL
2008,Atlanta Thrashers,27,158.00,69.52,0.06,0.44,70.00,76.10,-6.10,NA,NA,2.26,0.00,NHL
2008,Columbus Blue Jackets,28,157.00,45.53,0.04,0.29,71.00,78.10,-7.10,NA,NA,2.21,0.00,NHL
2008,New York Islanders,29,154.00,100.10,0.03,0.65,64.00,72.80,-8.80,NA,NA,2.41,0.00,NHL
2008,Phoenix Coyotes,30,142.00,89.46,-0.03,0.63,68.00,77.70,-9.70,NA,NA,2.09,0.00,NHL
2007,Toronto Maple Leafs,1,413.00,161.07,0.24,0.39,138.00,85.30,52.70,NA,NA,2.99,7.84,NHL
2007,New York Rangers,2,365.00,0.00,0.19,0.00,122.00,96.60,25.40,NA,NA,2.99,14.37,NHL
2007,Detroit Red Wings,3,293.00,90.83,0.14,0.31,109.00,94.60,14.40,NA,NA,2.69,20.35,NHL
2007,Montreal Canadiens,4,283.00,240.55,0.23,0.85,109.00,83.80,25.20,NA,NA,2.60,11.23,NHL
2007,Dallas Stars,5,254.00,200.66,0.02,0.79,91.00,80.50,10.50,NA,NA,2.79,24.19,NHL
2007,Philadelphia Flyers,6,244.00,65.88,-0.01,0.27,87.00,81.30,5.70,NA,NA,2.80,42.81,NHL
2007,Boston Bruins,7,243.00,119.07,0.03,0.49,87.00,87.60,-0.60,NA,NA,2.79,0.00,NHL
2007,Colorado Avalanche,8,214.00,51.36,-0.03,0.24,79.00,72.40,6.60,NA,NA,2.71,32.42,NHL
2007,Vancouver Canucks,9,211.00,109.72,0.10,0.52,96.00,83.20,12.80,NA,NA,2.20,16.48,NHL
2007,Los Angeles Kings,10,209.00,190.19,0.02,0.91,84.00,82.00,2.00,NA,NA,2.49,104.50,NHL
2007,Tampa Bay Lightning,11,199.00,49.75,0.16,0.25,85.00,84.40,0.60,NA,NA,2.34,331.67,NHL
2007,Anaheim Ducks,12,197.00,0.00,0.25,0.00,89.00,82.40,6.60,NA,NA,2.21,29.85,NHL
2007,New Jersey Devils,13,195.00,249.60,0.31,1.28,65.00,80.30,-15.30,NA,NA,3.00,0.00,NHL
2007,Ottawa Senators,14,186.00,109.74,0.17,0.59,93.00,82.60,10.40,NA,NA,2.00,17.88,NHL
2007,Minnesota Wild,15,180.00,127.80,0.10,0.71,78.00,79.70,-1.70,NA,NA,2.31,0.00,NHL
2007,Chicago Blackhawks,16,179.00,0.00,0.07,0.00,69.00,72.60,-3.60,NA,NA,2.59,0.00,NHL
2007,San Jose Sharks,17,165.00,44.55,0.13,0.27,72.00,77.10,-5.10,NA,NA,2.29,0.00,NHL
2007,Calgary Flames,18,164.00,19.68,0.21,0.12,77.00,77.70,-0.70,NA,NA,2.13,0.00,NHL
2007,Buffalo Sabres,19,162.00,50.22,0.09,0.31,74.00,78.90,-4.90,NA,NA,2.19,0.00,NHL
2007,Edmonton Oilers,20,157.00,29.83,0.08,0.19,71.00,61.10,9.90,NA,NA,2.21,15.86,NHL
2007,Carolina Hurricanes,21,156.00,90.48,0.08,0.58,68.00,75.50,-7.50,NA,NA,2.29,0.00,NHL
2007,Pittsburgh Penguins,22,155.00,100.75,0.17,0.65,67.00,58.90,8.10,NA,NA,2.31,19.14,NHL
2007,Florida Panthers,23,151.00,49.83,0.06,0.33,67.00,74.10,-7.10,NA,NA,2.25,0.00,NHL
2007,Columbus Blue Jackets,24,150.00,45.00,0.08,0.30,68.00,73.60,-5.60,NA,NA,2.21,0.00,NHL
2007,New York Islanders,25,149.00,99.83,0.06,0.67,60.00,71.60,-11.60,NA,NA,2.48,0.00,NHL
2007,Atlanta Thrashers,26,148.00,71.04,0.16,0.48,67.00,73.50,-6.50,NA,NA,2.21,0.00,NHL
2007,Phoenix Coyotes,27,147.00,89.67,0.03,0.61,67.00,78.40,-11.40,NA,NA,2.19,0.00,NHL
2007,Washington Capitals,28,145.00,68.15,0.14,0.47,66.00,65.00,1.00,NA,NA,2.20,145.00,NHL
2007,St Louis Blues,29,144.00,119.52,-0.03,0.83,66.00,71.50,-5.50,NA,NA,2.18,0.00,NHL
2007,Nashville Predators,30,143.00,37.18,0.07,0.26,65.00,74.40,-9.40,NA,NA,2.20,0.00,NHL
2006,Toronto Maple Leafs,1,332.00,172.64,0.18,0.52,119.00,77.50,41.50,NA,NA,2.79,8.00,NHL
2006,New York Rangers,2,306.00,250.92,0.09,0.82,109.00,91.30,17.70,NA,NA,2.81,17.29,NHL
2006,Detroit Red Wings,3,258.00,90.30,0.04,0.35,89.00,83.20,5.80,NA,NA,2.90,44.48,NHL
2006,Dallas Stars,4,248.00,200.88,-0.04,0.81,89.00,79.00,10.00,NA,NA,2.79,24.80,NHL
2006,Philadelphia Flyers,5,246.00,63.96,-0.07,0.26,88.00,87.10,0.90,NA,NA,2.80,273.33,NHL
2006,Boston Bruins,6,235.00,119.85,0.00,0.51,86.00,81.20,4.80,NA,NA,2.73,48.96,NHL
2006,Montreal Canadiens,7,230.00,239.20,0.18,1.04,90.00,72.50,17.50,NA,NA,2.56,13.14,NHL
2006,Colorado Avalanche,8,219.00,54.75,-0.11,0.25,81.00,75.10,5.90,NA,NA,2.70,37.12,NHL
2006,Los Angeles Kings,9,205.00,196.80,0.06,0.96,82.00,74.90,7.10,NA,NA,2.50,28.87,NHL
2006,Vancouver Canucks,10,192.00,109.44,0.30,0.57,80.00,78.90,1.10,NA,NA,2.40,174.55,NHL
2006,Tampa Bay Lightning,11,172.00,49.88,0.15,0.29,82.00,77.00,5.00,NA,NA,2.10,34.40,NHL
2006,Chicago Blackhawks,12,168.00,0.00,-0.06,0.00,67.00,63.90,3.10,NA,NA,2.51,54.19,NHL
2006,Minnesota Wild,13,163.00,128.77,0.00,0.79,71.00,66.30,4.70,NA,NA,2.30,34.68,NHL
2006,Ottawa Senators,14,159.00,23.85,0.27,0.15,76.00,71.80,4.20,NA,NA,2.09,37.86,NHL
2006,Anaheim Ducks,15,157.00,0.00,0.45,0.00,75.00,75.20,-0.20,NA,NA,2.09,0.00,NHL
2006,St Louis Blues,16,150.00,120.00,0.07,0.80,66.00,65.00,1.00,NA,NA,2.27,150.00,NHL
2006,Buffalo Sabres,17,149.00,50.66,0.45,0.34,70.00,65.40,4.60,NA,NA,2.13,32.39,NHL
2006,New Jersey Devils,18,148.00,78.44,0.19,0.53,62.00,68.70,-6.70,NA,NA,2.39,0.00,NHL
2006,Edmonton Oilers,19,146.00,27.74,0.40,0.19,75.00,64.30,10.70,NA,NA,1.95,13.64,NHL
2006,San Jose Sharks,20,145.00,44.95,-0.02,0.31,69.00,67.20,1.80,NA,NA,2.10,80.56,NHL
2006,Carolina Hurricanes,21,144.00,90.72,0.44,0.63,72.00,71.50,0.50,NA,NA,2.00,288.00,NHL
2006,Phoenix Coyotes,22,143.00,70.07,0.05,0.49,63.00,69.00,-6.00,NA,NA,2.27,0.00,NHL
2006,Florida Panthers,23,142.00,49.70,0.18,0.35,65.00,66.90,-1.90,NA,NA,2.18,0.00,NHL
2006,New York Islanders,24,140.00,99.40,-0.12,0.71,56.00,65.20,-9.20,NA,NA,2.50,0.00,NHL
2006,Columbus Blue Jackets,25,139.00,44.48,0.00,0.32,66.00,70.00,-4.00,NA,NA,2.11,0.00,NHL
2006,Calgary Flames,26,135.00,18.90,0.17,0.14,68.00,65.70,2.30,NA,NA,1.99,58.70,NHL
2006,Nashville Predators,27,134.00,37.52,0.21,0.28,61.00,62.10,-1.10,NA,NA,2.20,0.00,NHL
2006,Pittsburgh Penguins,28,133.00,50.54,0.31,0.38,63.00,58.20,4.80,NA,NA,2.11,27.71,NHL
2006,Atlanta Thrashers,29,128.00,70.40,0.21,0.55,64.00,69.40,-5.40,NA,NA,2.00,0.00,NHL
2006,Washington Capitals,30,127.00,68.58,0.10,0.54,63.00,58.40,4.60,NA,NA,2.02,27.61,NHL
2005,New York Rangers¾,1,282.00,250.98,0.04,0.89,118.00,121.30,-3.30,NA,NA,2.39,0.00,NHL
2005,Toronto Maple Leafs¾,2,280.00,109.20,0.07,0.39,117.00,102.90,14.10,NA,NA,2.39,19.86,NHL
2005,Philadelphia Flyers¾,3,264.00,66.00,0.05,0.25,106.00,110.10,-4.10,NA,NA,2.49,0.00,NHL
