,team,team,wiki_url,logo_image_url,colors,city,state.abb,country,name,team_id,dbpedia_url,dbpedia_data_json,sports_reference_URL,league
1,Anaheim Ducks,Anaheim,wikipedia.org/wiki/Anaheim_Ducks,http://upload.wikimedia.org/wikipedia/en/thumb/7/72/Anaheim_Ducks.svg/400px-Anaheim_Ducks.svg.png,"Black, Metallic Gold, Orange, White",Anaheim,CA,US,Ducks,ANA,live.dbpedia.org/resource/Anaheim_Ducks,live.dbpedia.org/data/Anaheim_Ducks.json,http://www.hockey-reference.com/teams/ANA/,NHL
2,Atlanta Thrashers,Atlanta,wikipedia.org/wiki/Atlanta_Thrashers,http://upload.wikimedia.org/wikipedia/en/thumb/0/02/Atlanta_Thrashers.svg/400px-Atlanta_Thrashers.svg.png,"Atlanta Midnight Blue, Thrasher Ice Blue, Georgia Bronze, Capitol Copper, Peachtree Gold, White",Atlanta,GA,US,Thrashers,WPG,live.dbpedia.org/resource/Atlanta_Thrashers,live.dbpedia.org/data/Atlanta_Thrashers.json,http://www.hockey-reference.com/teams/WPG/,NHL
3,Boston Bruins,Boston,wikipedia.org/wiki/Boston_Bruins,http://upload.wikimedia.org/wikipedia/en/thumb/1/12/Boston_Bruins.svg/400px-Boston_Bruins.svg.png,"Black, gold, and white",Boston,MA,US,Bruins,BOS,live.dbpedia.org/resource/Boston_Bruins,live.dbpedia.org/data/Boston_Bruins.json,http://www.hockey-reference.com/teams/BOS/,NHL
4,Buffalo Sabres,Buffalo,wikipedia.org/wiki/Buffalo_Sabres,http://upload.wikimedia.org/wikipedia/en/thumb/9/9e/Buffalo_Sabres_Logo.svg/400px-Buffalo_Sabres_Logo.svg.png,"Navy, Gold, Aluminum Silver and White",Buffalo,NY,US,Sabres,BUF,live.dbpedia.org/resource/Buffalo_Sabres,live.dbpedia.org/data/Buffalo_Sabres.json,http://www.hockey-reference.com/teams/BUF/,NHL
5,Calgary Flames,Calgary,wikipedia.org/wiki/Calgary_Flames,http://upload.wikimedia.org/wikipedia/en/3/33/WCP-Uniform-CGY.png,"Red, gold, black, white",Calgary,AB,CA,Flames,CGY,live.dbpedia.org/resource/Calgary_Flames,live.dbpedia.org/data/Calgary_Flames.json,http://www.hockey-reference.com/teams/CGY/,NHL
6,Carolina Hurricanes,Carolina,wikipedia.org/wiki/Carolina_Hurricanes,http://upload.wikimedia.org/wikipedia/en/thumb/3/32/Carolina_Hurricanes.svg/400px-Carolina_Hurricanes.svg.png,"Red, Black, White",Raleigh,NC,US,Hurricanes,CAR,live.dbpedia.org/resource/Carolina_Hurricanes,live.dbpedia.org/data/Carolina_Hurricanes.json,http://www.hockey-reference.com/teams/CAR/,NHL
7,Chicago Blackhawks,Chicago,wikipedia.org/wiki/Chicago_Blackhawks,http://upload.wikimedia.org/wikipedia/en/thumb/d/d3/ChicagoBlackhawksLogo.svg/400px-ChicagoBlackhawksLogo.svg.png,"Red, black, white",Chicago,IL,US,Blackhawks,CHI,live.dbpedia.org/resource/Chicago_Blackhawks,live.dbpedia.org/data/Chicago_Blackhawks.json,http://www.hockey-reference.com/teams/CHI/,NHL
8,Colorado Avalanche,Colorado,wikipedia.org/wiki/Colorado_Avalanche,http://upload.wikimedia.org/wikipedia/en/thumb/4/45/Colorado_Avalanche_logo.svg/400px-Colorado_Avalanche_logo.svg.png,"Burgundy, steel blue, black, silver, white",Denver,CO,US,Avalanche,COL,live.dbpedia.org/resource/Colorado_Avalanche,live.dbpedia.org/data/Colorado_Avalanche.json,http://www.hockey-reference.com/teams/COL/,NHL
9,Columbus Blue Jackets,Columbus,wikipedia.org/wiki/Columbus_Blue_Jackets,http://upload.wikimedia.org/wikipedia/en/thumb/0/04/Columbus_BlueJackets.svg/400px-Columbus_BlueJackets.svg.png,"Union blue, goal red, capital silver, white",Columbus,OH,US,Blue Jackets,CBJ,live.dbpedia.org/resource/Columbus_Blue_Jackets,live.dbpedia.org/data/Columbus_Blue_Jackets.json,http://www.hockey-reference.com/teams/CBJ/,NHL
10,Dallas Stars,Dallas,wikipedia.org/wiki/Dallas_Stars,http://upload.wikimedia.org/wikipedia/en/thumb/5/50/New_Dallas_Stars.png/400px-New_Dallas_Stars.png,"Burgundy, steel blue, black, silver, white",Dallas,TX,US,Stars,DAL,live.dbpedia.org/resource/Dallas_Stars,live.dbpedia.org/data/Dallas_Stars.json,http://www.hockey-reference.com/teams/DAL/,NHL
