rank,team,value,value_change,debt_percent,revenue,operating_income,year
1,Manchester United,"1,453",84,6,310,92,2007
2,Real Madrid,"1,036",10,2,374,83,2007
3,Arsenal,915,53,9,246,20,2007
4,Bayern Munich,838,0,9,262,62,2007
5,AC Milan,824,0,-10,305,46,2007
6,Juventus,567,17,-18,321,45,2007
7,Internazionale Milan,555,NA,10,264,26,2007
8,Chelsea,537,28,6,283,-37,2007
9,Barcelona,535,12,22,331,12,2007
10,Schalke 04,471,53,45,157,37,2007
11,Liverpool,454,18,28,225,37,2007
12,Olympique Lyonnais,343,NA,65,163,10,2007
13,Newcastle United,260,46,-14,159,11,2007
14,Tottenham Hotspur,243,0,27,137,9,2007
15,AS Roma,224,0,-15,162,53,2007
16,Hamburg SV,221,NA,NA,130,31,2007
17,Manchester City,208,83,-6,114,9,2007
18,Borussia Dortmund,199,126,61,114,1,2007
19,Ajax Amsterdam,196,0,13,95,9,2007
20,Celtic,185,14,18,106,7,2007
21,Everton,165,32,34,107,-15,2007
22,Olympique Marseille,157,NA,NA,105,6,2007
23,West Ham United,156,27,NA,111,6,2007
24,Glasgow Rangers,147,7,32,113,12,2007
25,Aston Villa,140,16,16,91,-21,2007
1,Manchester United,"1,800",60,24,394,111,2008
2,Real Madrid,"1,285",27,24,474,112,2008
3,Arsenal,"1,200",43,31,329,77,2008
4,Liverpool,"1,050",65,131,269,60,2008
5,Bayern Munich,917,0,9,302,72,2008
6,AC Milan,798,0,-3,307,54,2008
7,Barcelona,784,7,47,392,92,2008
8,Chelsea,764,0,42,382,-5,2008
9,Juventus,510,5,-10,196,35,2008
10,Schalke 04,470,48,0,154,36,2008
11,AS Roma,434,12,94,213,48,2008
12,Tottenham Hotspur,414,15,70,207,64,2008
13,Olympique Lyonnais,408,7,19,190,15,2008
14,Inter Milan,403,0,-27,207,21,2008
15,Borussia Dortmund,323,57,63,122,31,2008
16,Newcastle United,300,43,16,175,12,2008
17,Hamburg SV,293,0,32,163,41,2008
18,Werder Bremen,262,0,NA,131,11,2008
19,Valencia,254,159,31,145,-49,2008
20,Celtic,227,11,23,151,48,2008
21,Everton,197,30,24,103,-1,2008
22,West Ham United,195,23,25,115,-22,2008
23,Manchester City,191,63,-8,114,27,2008
24,Aston Villa,190,12,36,106,-40,2008
25,Olympique Marseille,187,0,19,134,13,2008
2,Real Madrid,"1,353",23,5,576,81,2009
3,Arsenal,"1,200",107,0,349,80,2009
4,Bayern Munich,"1,110",0,21,465,59,2009
5,Liverpool,"1,010",59,-4,332,50,2009
6,AC Milan,990,0,24,330,58,2009
7,Barcelona,960,7,22,487,108,2009
8,Chelsea,800,92,5,424,-13,2009
9,Juventus,600,5,18,264,46,2009
10,Schalke 04,510,38,9,234,41,2009
11,Tottenham Hotspur,445,29,8,228,70,2009
12,Olympique Lyonnais,423,18,4,245,94,2009
13,AS Roma,381,9,-12,276,69,2009
14,Internazionale Milan,370,77,-8,272,27,2009
15,Hamburg SV,330,0,13,202,44,2009
16,Borussia Dortmund,325,33,1,183,9,2009
17,Manchester City,310,0,62,164,-16,2009
18,Werder Bremen,292,0,12,177,27,2009
19,Newcastle United,285,96,-5,198,-13,2009
20,VfB Stuttgart,264,0,NA,176,18,2009
21,Aston Villa,240,10,26,150,1,2009
21,Olympique Marseille,240,0,28,200,20,2009
23,Celtic,218,14,-4,145,11,2009
24,Everton,207,49,5,151,14,2009
25,Glasgow Rangers,194,86,NA,128,15,2009
1,Manchester United,"1,835",46,-2,459,150,2010
2,Real Madrid,"1,323",54,-2,563,130,2010
3,Arsenal,"1,181",41,-2,369,102,2010
4,Barcelona,"1,000",0,4,513,113,2010
5,Bayern Munich,990,14,-11,406,61,2010
6,Liverpool,822,47,-19,304,37,2010
7,AC Milan,800,0,-19,276,41,2010
8,Juventus,656,3,9,285,57,2010
9,Chelsea,646,8,-19,340,-73,2010
10,Inter Milan,413,0,12,276,-14,2010
11,Schalke 04,384,50,-25,175,-7,2010
12,Tottenham Hotspur,372,29,-16,186,35,2010
13,Olympique Lyonnais,333,10,-21,196,5,2010
14,Hamburg SV,329,0,0,206,41,2010
15,AS Roma,308,0,-19,205,25,2010
16,Werder Bremen,274,0,-6,161,24,2010
17,Olympique Marseille,262,0,9,187,19,2010
18,Borussia Dortmund,261,32,-20,145,8,2010
19,Manchester City,258,0,-17,143,-56,2010
20,Newcastle United,198,8,-30,142,-49,2010
1,Manchester United,"1,864",1,,428,,2011
2,Real Madrid,"1,400",10,,537,,2011
3,Arsenal,"1,200",1,,336,,2011
4,Bayern Munich,"1,100",6,,396,,2011
5,Barcelona,975,-2,,488,,2011
6,Milan,838,5,,289,,2011
7,Chelsea,658,2,,313,,2011
8,Juventus,628,-4,,251,,2011
9,Liverpool,552,-33,,276,,2011
10,Internazionale,275,,,,,2011
11,Tottenham Hotspur F.C.,412,11,,179,,2011
12,Schalke,377,-2,,171,,2011
13,Lyon,358,8,,179,,2011
14,Hamburg,340,3,,179,,2011
15,Manchester City,291,13,,153,,2011
16,Stuttgart,281,0,,141,,2011
17,Werder Bremen,279,2,,147,,2011
18,Marseille,277,6,,173,,2011
19,Atlético Madrid,275,6,,153,,2011
20,Borussia Dortmund,260,-1,,124,,2011
1,Manchester United,"2,235",20,32,532,178,2012
2,Real Madrid,"1,877",29,13,695,214,2012
3,Barcelona,"1,307",34,54,653,96,2012
4,Arsenal,"1,292",8,32,364,98,2012
5,Bayern Munich,"1,235",18,13,466,90,2012
6,AC Milan,989,18,9,341,29,2012
7,Chelsea,761,16,22,362,76,2012
8,Liverpool,619,12,8,295,45,2012
9,Juventus,591,-8,15,223,-38,2012
10,Schalke 04,587,56,40,293,101,2012
11,Tottenham Hotspur,564,37,16,262,60,2012
12,Inter Milan,490,11,15,307,-84,2012
13,Manchester City,443,52,12,246,-123,2012
14,Borussia Dortmund,394,52,18,197,33,2012
15,Olympique Lyonnais,385,8,12,193,-3,2012
16,Hamburg SV,355,4,0,187,17,2012
17,AS Roma,354,38,0,208,2,2012
18,Olympique Marseille,349,26,15,218,17,2012
19,Valencia,288,-,186,169,23,2012
20,Napoli,283,-,9,167,58,2012
1,Real Madrid,"3,300",76,5,650,170,2013
2,Manchester United,"3,165",42,18,502,144,2013
3,Barcelona,"2,600",99,6,613,160,2013
4,Arsenal,"1,326",3,29,368,55,2013
5,Bayern Munich,"1,309",6,5,468,88,2013
6,AC Milan,945,-4,5,326,19,2013
7,Chelsea,901,18,0,409,82,2013
8,Juventus,694,17,12,248,20,2013
9,Manchester City,689,56,7,362,-53,2013
10,Liverpool,651,5,17,296,19,2013
11,Tottenham Hotspur,520,-8,15,226,36,2013
12,Schalke 04,498,-15,0,221,47,2013
13,Borussia Dortmund,456,16,18,240,54,2013
14,Inter Milan,401,-18,16,236,-89,2013
15,Olympique Lyonnais,368,-4,8,167,-6,2013
16,Corinthians Paulista,358,-,15,119,10,2013
17,Napoli,330,16,0,188,76,2013
18,Hamburg SV,300,-16,13,154,6,2013
19,Olympique Marseille,285,-18,27,167,-13,2013
20,Newcastle United,263,9,0,146,16,2013
