year,team,rank,value,value_change,revenue,expense,operating_income,debt_value,debt_percent,revenue_multiple,ebitda_multiple,league
2013,Real Madrid,1,3300.00,0.76,650.00,480.00,170.00,165.00,0.05,5.08,19.41,UEFA
2013,Manchester United,2,3165.00,0.42,502.00,358.00,144.00,569.70,0.18,6.30,21.98,UEFA
2013,Barcelona,3,2600.00,0.99,613.00,453.00,160.00,156.00,0.06,4.24,16.25,UEFA
2013,Arsenal,4,1326.00,0.03,368.00,313.00,55.00,384.54,0.29,3.60,24.11,UEFA
2013,Bayern Munich,5,1309.00,0.06,468.00,380.00,88.00,65.45,0.05,2.80,14.88,UEFA
2013,AC Milan,6,945.00,-0.04,326.00,307.00,19.00,47.25,0.05,2.90,49.74,UEFA
2013,Chelsea,7,901.00,0.18,409.00,327.00,82.00,0.00,0.00,2.20,10.99,UEFA
2013,Juventus,8,694.00,0.17,248.00,228.00,20.00,83.28,0.12,2.80,34.70,UEFA
2013,Manchester City,9,689.00,0.56,362.00,415.00,-53.00,48.23,0.07,1.90,0.00,UEFA
2013,Liverpool,10,651.00,5.00,296.00,277.00,19.00,110.67,0.17,2.20,34.26,UEFA
2013,Tottenham Hotspur,11,520.00,-8.00,226.00,190.00,36.00,78.00,0.15,2.30,14.44,UEFA
2013,Schalke 04,12,498.00,-15.00,221.00,174.00,47.00,0.00,0.00,2.25,10.60,UEFA
2013,Borussia Dortmund,13,456.00,16.00,240.00,186.00,54.00,82.08,0.18,1.90,8.44,UEFA
2013,Inter Milan,14,401.00,-18.00,236.00,325.00,-89.00,64.16,0.16,1.70,0.00,UEFA
2013,Olympique Lyonnais,15,368.00,-4.00,167.00,173.00,-6.00,29.44,0.08,2.20,0.00,UEFA
2013,Corinthians Paulista,16,358.00,0.00,119.00,109.00,10.00,53.70,0.15,3.01,35.80,UEFA
2013,Napoli,17,330.00,16.00,188.00,112.00,76.00,0.00,0.00,1.76,4.34,UEFA
2013,Hamburg SV,18,300.00,-16.00,154.00,148.00,6.00,39.00,0.13,1.95,50.00,UEFA
2013,Olympique Marseille,19,285.00,-18.00,167.00,180.00,-13.00,76.95,0.27,1.71,0.00,UEFA
2013,Newcastle United,20,263.00,9.00,146.00,130.00,16.00,0.00,0.00,1.80,16.44,UEFA
2012,Manchester United,1,2235.00,0.20,532.00,354.00,178.00,715.20,0.32,4.20,12.56,UEFA
2012,Real Madrid,2,1877.00,0.29,695.00,481.00,214.00,244.01,0.13,2.70,8.77,UEFA
2012,Barcelona,3,1307.00,0.34,653.00,557.00,96.00,705.78,0.54,2.00,13.61,UEFA
2012,Arsenal,4,1292.00,0.08,364.00,266.00,98.00,413.44,0.32,3.55,13.18,UEFA
2012,Bayern Munich,5,1235.00,0.18,466.00,376.00,90.00,160.55,0.13,2.65,13.72,UEFA
2012,AC Milan,6,989.00,0.18,341.00,312.00,29.00,89.01,0.09,2.90,34.10,UEFA
2012,Chelsea,7,761.00,0.16,362.00,286.00,76.00,167.42,0.22,2.10,10.01,UEFA
2012,Liverpool,8,619.00,0.12,295.00,250.00,45.00,49.52,0.08,2.10,13.76,UEFA
2012,Juventus,9,591.00,-0.08,223.00,261.00,-38.00,88.65,0.15,2.65,0.00,UEFA
2012,Schalke 04,10,587.00,56.00,293.00,192.00,101.00,234.80,0.40,2.00,5.81,UEFA
2012,Tottenham Hotspur,11,564.00,37.00,262.00,202.00,60.00,90.24,0.16,2.15,9.40,UEFA
2012,Inter Milan,12,490.00,11.00,307.00,391.00,-84.00,73.50,0.15,1.60,0.00,UEFA
2012,Manchester City,13,443.00,52.00,246.00,369.00,-123.00,53.16,0.12,1.80,0.00,UEFA
2012,Borussia Dortmund,14,394.00,52.00,197.00,164.00,33.00,70.92,0.18,2.00,11.94,UEFA
2012,Olympique Lyonnais,15,385.00,8.00,193.00,196.00,-3.00,46.20,0.12,1.99,0.00,UEFA
2012,Hamburg SV,16,355.00,4.00,187.00,170.00,17.00,0.00,0.00,1.90,20.88,UEFA
2012,AS Roma,17,354.00,38.00,208.00,206.00,2.00,0.00,0.00,1.70,177.00,UEFA
2012,Olympique Marseille,18,349.00,26.00,218.00,201.00,17.00,52.35,0.15,1.60,20.53,UEFA
2012,Valencia,19,288.00,0.00,169.00,146.00,23.00,535.68,1.86,1.70,12.52,UEFA
2012,Napoli,20,283.00,0.00,167.00,109.00,58.00,25.47,0.09,1.69,4.88,UEFA
2011,Manchester United,1,1864.00,0.01,428.00,NA,NA,NA,NA,4.36,NA,UEFA
2011,Real Madrid,2,1400.00,0.10,537.00,NA,NA,NA,NA,2.61,NA,UEFA
2011,Arsenal,3,1200.00,0.01,336.00,NA,NA,NA,NA,3.57,NA,UEFA
2011,Bayern Munich,4,1100.00,0.06,396.00,NA,NA,NA,NA,2.78,NA,UEFA
2011,Barcelona,5,975.00,-0.02,488.00,NA,NA,NA,NA,2.00,NA,UEFA
2011,Milan,6,838.00,0.05,289.00,NA,NA,NA,NA,2.90,NA,UEFA
2011,Chelsea,7,658.00,0.02,313.00,NA,NA,NA,NA,2.10,NA,UEFA
2011,Juventus,8,628.00,-0.04,251.00,NA,NA,NA,NA,2.50,NA,UEFA
2011,Liverpool,9,552.00,-0.33,276.00,NA,NA,NA,NA,2.00,NA,UEFA
2011,Tottenham Hotspur F.C.,11,412.00,11.00,179.00,NA,NA,NA,NA,2.30,NA,UEFA
2011,Schalke,12,377.00,-2.00,171.00,NA,NA,NA,NA,2.20,NA,UEFA
2011,Lyon,13,358.00,8.00,179.00,NA,NA,NA,NA,2.00,NA,UEFA
2011,Hamburg,14,340.00,3.00,179.00,NA,NA,NA,NA,1.90,NA,UEFA
2011,Manchester City,15,291.00,13.00,153.00,NA,NA,NA,NA,1.90,NA,UEFA
2011,Stuttgart,16,281.00,0.00,141.00,NA,NA,NA,NA,1.99,NA,UEFA
2011,Werder Bremen,17,279.00,2.00,147.00,NA,NA,NA,NA,1.90,NA,UEFA
