year,team,rank,value,value_change,revenue,expense,ebitda,debt_value,debt_percent,revenue_multiple,ebitda_multiple,debt_yield,ebitda_yield,league,,
2013,Real Madrid C.F.,1,3300,0.76,650,480,170,165,0.05,5.08,19.41,1.03,0.052,UEFA,,A.C. Milan
2013,Manchester United F.C.,2,3165,0.42,502,358,144,569.7,0.18,6.3,21.98,0.253,0.045,UEFA,,A.S. Roma
2013,FC Barcelona,3,2600,0.99,613,453,160,156,0.06,4.24,16.25,1.026,0.062,UEFA,,Ajax Amsterdam
2013,Arsenal F.C.,4,1326,0.03,368,313,55,384.54,0.29,3.6,24.11,0.143,0.041,UEFA,,Arsenal F.C.
2013,Bayern Munich,5,1309,0.06,468,380,88,65.45,0.05,2.8,14.88,1.345,0.067,UEFA,,Aston Villa F.C.
2013,A.C. Milan,6,945,-0.04,326,307,19,47.25,0.05,2.9,49.74,0.402,0.02,UEFA,,Atletico Madrid
2013,Chelsea F.C.,7,901,0.18,409,327,82,0,0,2.2,10.99,NA,0.091,UEFA,,Bayer 04 Leverkusen
2013,Juventus,8,694,0.17,248,228,20,83.28,0.12,2.8,34.7,0.24,0.029,UEFA,,Bayern Munich
2013,Manchester City F.C.,9,689,0.56,362,415,-53,48.23,0.07,1.9,0,0,0,UEFA,,Borussia Dortmund
2013,Liverpool F.C.,10,651,5,296,277,19,110.67,0.17,2.2,34.26,0.172,0.029,UEFA,,Celtic F.C.
2013,Tottenham Hotspur,11,520,-8,226,190,36,78,0.15,2.3,14.44,0.462,0.069,UEFA,,Chelsea F.C.
2013,Schalke,12,498,-15,221,174,47,0,0,2.25,10.6,NA,0.094,UEFA,,Corinthians Paulista
2013,Borussia Dortmund,13,456,16,240,186,54,82.08,0.18,1.9,8.44,0.658,0.118,UEFA,,Everton F.C.
2013,Internazionale Milan,14,401,-18,236,325,-89,64.16,0.16,1.7,0,0,0,UEFA,,FC Barcelona
2013,Olympique Lyonnais,15,368,-4,167,173,-6,29.44,0.08,2.2,0,0,0,UEFA,,FC Porto
2013,Corinthians Paulista,16,358,0,119,109,10,53.7,0.15,3.01,35.8,0.186,0.028,UEFA,,Glasgow Rangers
2013,S.S.C. Napoli,17,330,16,188,112,76,0,0,1.76,4.34,NA,0.23,UEFA,,Hamburg SV
2013,Hamburg SV,18,300,-16,154,148,6,39,0.13,1.95,50,0.154,0.02,UEFA,,Internazionale Milan
