"","games_name","rk","flag.bearer","participants","men","women","sports","gold","silver","bronze","total","top.medalist.s.","country_url","country","table_name","country_games_url","year","games"
"1","1900 Summer","14","","4","4","0","2",NA,NA,NA,NA,"","http://www.sports-reference.com/olympics/countries/RUS/","Russia","country_medals","http://www.sports-reference.com/olympics/countries/RUS/summer/1900/",1900,"Summer"
"2","1908 Summer","13","","6","6","0","3","1","2",NA,"3","3 athletes with 1 medal","http://www.sports-reference.com/olympics/countries/RUS/","Russia","country_medals","http://www.sports-reference.com/olympics/countries/RUS/summer/1908/",1908,"Summer"
"3","1912 Summer","12","M. E. Rayevsky","159","159","0","15",NA,"2","3","5","14 athletes with 1 medal","http://www.sports-reference.com/olympics/countries/RUS/","Russia","country_medals","http://www.sports-reference.com/olympics/countries/RUS/summer/1912/",1912,"Summer"
"4","1920 Summer","19","Harald Tammer","14","14","0","3","1","2",NA,"3","3 athletes with 1 medal","http://www.sports-reference.com/olympics/countries/EST/","Estonia","country_medals","http://www.sports-reference.com/olympics/countries/EST/summer/1920/",1920,"Summer"
"5","1924 Summer","11","","3","2","1","1",NA,NA,NA,NA,"","http://www.sports-reference.com/olympics/countries/RUS/","Russia","country_medals","http://www.sports-reference.com/olympics/countries/RUS/summer/1924/",1924,"Summer"
"6","1924 Summer","15","","13","13","0","2",NA,NA,NA,NA,"","http://www.sports-reference.com/olympics/countries/LTU/","Lithuania","country_medals","http://www.sports-reference.com/olympics/countries/LTU/summer/1924/",1924,"Summer"
"7","1924 Summer","18","ArvÌãåÇds Ìãå_ibilds","36","36","0","6",NA,NA,NA,NA,"","http://www.sports-reference.com/olympics/countries/LAT/","Latvia","country_medals","http://www.sports-reference.com/olympics/countries/LAT/summer/1924/",1924,"Summer"
"8","1924 Summer","18","JÌÄå_ri Lossman","37","37","0","5","1","1","4","6","6 athletes with 1 medal","http://www.sports-reference.com/olympics/countries/EST/","Estonia","country_medals","http://www.sports-reference.com/olympics/countries/EST/summer/1924/",1924,"Summer"
"9","1924 Winter","19","Roberts PlÌÉåÇme","2","2","0","2",NA,NA,NA,NA,"","http://www.sports-reference.com/olympics/countries/LAT/","Latvia","country_medals","http://www.sports-reference.com/olympics/countries/LAT/winter/1924/",1924,"Winter"
"10","1928 Summer","13","","12","11","1","4",NA,NA,NA,NA,"","http://www.sports-reference.com/olympics/countries/LTU/","Lithuania","country_medals","http://www.sports-reference.com/olympics/countries/LTU/summer/1928/",1928,"Summer"
"11","1928 Summer","16","Alberts Zvejnieks","17","15","2","6",NA,NA,NA,NA,"","http://www.sports-reference.com/olympics/countries/LAT/","Latvia","country_medals","http://www.sports-reference.com/olympics/countries/LAT/summer/1928/",1928,"Summer"
"12","1928 Summer","16","Gustav Kalkun","20","20","0","5","2","1","2","5","9 athletes with 1 medal","http://www.sports-reference.com/olympics/countries/EST/","Estonia","country_medals","http://www.sports-reference.com/olympics/countries/EST/summer/1928/",1928,"Summer"
"13","1928 Winter","14","","1","1","0","1",NA,NA,NA,NA,"","http://www.sports-reference.com/olympics/countries/LTU/","Lithuania","country_medals","http://www.sports-reference.com/olympics/countries/LTU/winter/1928/",1928,"Winter"
"14","1928 Winter","17","Alberts Rumba","1","1","0","1",NA,NA,NA,NA,"","http://www.sports-reference.com/olympics/countries/LAT/","Latvia","country_medals","http://www.sports-reference.com/olympics/countries/LAT/winter/1928/",1928,"Winter"
"15","1928 Winter","17","Eduard Hiiop","2","2","0","1",NA,NA,NA,NA,"","http://www.sports-reference.com/olympics/countries/EST/","Estonia","country_medals","http://www.sports-reference.com/olympics/countries/EST/winter/1928/",1928,"Winter"
"16","1932 Summer","15","JÌãåÅnis Dimza","5","5","0","2",NA,"1",NA,"1","JÌãåÅnis DÌãåÅliÌÉå ÌÉåÁ (1 medal)","http://www.sports-reference.com/olympics/countries/LAT/","Latvia","country_medals","http://www.sports-reference.com/olympics/countries/LAT/summer/1932/",1932,"Summer"
"17","1932 Summer","15","Osvald KÌÄå_pp","2","2","0","2",NA,NA,NA,NA,"","http://www.sports-reference.com/olympics/countries/EST/","Estonia","country_medals","http://www.sports-reference.com/olympics/countries/EST/summer/1932/",1932,"Summer"
