"","country","year_code","sport","athletes","total","gold","silver","bronze","image_url","dbpedia_url"
"1","USSR",1956,"Ice Hockey",17,17,17,0,0,"http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Flag_of_Russian_SFSR_%281918-1937%29.svg/200px-Flag_of_Russian_SFSR_%281918-1937%29.svg.png","live.dbpedia.org/page/USSR"
"2","USSR",1956,"Speed Skating",5,7,4,1,2,"http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Flag_of_Russian_SFSR_%281918-1937%29.svg/200px-Flag_of_Russian_SFSR_%281918-1937%29.svg.png","live.dbpedia.org/page/USSR"
"3","USSR",1956,"Cross Country Skiing",7,12,5,4,3,"http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Flag_of_Russian_SFSR_%281918-1937%29.svg/200px-Flag_of_Russian_SFSR_%281918-1937%29.svg.png","live.dbpedia.org/page/USSR"
"4","USSR",1956,"Alpine Skiing",1,1,0,0,1,"http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Flag_of_Russian_SFSR_%281918-1937%29.svg/200px-Flag_of_Russian_SFSR_%281918-1937%29.svg.png","live.dbpedia.org/page/USSR"
"5","USSR",1960,"Ice Hockey",17,17,0,0,17,"http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Flag_of_Russian_SFSR_%281918-1937%29.svg/200px-Flag_of_Russian_SFSR_%281918-1937%29.svg.png","live.dbpedia.org/page/USSR"
"6","USSR",1960,"Speed Skating",9,12,6,3,3,"http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Flag_of_Russian_SFSR_%281918-1937%29.svg/200px-Flag_of_Russian_SFSR_%281918-1937%29.svg.png","live.dbpedia.org/page/USSR"
"7","USSR",1960,"Cross Country Skiing",7,11,1,4,6,"http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Flag_of_Russian_SFSR_%281918-1937%29.svg/200px-Flag_of_Russian_SFSR_%281918-1937%29.svg.png","live.dbpedia.org/page/USSR"
"8","USSR",1960,"Biathlon",1,1,0,0,1,"http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Flag_of_Russian_SFSR_%281918-1937%29.svg/200px-Flag_of_Russian_SFSR_%281918-1937%29.svg.png","live.dbpedia.org/page/USSR"
"9","USSR",1960,"Nordic Combined",1,1,0,0,1,"http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Flag_of_Russian_SFSR_%281918-1937%29.svg/200px-Flag_of_Russian_SFSR_%281918-1937%29.svg.png","live.dbpedia.org/page/USSR"
"10","USSR",1964,"Ice Hockey",17,17,17,0,0,"http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Flag_of_Russian_SFSR_%281918-1937%29.svg/200px-Flag_of_Russian_SFSR_%281918-1937%29.svg.png","live.dbpedia.org/page/USSR"
"11","USSR",1964,"Speed Skating",8,12,5,5,2,"http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Flag_of_Russian_SFSR_%281918-1937%29.svg/200px-Flag_of_Russian_SFSR_%281918-1937%29.svg.png","live.dbpedia.org/page/USSR"
"12","USSR",1964,"Cross Country Skiing",8,13,5,1,7,"http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Flag_of_Russian_SFSR_%281918-1937%29.svg/200px-Flag_of_Russian_SFSR_%281918-1937%29.svg.png","live.dbpedia.org/page/USSR"
"13","USSR",1964,"Figure Skating",2,2,2,0,0,"http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Flag_of_Russian_SFSR_%281918-1937%29.svg/200px-Flag_of_Russian_SFSR_%281918-1937%29.svg.png","live.dbpedia.org/page/USSR"
"14","USSR",1964,"Nordic Combined",1,1,0,1,0,"http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Flag_of_Russian_SFSR_%281918-1937%29.svg/200px-Flag_of_Russian_SFSR_%281918-1937%29.svg.png","live.dbpedia.org/page/USSR"
"15","USSR",1964,"Biathlon",2,2,1,1,0,"http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Flag_of_Russian_SFSR_%281918-1937%29.svg/200px-Flag_of_Russian_SFSR_%281918-1937%29.svg.png","live.dbpedia.org/page/USSR"
"16","USSR",1968,"Figure Skating",4,4,2,2,0,"http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Flag_of_Russian_SFSR_%281918-1937%29.svg/200px-Flag_of_Russian_SFSR_%281918-1937%29.svg.png","live.dbpedia.org/page/USSR"
"17","USSR",1968,"Ice Hockey",18,18,18,0,0,"http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Flag_of_Russian_SFSR_%281918-1937%29.svg/200px-Flag_of_Russian_SFSR_%281918-1937%29.svg.png","live.dbpedia.org/page/USSR"
"18","USSR",1968,"Biathlon",4,6,4,1,1,"http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Flag_of_Russian_SFSR_%281918-1937%29.svg/200px-Flag_of_Russian_SFSR_%281918-1937%29.svg.png","live.dbpedia.org/page/USSR"
"19","USSR",1968,"Cross Country Skiing",4,6,0,2,4,"http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Flag_of_Russian_SFSR_%281918-1937%29.svg/200px-Flag_of_Russian_SFSR_%281918-1937%29.svg.png","live.dbpedia.org/page/USSR"
"20","USSR",1968,"Speed Skating",1,2,1,1,0,"http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Flag_of_Russian_SFSR_%281918-1937%29.svg/200px-Flag_of_Russian_SFSR_%281918-1937%29.svg.png","live.dbpedia.org/page/USSR"
"21","USSR",1968,"Ski Jumping",1,1,1,0,0,"http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Flag_of_Russian_SFSR_%281918-1937%29.svg/200px-Flag_of_Russian_SFSR_%281918-1937%29.svg.png","live.dbpedia.org/page/USSR"
"22","USSR",1972,"Ice Hockey",20,20,20,0,0,"http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Flag_of_Russian_SFSR_%281918-1937%29.svg/200px-Flag_of_Russian_SFSR_%281918-1937%29.svg.png","live.dbpedia.org/page/USSR"
