"","country","year_code","athletes","total","gold","silver","bronze","image_url","dbpedia_url"
"1","Latvia",1924,2,0,0,0,0,"http://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Flag_of_Latvia.svg/200px-Flag_of_Latvia.svg.png","live.dbpedia.org/page/Latvia"
"2","Estonia",1928,2,0,0,0,0,"http://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Flag_of_Estonia.svg/200px-Flag_of_Estonia.svg.png","live.dbpedia.org/page/Estonia"
"3","Latvia",1928,1,0,0,0,0,"http://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Flag_of_Latvia.svg/200px-Flag_of_Latvia.svg.png","live.dbpedia.org/page/Latvia"
"4","Lithuania",1928,1,0,0,0,0,"http://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Flag_of_Lithuania.svg/200px-Flag_of_Lithuania.svg.png","live.dbpedia.org/page/Lithuania"
"5","Estonia",1936,5,0,0,0,0,"http://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Flag_of_Estonia.svg/200px-Flag_of_Estonia.svg.png","live.dbpedia.org/page/Estonia"
"6","Latvia",1936,26,0,0,0,0,"http://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Flag_of_Latvia.svg/200px-Flag_of_Latvia.svg.png","live.dbpedia.org/page/Latvia"
"7","USSR",1956,53,37,26,5,6,"http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Flag_of_Russian_SFSR_%281918-1937%29.svg/200px-Flag_of_Russian_SFSR_%281918-1937%29.svg.png","live.dbpedia.org/page/USSR"
"8","USSR",1960,62,42,7,7,28,"http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Flag_of_Russian_SFSR_%281918-1937%29.svg/200px-Flag_of_Russian_SFSR_%281918-1937%29.svg.png","live.dbpedia.org/page/USSR"
"9","USSR",1964,69,47,30,8,9,"http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Flag_of_Russian_SFSR_%281918-1937%29.svg/200px-Flag_of_Russian_SFSR_%281918-1937%29.svg.png","live.dbpedia.org/page/USSR"
"10","USSR",1968,74,37,26,6,5,"http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Flag_of_Russian_SFSR_%281918-1937%29.svg/200px-Flag_of_Russian_SFSR_%281918-1937%29.svg.png","live.dbpedia.org/page/USSR"
"11","USSR",1972,76,45,36,6,3,"http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Flag_of_Russian_SFSR_%281918-1937%29.svg/200px-Flag_of_Russian_SFSR_%281918-1937%29.svg.png","live.dbpedia.org/page/USSR"
"12","USSR",1976,79,56,38,7,11,"http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Flag_of_Russian_SFSR_%281918-1937%29.svg/200px-Flag_of_Russian_SFSR_%281918-1937%29.svg.png","live.dbpedia.org/page/USSR"
