"","year_code","olympic_url"
"1",1924,"http://upload.wikimedia.org/wikipedia/commons/5/5c/1924WOlympicPoster.jpg"
"2",1928,"http://upload.wikimedia.org/wikipedia/en/c/c5/1928_Winter_Olympics_poster.jpg"
"3",1936,"http://upload.wikimedia.org/wikipedia/en/thumb/2/25/1936_Winter_Olympics_logo.png/300px-1936_Winter_Olympics_logo.png"
"4",1956,"http://upload.wikimedia.org/wikipedia/en/8/8f/1956_Winter_Olympics_logo.png"
"5",1960,"http://upload.wikimedia.org/wikipedia/en/thumb/6/62/1960_Winter_Olympics_logo.svg/300px-1960_Winter_Olympics_logo.svg.png"
"6",1964,"http://upload.wikimedia.org/wikipedia/en/thumb/d/d3/1964_Winter_Olympics_logo.png/300px-1964_Winter_Olympics_logo.png"
"7",1968,"http://upload.wikimedia.org/wikipedia/en/0/0d/1968_Winter_Olympics_logo.png"
"8",1972,"http://steveandamysly.tannerworld.com/databank/2010/image_logo_1972_sapporo1.png"
"9",1976,"http://upload.wikimedia.org/wikipedia/en/thumb/3/3b/1976_Winter_Olympics_logo.png/300px-1976_Winter_Olympics_logo.png"
"10",1980,"http://upload.wikimedia.org/wikipedia/en/thumb/9/99/1980_Winter_Olympics_logo.svg/300px-1980_Winter_Olympics_logo.svg.png"
"11",1984,"http://upload.wikimedia.org/wikipedia/en/thumb/e/e8/1984_Winter_Olympics_logo.svg/300px-1984_Winter_Olympics_logo.svg.png"
"12",1988,"http://upload.wikimedia.org/wikipedia/en/3/31/1988_Winter_Olympics_logo.png"
"13",1992,"http://upload.wikimedia.org/wikipedia/en/thumb/d/d1/1992_Winter_Olympics_logo.svg/300px-1992_Winter_Olympics_logo.svg.png"
"14",1994,"http://upload.wikimedia.org/wikipedia/en/thumb/9/96/1994_Winter_Olympics_logo.svg/400px-1994_Winter_Olympics_logo.svg.png"
"15",1998,"http://upload.wikimedia.org/wikipedia/en/thumb/f/fc/1998_Winter_Olympics_logo.svg/420px-1998_Winter_Olympics_logo.svg.png"
"16",2002,"http://upload.wikimedia.org/wikipedia/en/thumb/4/47/2002_Winter_Olympics_logo.svg/400px-2002_Winter_Olympics_logo.svg.png"
"17",2006,"http://upload.wikimedia.org/wikipedia/en/thumb/c/ce/2006_Winter_Olympics_logo.svg/410px-2006_Winter_Olympics_logo.svg.png"
"18",2010,"http://upload.wikimedia.org/wikipedia/en/thumb/a/a7/2010_Winter_Olympics_logo.svg/300px-2010_Winter_Olympics_logo.svg.png"
