"","Year","Longitude","ID.Photo","Model","Photo.Type","URL.Image","URL.Page","Address","Lattitude","Location","City","State.Region.Provence","Country","Photographer","Swimsuit","Manufacturer","Price","Model.ID","Photo","Models.Years.Photos","Image.Type","ModelName","Latitude","ModelBirthPlace","DBPediaModelURI","DBPediaModelData","Bodypaint","CoverModel","ModelNationality","ModelHairFacet","ModelHairColor","ModelEyeFacet","ModelEyeColor","ModelDateOfBirth","ModelBirthYear","DBPediaLocation","DBPediaLocationURI","DBPediaLocationData","ModelBirthCity","ModelBirthStateProvence","Model.Birth.Country","ModelEthnicity","ModelHeight.US","Height.in","ModelHeight.numeric","ModelHeight.Label","ModelHeight.cm","ModelMeasurements.US","ModelBust.in","ModelWaste.in","ModelHips.in","ModelMeasurements.EU","ModelBust.cm","ModelWaste.cm","ModelHips.cm","ModelDressSize.US","ModelDressSize.EU","ModelShoeSize.US","ModelShoeSize.EU","ModelShoeSize.UK","ModelAgency","DBPediaModelAgencyURI","DBPediaModelAgencyData","ModelAgencyCity","ModelsAdvertisters","ModelsCovers","ModelsHobbies","ModelNotes","ModelCupSize","UnconfirmedCupSize","ModelImplants.","ModelNaturalCupSize","Wikipedia_URL","FMDURL"
"1",1996,NA,429,"Angie Everhart","Model","http://i.cdn.turner.com/sivault/swimsuit/image/1996/96_aeverhart_01.jpg","http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/angie_everhart/1996/model/1/4","",NA,"","","","","Bjorn Iooss","Swimsuit","Maui Girl by Debbie Wilson","","angie_everhart",1,4,"jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1996,NA,430,"Angie Everhart","Model","http://i.cdn.turner.com/sivault/swimsuit/image/1996/96_aeverhart_02.jpg","http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/angie_everhart/1996/model/2/4","",NA,"","","","","Bjorn Iooss","Swimsuit","Maui Girl by Debbie Wilson","","angie_everhart",2,4,"jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1996,NA,431,"Angie Everhart","Model","http://i.cdn.turner.com/sivault/swimsuit/image/1996/96_aeverhart_03.jpg","http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/angie_everhart/1996/model/3/4","",NA,"","","","","James Macari","Swimsuit","Sofia","","angie_everhart",3,4,"jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1996,NA,432,"Angie Everhart","Model","http://i.cdn.turner.com/sivault/swimsuit/image/1996/96_aeverhart_04.jpg","http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/angie_everhart/1996/model/4/4","",NA,"","","","","","Swimsuit","Rosa Cha by Amir Slama","","angie_everhart",4,4,"jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1996,NA,2594,"Georgianna Robertson","Model","http://i.cdn.turner.com/sivault/swimsuit/image/1996/96_grobertson_01.jpg","http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/georgianna_robertson/1996/model/1/5","",NA,"","","","","","Top","Rosa Cha by Amir Slama","","georgianna_robertson",1,5,"jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1996,NA,2595,"Georgianna Robertson","Model","http://i.cdn.turner.com/sivault/swimsuit/image/1996/96_grobertson_02.jpg","http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/georgianna_robertson/1996/model/2/5","",NA,"","","","","","Swimsuit","Cat Thordarson","","georgianna_robertson",2,5,"jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1996,NA,2596,"Georgianna Robertson","Model","http://i.cdn.turner.com/sivault/swimsuit/image/1996/96_grobertson_03.jpg","http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/georgianna_robertson/1996/model/3/5","",NA,"","","","","","Swimsuit","B-Connection by D. Boaz","","georgianna_robertson",3,5,"jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1996,NA,2597,"Georgianna Robertson","Model","http://i.cdn.turner.com/sivault/swimsuit/image/1996/96_grobertson_04.jpg","http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/georgianna_robertson/1996/model/4/5","",NA,"","","","","","Swimsuit","B-Connection by D. Boaz","","georgianna_robertson",4,5,"jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1996,NA,2598,"Georgianna Robertson","Model","http://i.cdn.turner.com/sivault/swimsuit/image/1996/96_grobertson_05.jpg","http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/georgianna_robertson/1996/model/5/5","",NA,"","","","","Bjorn Iooss","Swimsuit","Maui Girl by Debbie Wilson","","georgianna_robertson",5,5,"jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1996,NA,2599,"Georgianna Robertson","Painting","http://i.cdn.turner.com/sivault/swimsuit/image/1996/96_grobertson_05.jpg","http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/georgianna_robertson/1996/painting/1/1","",NA,"","","","","Bjorn Iooss","Swimsuit","Maui Girl by Debbie Wilson","","georgianna_robertson",1,1,"jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
