"","location","longitude","latitude"
"1","Aberdeen, Maryland",-76.1641197,39.5095556
"2","Akron, Ohio",-81.5190053,41.0814447
"3","Alexandria, Virginia",-77.0469214,38.8048355
"4","Alief, Texas",-95.593239,29.6827204
"5","Ames, Iowa",-93.625622,42.02335
"6","Amityville, New York",-73.4170673,40.6789893
"7","Anchorage, Alaska",-149.9002778,61.2180556
"8","Antratsit, Ukraine",39.09,48.1191667
"9","Arden, North Carolina",-82.5163889,35.4661111
"10","Aschaffenburg, Germany",9.1355554,49.9806625
"11","Aston, Pennsylvania",-75.4257325,39.8648194
"12","Athens, Greece",23.7293097,37.9837155
"13","Atlanta, Georgia",-84.3879824,33.7489954
"14","Bahia Blanca, Argentina",-62.2680778,-38.7116776
"15","Baltimore, Maryland",-76.6121893,39.2903848
"16","Barcelona, Spain",2.1734035,41.3850639
"17","Barrington, Rhode Island",-71.308609,41.7406798
"18","Baton Rouge, Louisiana",-91.1403196,30.4582829
"19","Beaumont, Texas",-94.1265562,30.080174
"20","Belgorod, Russia",36.5982621,50.5997134
"21","Belgrade, Serbia",20.4622222,44.8205556
"22","Bellflower, California",-118.1170117,33.8816818
"23","Benton Harbor, Michigan",-86.4541894,42.1167065
"24","Beverly Hills, Michigan",-83.2625577,42.516131
"25","Bijelo Polje, Montenegro",19.747931,43.037708
"26","Birmingham, Alabama",-86.80249,33.5206608
"27","Birmingham, Michigan",-83.2113192,42.5467012
"28","Blaine, Washington",-122.7471191,48.993723
"29","Blairstown, New Jersey",-74.9589405,40.9831018
"30","Bloomington, Minnesota",-93.2982799,44.840798
"31","Bologna, Italy",11.3426163,44.494887
"32","Braunschweig, Germany",10.5267696,52.2688736
"33","Brazzaville, Congo",15.2833333,-4.2666667
"34","Bremerton, Washington",-122.6329356,47.5673202
"35","Bronx, New York",-73.866667,40.85
"36","Brookline, Massachusetts",-71.1211635,42.3317642
"37","Brooklyn, New York",-73.95,40.65
"38","Brown Deer, Wisconsin",-87.9645321,43.1633426
"39","Brownsburg, Indiana",-86.3977735,39.8433769
"40","Bruges, Belgium",3.2246995,51.209348
"41","Buenos Aires, Argentina",-58.3815931,-34.6037232
"42","Burnsville, Minnesota",-93.2777226,44.7677424
"43","Bursa, Turkey",29.0634479,40.266864
"44","Caldwell, New Jersey",-74.2765366,40.8398218
"45","Cambria Heights, New York",-73.7330753,40.692158
"46","Camden, New Jersey",-75.1196199,39.9259463
"47","Canal Winchester, Ohio",-82.8123646,39.8466556
"48","Canberra Australia, ",149.1286843,-35.2819998
"49","Canberra, Australia",149.1286843,-35.2819998
"50","Canton, Georgia",-84.4907621,34.2367621
"51","Canton, Ohio",-81.378447,40.7989473
"52","Caracas, Venezuela",-66.902061,10.491016
"53","Carmel, Indiana",-86.1180435,39.978371
"54","Carmel, New York",-73.6801297,41.4300937
"55","Carrollton, Texas",-96.8899636,32.9756415
"56","Casselberry, Florida",-81.3278455,28.677775
"57","Cayenne, French Guiana",-52.3269,4.9227
"58","Celje, Slovenia",15.2677063,46.2397495
"59","Charleston, South Carolina",-79.9309216,32.7765656
"60","Charlotte, North Carolina",-80.8431267,35.2270869
"61","Chatham, Virginia",-79.3980806,36.8256943
"62","Chatsworth, California",-118.61481,34.2506356
"63","Chesapeake, Virginia",-76.2874927,36.7682088
"64","Chester, Pennsylvania",-75.3557457,39.849557
"65","Cheverly, Maryland",-76.915807,38.928167
"66","Chicago, Illinois",-87.6297982,41.8781136
"67","Childersburg, Alabama",-86.3549774,33.2781686
"68","Cincinnati, Ohio",-84.5120196,39.1031182
"69","Clarksville, Tennessee",-87.3594528,36.5297706
"70","Clemmons, North Carolina",-80.3819984,36.0215258
"71","Clinton, Maryland",-76.8983059,38.7651145
"72","Coeur dAlene, Idaho",-116.7804664,47.6776832
"73","College Park, Georgia",-84.4493725,33.6534427
"74","Collierville, Tennessee",-89.6645266,35.042036
"75","Colorado Springs, Colorado",-104.8213634,38.8338816
"76","Columbia, South Carolina",-81.0348144,34.0007104
"77","Columbus, Ohio",-82.9987942,39.9611755
"78","Compton, California",-118.2200712,33.8958492
"79","Concord, New Hampshire",-71.5375718,43.2081366
"80","Concord, North Carolina",-80.579511,35.4087517
"81","Cookeville, Tennessee",-85.5016423,36.162839
"82","Copaigue, New York",-73.3998445,40.6814892
"84","Corsicana, Texas",-96.4688727,32.0954304
"85","Cortland, New York",-76.1804843,42.6011813
"86","Crockett, Texas",-95.4566136,31.3182359
"87","Crossett, Arkansas",-91.9612427,33.1281779
"88","Dakar, Senegal",-17.3660286,14.7645042
"89","Dallas, Texas",-96.8004511,32.7801399
"90","Dalzell, South Carolina",-80.4300818,34.0168212
"91","Dar es Salaam, Tanzania",39.269661,-6.822921
"92","Dayton, Ohio",-84.1916069,39.7589478
"93","Daytona Beach, Florida",-81.0228331,29.2108147
"94","Denver, Colorado",-104.9847179,39.737567
"95","Detroit, Michigan",-83.0457538,42.331427
"96","Doboj, Bosnia",18.1695034,43.9870763
"97","Dumfries, Virginia",-77.3280382,38.5676202
"98","Duncanville, Texas",-96.9083366,32.6518004
"99","Dunwoody, Georgia",-84.3346473,33.9462125
"100","Durham, North Carolina",-78.898619,35.9940329
"101","East Chicago, Indiana",-87.4547635,41.6392024
"102","Edmond, Oklahoma",-97.4780954,35.6528323
"103","Edmonds, Washington",-122.3773552,47.8106521
"104","El Dorado Hills, California",-121.082167,38.6857367
"105","El Dorado, Arkansas",-92.6662674,33.20763
"106","Elizabeth, New Jersey",-74.2107006,40.6639916
"107","Emmaus, Pennsylvania",-75.4968502,40.5395421
"108","Eskisehir, Turkey",30.5205556,39.7766667
"109","Eustis, Florida",-81.6853534,28.8527675
"110","Fairless Hills, Pennsylvania",-74.8551644,40.1795537
"111","Farnham, United Kingdom",-0.798802,51.214321
"112","Fayetteville, Arkansas",-94.1574263,36.0625795
"113","Fayetteville, North Carolina",-78.8783585,35.0526641
"114","Fitchburg, Massachusetts",-71.8022955,42.5834228
"115","Flint, Michigan",-83.6874562,43.0125274
"116","Flushing, New York",-73.833079,40.7674987
"117","Fort Lauderdale, Florida",-80.1373174,26.1224386
"118","Fort Pierce, Florida",-80.3256056,27.4467056
"119","Fort Washington, Maryland",-77.0230313,38.7073379
"120","Fort Wayne, Indiana",-85.1393513,41.079273
"121","Fort Worth, Texas",-97.3208496,32.725409
"122","Frederick, Maryland",-77.4105409,39.4142688
"123","Freehold, New Jersey",-74.286293,40.232632
"124","Fresno, California",-119.7725868,36.7468422
"125","Friendswood, Texas",-95.2010447,29.5293998
"126","Garner, North Carolina",-78.6141709,35.7112642
"127","Gent, Belgium",3.7174243,51.0543422
"128","Gisborne, New Zealand",178.017649,-38.662334
"129","Glens Falls, New York",-73.6440058,43.3095164
"130","Goleta, California",-119.8276389,34.4358294
"131","Goodyear, Arizona",-112.3582136,33.449806
"132","Grambling, Louisiana",-92.7140402,32.5276503
"133","Grand Ledge, Michigan",-84.7463757,42.7533685
"134","Grandview, Missouri",-94.5330096,38.8858407
"135","Greeley, Colorado",-104.7091322,40.4233142
"136","Greensboro, North Carolina",-79.7919754,36.0726354
"137","Greenville, Georgia",-84.7129848,33.0287373
"138","Hamilton, Massachusetts",-70.8431049,42.6362052
"139","Hanford, California",-119.6456844,36.3274502
"140","Harbor City, California",-118.2965084,33.7906551
"141","Harvey, Louisiana",-90.0772944,29.9035387
"142","Henderson, Nevada",-114.9817213,36.0395247
"143","Hendersonville, Tennessee",-86.6199957,36.3047735
"144","Henrico Valley, Virginia",-77.54685,37.594117
"145","Henrico, Virginia",-77.5439961,37.6307265
"146","High Point, North Carolina",-80.0053176,35.9556923
"147","Hillsboro, Texas",-97.1300061,32.0109886
"148","Hobbs, New Mexico",-103.1360403,32.7026116
"149","Hoboken, New Jersey",-74.0323626,40.7439905
"150","Hollywood, Florida",-80.1494901,26.0112014
"151","Holon, Israel",34.787384,32.015833
"152","Houston, Texas",-95.3693896,29.7601927
"153","Humble, Texas",-95.2621553,29.9988312
"154","Huntington, West Virginia",-82.445154,38.4192496
"155","Hyattsville, Maryland",-76.9455301,38.9559442
"156","Indianapolis, Indiana",-86.158068,39.768403
"157","Inglewood, California",-118.3531311,33.9616801
"158","Iola, Texas",-96.0739795,30.7725123
"159","Iowa Falls, Iowa",-93.2645741,42.5198868
"160","Irvine, California",-117.7946942,33.6839473
"161","Islip, New York",-73.2103934,40.7298207
"162","Izhevsk, Russia",53.1833333,56.8333333
"163","Jackson, Mississippi",-90.1848103,32.2987573
"164","Jersey City, New Jersey",-74.0776417,40.7281575
"165","Johannesburg, South Africa",28.0473051,-26.2041028
"166","Joinville, Brazil",-48.8460931,-26.3050883
"167","Jonesboro, Georgia",-84.3538128,33.5215013
"168","Junction City, Arkansas",-92.7243243,33.0162501
"169","Juneau, Alaska",-134.4197222,58.3019444
"170","Kamloops, Canada",-120.3272674,50.674522
"171","Kansas City, Kansas",-94.6274636,39.114053
"172","Kansas City, Missouri",-94.5785667,39.0997265
"173","Kaunas, Lithuania",23.9035416,54.8984964
"174","Kebemer, Senegal",-16.44072,15.37379
"175","Kelford, North Carolina",-77.2235757,36.1796007
"176","Kent, Washington",-122.2348431,47.3809335
"177","Kersey, Colorado",-104.5616256,40.387481
"178","Kinna, Sweden",12.6941321,57.50984
"179","Kinston, North Carolina",-77.5816353,35.2626635
"180","La Mirada, California",-118.0120086,33.9172357
"181","Lake Oswego, Oregon",-122.6706498,45.4206749
"182","Lake Wales, Florida",-81.5859099,27.9014133
"183","Lakewood, California",-118.1339563,33.8536269
"184","Lancaster, California",-118.1541632,34.6867846
"185","Lanham, Maryland",-76.860565,38.9582591
"186","Las Cruces, New Mexico",-106.7636538,32.3199396
"187","Las Vegas, Nevada",-115.172816,36.114646
"188","Latta, South Carolina",-79.4311616,34.3371047
"189","Laurinburg, North Carolina",-79.4628248,34.7740494
"190","Lawndale, California",-118.3525744,33.887237
"191","Lawrenceville, New Jersey",-74.7361013,40.3016375
"192","Le Robert, Martinique",-60.9403,14.6792
"193","Lexington, Kentucky",-84.5037164,38.0405837
"194","Libertyville, Illinois",-87.9531303,42.2830786
"195","Lisieux, France",0.227849,49.145922
"196","Little Rock, Arkansas",-92.2895948,34.7464809
"197","Ljubljana, Slovenia",14.5080702,46.0564509
"198","Lodz, Poland",19.4559833,51.7592485
"199","London, United Kingdom",-0.1198244,51.5112139
"200","Long Beach, California",-118.1956168,33.768321
"201","Long Branch, New Jersey",-73.9923596,40.3042778
"202","Long Lake, Minnesota",-93.5716243,44.9866298
"203","Los Alamitos, California",-118.0725641,33.8030716
"204","Los Angeles, California",-118.2436849,34.0522342
"205","Louisville, Colorado",-105.1319296,39.977763
"206","Lubumbashi, Congo",15.2829833,-4.3476938
"207","Lyon, France",4.835659,45.764043
"208","Madison, Wisconsin",-89.4012302,43.0730517
"209","Manhasset, New York",-73.6995749,40.7978787
"210","Marietta, Georgia",-84.5499327,33.952602
"211","Marion, Indiana",-85.6591442,40.5583739
"212","Marion, South Carolina",-79.4006069,34.178216
"213","Maryborough, Australia",152.701553,-25.5371225
"214","Mauldin, South Carolina",-82.310119,34.77873
