Hobby,Count
Swimming,7
Horseback Riding,6
Tennis,6
Cooking,5
Dancing,5
Painting,5
Rollerblading,5
Running,5
Surfing,5
Playing Piano,4
Reading,4
Skiing,4
Volleyball,4
Yoga,4
Hiking,3
Jetskiing,3
Movies,3
Music,3
Travelling,3
Biking,2
Bowling,2
Cycling,2
Drawing,2
Excercising,2
Family,2
Photography,2
Playing Pool,2
Scuba Diving,2
Shopping,2
Singing,2
Writing,2
Boxing,1
Camping,1
Capoeira,1
Car Racing,1
Concerts,1
Field Hockey,1
Friends,1
Furniture Collecting,1
Go-Cart Racing,1
Golf,1
Guitar Playing,1
Ice Skating,1
Judo,1
Karate,1
Kickboxing,1
Marathon Running,1
Motorcycle Riding,1
Pilates,1
Playing Backgammon,1
Playing Flute,1
Playing Guitar,1
Playing Nintendo,1
Pottery,1
Sailing,1
Saxaphone,1
Skateboarding,1
Snowboarding,1
Soccer,1
Soul Music,1
The Beach,1
Visiting Museums,1
Wakeboarding,1
Walking,1
Water-Skiing,1
Watersports,1
Web-Browsing,1
