Year,Model,Photo.Type,URL.Image,URL.Page,Model.ID,Photo,Models.Years.Photos,Image.Type
2012,Adaora,Model,http://i.cdn.turner.com/sivault/swimsuit/image/2012/Adaora.gilbert.carrasquillo.filmmagic.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/adaora/2012/model/1/31,adaora,1,31,jpg
2012,Adaora,Model,http://i.cdn.turner.com/sivault/swimsuit/image/2012/QmTqamkpMtGDuMkNYLHjh.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/adaora/2012/model/2/31,adaora,2,31,jpg
2012,Adaora,Model,http://i.cdn.turner.com/sivault/swimsuit/image/2012/kfGXDqUAdQvEagCqYesVe.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/adaora/2012/model/3/31,adaora,3,31,jpg
2012,Adaora,Model,http://i.cdn.turner.com/sivault/swimsuit/image/2012/uLKxdUNbjWuoJoqJLbQBk.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/adaora/2012/model/4/31,adaora,4,31,jpg
2012,Adaora,Model,http://i.cdn.turner.com/sivault/swimsuit/image/2012/QUnFklPGupBvriIakfaru.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/adaora/2012/model/5/31,adaora,5,31,jpg
2012,Adaora,Model,http://i.cdn.turner.com/sivault/swimsuit/image/2012/SZjukrdHZPJpRzvvNkODd.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/adaora/2012/model/6/31,adaora,6,31,jpg
2012,Adaora,Model,http://i.cdn.turner.com/sivault/swimsuit/image/2012/eOcxkZVjCWibULFfirLeQ.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/adaora/2012/model/7/31,adaora,7,31,jpg
2012,Adaora,Model,http://i.cdn.turner.com/sivault/swimsuit/image/2012/jHArnvspnIEFXPKJQUuAp.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/adaora/2012/model/8/31,adaora,8,31,jpg
2012,Adaora,Model,http://i.cdn.turner.com/sivault/swimsuit/image/2012/AjVuwinGrAyKeVCXpaNeo.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/adaora/2012/model/9/31,adaora,9,31,jpg
2012,Adaora,Model,http://i.cdn.turner.com/sivault/swimsuit/image/2012/ymaHvFkWvJBuomNxUVRVT.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/adaora/2012/model/10/31,adaora,10,31,jpg
2012,Adaora,Model,http://i.cdn.turner.com/sivault/swimsuit/image/2012/GldPNAwLiOLROPpDVzXib.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/adaora/2012/model/11/31,adaora,11,31,jpg
2012,Adaora,Model,http://i.cdn.turner.com/sivault/swimsuit/image/2012/dVybizaAANteRNAaDGoyi.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/adaora/2012/model/12/31,adaora,12,31,jpg
2012,Adaora,Model,http://i.cdn.turner.com/sivault/swimsuit/image/2012/MYRjrHMUDxurRiUcpOAJE.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/adaora/2012/model/13/31,adaora,13,31,jpg
2012,Adaora,Model,http://i.cdn.turner.com/sivault/swimsuit/image/2012/NgZRpTwrUhjHsNNGoDCXv.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/adaora/2012/model/14/31,adaora,14,31,jpg
2012,Adaora,Model,http://i.cdn.turner.com/sivault/swimsuit/image/2012/rebzuDObNLBfHeNkgjcuE.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/adaora/2012/model/15/31,adaora,15,31,jpg
2012,Adaora,Model,http://i.cdn.turner.com/sivault/swimsuit/image/2012/KpHEYWYfNJsogMadgRgIt.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/adaora/2012/model/16/31,adaora,16,31,jpg
2012,Adaora,Model,http://i.cdn.turner.com/sivault/swimsuit/image/2012/zpOUdtxijINNDvCyXZQXT.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/adaora/2012/model/17/31,adaora,17,31,jpg
2012,Adaora,Model,http://i.cdn.turner.com/sivault/swimsuit/image/2012/BrOGlKeRodbkSfSBBGFgs.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/adaora/2012/model/18/31,adaora,18,31,jpg
2012,Adaora,Model,http://i.cdn.turner.com/sivault/swimsuit/image/2012/aMorekAuDkiAIFaYzuiaK.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/adaora/2012/model/19/31,adaora,19,31,jpg
2012,Adaora,Model,http://i.cdn.turner.com/sivault/swimsuit/image/2012/TbsfExJDESrkHtWyGfOPz.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/adaora/2012/model/20/31,adaora,20,31,jpg
2012,Adaora,Model,http://i.cdn.turner.com/sivault/swimsuit/image/2012/olhLrfNjcQZHlGRlAioTl.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/adaora/2012/model/21/31,adaora,21,31,jpg
2012,Adaora,Model,http://i.cdn.turner.com/sivault/swimsuit/image/2012/osbWHMGnPuWMreSXtoaad.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/adaora/2012/model/22/31,adaora,22,31,jpg
2012,Adaora,Model,http://i.cdn.turner.com/sivault/swimsuit/image/2012/LDxCtuEnaQCIbLstReuIG.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/adaora/2012/model/23/31,adaora,23,31,jpg
2012,Adaora,Model,http://i.cdn.turner.com/sivault/swimsuit/image/2012/oIDaJzFMbLAXjqmVbumXq.jpg,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/adaora/2012/model/24/31,adaora,24,31,jpg
